Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																												
Дата голосования: 18.09.2016																												
																												
Наименование Избирательной комиссии:    Селемджинская																												
																												
Сводная таблица итогов голосования по федеральному избирательному округу																												
																												
		Сумма	УИК №1601	УИК №1602	УИК №1603	УИК №1604	УИК №1605	УИК №1606	УИК №1607	УИК №1608	УИК №1609	УИК №1610	УИК №1611	УИК №1612	УИК №1613	УИК №1614	УИК №1615	УИК №1616	УИК №1617									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	8928	535	73	297	723	704	214	302	573	263	208	201	1188	1978	358	263	708	340									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	7873	496	82	283	755	710	237	292	537	262	217	165	647	1100	346	274	700	770									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	227	34	0	0	30	0	0	30	65	0	0	10	0	0	24	34	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	3710	185	62	157	323	237	136	135	144	97	91	112	416	611	176	121	497	210									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	221	22	0	5	26	19	12	10	49	15	9	5	5	25	10	9	0	0									
6	Число погашенных избирательных бюллетеней	3715	255	20	121	376	454	89	117	279	150	117	38	226	464	136	110	203	560									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	448	56	0	5	56	19	12	40	114	15	9	15	5	25	34	43	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	3695	185	62	157	323	237	136	135	144	97	91	97	416	611	176	121	497	210									
9	Число недействительных избирательных бюллетеней	101	9	2	5	19	8	6	4	5	2	2	3	5	4	5	2	18	2									
10	Число действительных избирательных бюллетеней	4042	232	60	157	360	248	142	171	253	110	98	109	416	632	205	162	479	208									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	260	15	10	20	40	15	10	10	15	10	10	10	25	25	25	20	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	223	15	10	13	40	7	10	10	15	6	10	10	15	25	17	20	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	90	1	1	0	7	1	1	2	2	6	3	23	6	12	4	0	14	7									
