Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																														
Дата голосования: 04.12.2011																														
																														
Наименование Избирательной комиссии:    Хвалынская																														
																														
Сводная таблица результатов выборов																														
																														
		Сумма	УИК №1652	УИК №1653	УИК №1654	УИК №1655	УИК №1656	УИК №1657	УИК №1658	УИК №1659	УИК №1660	УИК №1661	УИК №1662	УИК №1663	УИК №1664	УИК №1665	УИК №1666	УИК №1667	УИК №1668	УИК №1669	УИК №1670	УИК №1671	УИК №1672	УИК №1673	УИК №1674					
1	"Число избирателей, внесенных в список избирателей"	20515	1851	334	468	237	1848	566	657	182	535	376	360	808	229	185	392	361	1786	1537	1568	1491	1626	1666	1452					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	20177	1848	334	469	236	1917	651	749	183	543	378	361	803	240	190	392	348	1778	1468	1487	1365	1542	1538	1357					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	16291	1582	268	408	217	1711	468	614	161	455	350	321	735	168	171	371	311	1502	1068	1193	1146	945	1139	987					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2045	232	54	58	17	118	70	7	19	24	21	28	63	51	8	19	35	175	52	284	157	251	98	204					
6	Число погашенных избирательных бюллетеней	1841	34	12	3	2	88	113	128	3	64	7	12	5	21	11	2	2	101	348	10	62	346	301	166					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2045	232	54	58	17	118	70	7	19	24	21	28	63	51	8	19	35	175	52	284	157	251	98	204					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	16291	1582	268	408	217	1711	468	614	161	455	350	321	735	168	171	371	311	1502	1068	1193	1146	945	1139	987					
9	Число недействительных избирательных бюллетеней	61	2	0	0	1	1	3	8	0	2	0	0	0	0	1	0	0	0	5	1	8	11	15	3					
10	Число действительных избирательных бюллетеней	18275	1812	322	466	233	1828	535	613	180	477	371	349	798	219	178	390	346	1677	1115	1476	1295	1185	1222	1188					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	230	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	123	10	0	1	1	10	2	7	1	9	2	0	4	10	2	5	1	5	10	10	8	10	7	8					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	513	16	1	0	1	1	2	1	0	1	1	0	2	0	1	7	4	5	68	68	73	74	90	97					
14	Число погашенных неиспользованных открепительных удостоверений	107	0	10	9	9	0	8	3	9	1	8	10	6	0	8	5	9	5	0	0	2	0	3	2					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	59	0	0	0	0	48	0	1	0	0	0	0	0	0	0	0	0	2	2	1	0	1	2	2					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
