Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																					
Дата голосования: 18.09.2016																																																					
																																																					
Наименование Избирательной комиссии:    Икрянинская																																																					
																																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																																					
																																																					
		Сумма	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	36058	1335	2255	2274	2513	428	2160	445	386	1277	1411	1363	1147	1427	1181	140	644	170	484	245	278	585	332	331	318	1903	196	540	511	310	548	951	1023	749	107	726	784	384	1470	509	1110	716	392									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	35050	1324	2265	2267	2494	376	2103	372	362	1251	1336	1342	1050	1415	1165	124	619	149	468	215	259	563	309	306	293	1895	172	517	493	285	543	945	1006	736	95	713	775	353	1458	481	1097	693	366									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	11778	416	660	491	825	93	575	175	222	328	536	519	390	516	321	56	230	90	220	60	101	226	115	142	99	572	143	138	145	96	160	192	288	192	51	462	329	198	474	198	324	157	253									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1665	27	59	78	38	42	57	4	21	10	10	7	43	9	7	9	45	9	14	15	39	40	39	17	17	189	8	20	25	34	66	64	52	53	30	71	34	38	136	62	65	30	32									
6	Число погашенных избирательных бюллетеней	21607	881	1546	1698	1631	241	1471	193	119	913	790	816	617	890	837	59	344	50	234	140	119	297	155	147	177	1134	21	359	323	155	317	689	666	491	14	180	412	117	848	221	708	506	81									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1665	27	59	78	38	42	57	4	21	10	10	7	43	9	7	9	45	9	14	15	39	40	39	17	17	189	8	20	25	34	66	64	52	53	30	71	34	38	136	62	65	30	32									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	11773	416	660	491	825	93	575	175	222	328	536	519	390	516	321	56	230	90	220	60	101	226	115	142	99	567	143	138	145	96	160	192	288	192	51	462	329	198	474	198	324	157	253									
9	Число недействительных избирательных бюллетеней	376	12	23	21	23	1	20	10	5	13	13	23	13	18	5	2	3	2	8	0	9	6	4	13	2	9	4	5	4	0	6	11	11	9	0	12	17	13	9	0	11	5	1									
10	Число действительных избирательных бюллетеней	13062	431	696	548	840	134	612	169	238	325	533	503	420	507	323	63	272	97	226	75	131	260	150	146	114	747	147	153	166	130	220	245	329	236	81	521	346	223	601	260	378	182	284									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	421	22	30	17	15	12	23	12	6	15	13	15	12	12	15	3	7	5	7	3	6	4	6	7	3	21	3	6	9	4	16	14	10	14	3	8	10	3	14	4	4	4	4									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	295	21	30	17	10	2	14	5	3	15	13	11	3	9	5	0	4	1	7	0	5	4	0	2	2	16	0	6	4	1	16	6	9	14	0	8	10	1	8	1	4	4	4									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	397	4	18	1	2	26	58	54	3	23	62	12	33	7	9	0	9	3	2	2	2	4	4	3	2	3	2	2	2	1	2	2	1	5	0	3	4	7	2	5	5	4	4									
14	Число погашенных неиспользованных открепительных удостоверений	126	1	0	0	5	10	9	7	3	0	0	4	9	3	10	3	3	4	0	3	1	0	6	5	1	5	3	0	5	3	0	8	1	0	3	0	0	2	6	3	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	34	0	3	3	2	0	3	0	0	2	4	3	1	6	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0	1	0	1	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																					
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	132	2	9	11	14	3	5	3	1	1	3	7	0	6	0	0	2	0	6	3	0	1	3	0	2	9	2	2	3	0	2	4	3	3	0	7	3	3	5	1	3	0	0									
		0.98%	0.45%	1.25%	1.93%	1.62%	2.22%	0.79%	1.68%	0.41%	0.30%	0.55%	1.33%	0.00%	1.14%	0.00%	0.00%	0.73%	0.00%	2.56%	4.00%	0.00%	0.38%	1.95%	0.00%	1.72%	1.19%	1.32%	1.27%	1.76%	0.00%	0.88%	1.56%	0.88%	1.22%	0.00%	1.31%	0.83%	1.27%	0.82%	0.38%	0.77%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	444	14	31	18	25	5	16	9	8	14	20	14	15	14	10	0	9	6	20	4	3	10	6	0	3	9	3	8	3	0	11	15	15	8	5	22	17	13	19	15	4	3	0									
		3.30%	3.16%	4.31%	3.16%	2.90%	3.70%	2.53%	5.03%	3.29%	4.14%	3.66%	2.66%	3.46%	2.67%	3.05%	0.00%	3.27%	6.06%	8.55%	5.33%	2.14%	3.76%	3.90%	0.00%	2.59%	1.19%	1.99%	5.06%	1.76%	0.00%	4.87%	5.86%	4.41%	3.27%	6.17%	4.13%	4.68%	5.51%	3.11%	5.77%	1.03%	1.60%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	218	14	12	10	14	7	9	2	1	3	7	15	13	9	9	1	4	3	0	1	0	5	8	0	1	4	2	3	10	0	6	0	5	6	0	1	3	0	14	5	6	4	1									
		1.62%	3.16%	1.67%	1.76%	1.62%	5.19%	1.42%	1.12%	0.41%	0.89%	1.28%	2.85%	3.00%	1.71%	2.74%	1.54%	1.45%	3.03%	0.00%	1.33%	0.00%	1.88%	5.19%	0.00%	0.86%	0.53%	1.32%	1.90%	5.88%	0.00%	2.65%	0.00%	1.47%	2.45%	0.00%	0.19%	0.83%	0.00%	2.30%	1.92%	1.54%	2.14%	0.35%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	6696	151	301	189	275	73	232	81	197	110	451	176	180	156	159	46	167	39	120	29	90	142	67	101	55	471	102	81	86	91	89	106	143	125	46	331	193	146	415	161	216	80	227									
		49.83%	34.09%	41.86%	33.22%	31.87%	54.07%	36.71%	45.25%	81.07%	32.54%	82.60%	33.46%	41.57%	29.71%	48.48%	70.77%	60.73%	39.39%	51.28%	38.67%	64.29%	53.38%	43.51%	63.52%	47.41%	62.30%	67.55%	51.27%	50.59%	70.00%	39.38%	41.41%	42.06%	51.02%	56.79%	62.10%	53.17%	61.86%	68.03%	61.92%	55.53%	42.78%	79.65%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	52	1	0	3	3	3	9	1	0	3	2	0	3	2	0	0	0	0	0	0	1	0	2	0	1	1	0	0	0	0	0	0	2	0	1	2	1	2	1	0	4	1	3									
		0.39%	0.23%	0.00%	0.53%	0.35%	2.22%	1.42%	0.56%	0.00%	0.89%	0.37%	0.00%	0.69%	0.38%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.71%	0.00%	1.30%	0.00%	0.86%	0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.59%	0.00%	1.23%	0.38%	0.28%	0.85%	0.16%	0.00%	1.03%	0.53%	1.05%									
24	"6. Политическая партия ""Гражданская Платформа"""	26	1	2	1	3	0	0	0	0	3	3	2	2	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	1	0									
		0.19%	0.23%	0.28%	0.18%	0.35%	0.00%	0.00%	0.00%	0.00%	0.89%	0.55%	0.38%	0.46%	0.19%	0.00%	1.54%	0.00%	0.00%	0.43%	0.00%	0.00%	0.00%	0.00%	0.00%	0.86%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.39%	0.00%	0.00%	0.00%	0.00%	0.28%	0.42%	0.16%	0.00%	0.00%	0.53%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1736	86	112	149	130	12	107	23	9	71	5	68	29	78	28	2	30	29	12	14	16	41	32	10	21	105	1	24	20	22	30	39	52	41	6	51	46	25	14	14	57	47	28									
