Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																								
Дата голосования: 02.12.2007																																																								
																																																								
Наименование Избирательной комиссии:    Сосновская																																																								
																																																								
Сводная таблица результатов выборов																																																								
																																																								
		Сумма	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725					
1	"Число избирателей, внесенных в списки избирателей"	27652	2036	1784	1873	2059	796	345	165	739	509	114	530	448	196	394	351	896	716	774	263	197	680	239	368	398	540	1007	183	227	342	158	217	816	237	208	181	186	411	323	328	962	127	314	415	594	380	353	360	425	1488					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	27598	2084	1737	1893	2122	794	341	167	715	493	116	517	463	197	388	339	913	702	750	263	193	681	240	355	389	527	1010	176	220	346	156	212	794	237	210	187	190	422	326	331	939	126	312	409	589	379	352	371	420	1505					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	13712	963	893	911	980	378	186	62	390	253	83	258	275	131	238	169	399	361	360	138	122	410	124	204	260	210	446	130	134	165	110	135	444	122	109	90	99	152	127	153	415	73	143	219	318	223	155	196	239	557					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	4518	77	142	136	135	70	133	78	111	89	23	145	56	24	45	23	99	84	247	44	30	76	50	55	60	207	345	30	55	37	24	22	110	45	60	28	43	157	102	98	278	39	95	75	143	52	78	61	76	226					
6	Число погашенных избирательных бюллетеней	9368	1044	702	846	1007	346	22	27	214	151	10	114	132	42	105	147	415	257	143	81	41	195	66	96	69	110	219	16	31	144	22	55	240	70	41	69	48	113	97	80	246	14	74	115	128	104	119	114	105	722					
7	Число избирательных бюллетеней в переносных ящиках для голосования	4518	77	142	136	135	70	133	78	111	89	23	145	56	24	45	23	99	84	247	44	30	76	50	55	60	207	345	30	55	37	24	22	110	45	60	28	43	157	102	98	278	39	95	75	143	52	78	61	76	226					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	13709	963	893	911	980	378	186	62	390	253	83	258	275	131	238	169	399	361	360	138	122	410	124	204	260	209	446	130	134	165	110	135	443	122	109	90	99	152	127	153	415	73	143	219	317	223	155	196	239	557					
9	Число недействительных избирательных бюллетеней	155	12	4	8	6	3	22	2	8	0	0	6	1	0	2	3	8	1	1	2	0	2	3	3	2	0	0	2	0	4	0	0	4	0	1	0	0	0	0	0	5	1	4	2	5	3	2	1	10	12					
10	Число действительных избирательных бюллетеней	18072	1028	1031	1039	1109	445	297	138	493	342	106	397	330	155	281	189	490	444	606	180	152	484	171	256	318	416	791	158	189	198	134	157	549	167	168	118	142	309	229	251	688	111	234	292	455	272	231	256	305	771					
