Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																				
Дата голосования: 04.12.2011																																																				
																																																				
Наименование Избирательной комиссии:    Сосновская																																																				
																																																				
Сводная таблица результатов выборов																																																				
																																																				
		Сумма	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664					
1	"Число избирателей, внесенных в список избирателей"	26323	1930	1655	1737	2008	811	363	159	414	708	513	116	506	602	358	911	726	661	255	859	225	391	401	509	1001	179	213	683	770	216	193	179	153	361	312	285	885	101	259	380	571	322	296	334	412	1400					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	26849	1962	1627	1768	2042	819	370	168	425	720	532	119	503	605	364	928	744	712	268	892	236	396	401	509	1025	187	218	700	792	219	198	181	172	368	318	298	893	103	261	387	589	332	298	344	423	1433					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	11052	697	742	653	755	304	249	47	196	390	172	97	223	267	135	284	266	361	124	376	103	211	207	169	421	122	90	191	253	108	116	84	98	135	67	158	351	56	116	169	267	197	165	188	207	465					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	4342	116	112	128	218	78	101	47	40	130	103	15	121	72	25	178	111	212	56	148	71	83	61	141	268	32	48	91	113	81	35	15	36	113	109	83	251	28	72	42	76	45	53	65	92	227					
6	Число погашенных избирательных бюллетеней	11455	1149	773	987	1069	437	20	74	189	200	257	7	159	266	204	466	367	139	88	368	62	102	133	199	336	33	80	418	426	30	47	82	38	120	142	57	291	19	73	176	246	90	80	91	124	741					
7	Число избирательных бюллетеней в переносных ящиках для голосования	4342	116	112	128	218	78	101	47	40	130	103	15	121	72	25	178	111	212	56	148	71	83	61	141	268	32	48	91	113	81	35	15	36	113	109	83	251	28	72	42	76	45	53	65	92	227					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	11052	697	742	653	755	304	249	47	196	390	172	97	223	267	135	284	266	361	124	376	103	211	207	169	421	122	90	191	253	108	116	84	98	135	67	158	351	56	116	169	267	197	165	188	207	465					
9	Число недействительных избирательных бюллетеней	91	2	3	2	8	3	2	0	3	9	2	0	2	4	0	1	0	1	1	6	0	1	0	0	0	2	2	2	7	1	0	0	0	1	0	0	0	0	0	0	8	1	2	2	1	12					
10	Число действительных избирательных бюллетеней	15303	811	851	779	965	379	348	94	233	511	273	112	342	335	160	461	377	572	179	518	174	293	268	310	689	152	136	280	359	188	151	99	134	247	176	241	602	84	188	211	335	241	216	251	298	680					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	230	12	10	10	11	5	0	6	10	5	5	2	5	5	5	5	5	10	5	5	3	5	5	5	5	3	3	5	5	3	3	3	3	3	3	3	5	3	3	3	5	5	5	5	5	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	152	12	8	10	11	2	0	6	10	3	4	1	1	2	5	3	4	10	5	5	3	0	1	1	5	3	1	3	3	0	0	1	3	0	0	1	5	0	1	0	3	4	1	0	1	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	62	5	4	8	2	3	0	1	2	5	0	2	2	2	0	0	0	5	0	5	1	0	0	0	2	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	2	4	0	0	3					
14	Число погашенных неиспользованных открепительных удостоверений	78	0	2	0	0	3	0	0	0	2	1	1	4	3	0	2	1	0	0	0	0	5	4	4	0	0	2	2	2	3	3	2	0	3	3	2	0	3	2	3	2	1	4	5	4	0					
