Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																														
Дата голосования: 18.09.2016																														
																														
Наименование Избирательной комиссии:    Славская																														
																														
Сводная таблица итогов голосования по федеральному избирательному округу																														
																														
		Сумма	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	14855	1820	1858	2010	329	186	457	296	220	788	580	399	692	614	489	1369	684	1332	392	340									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	13000	1700	1500	1900	300	150	400	250	200	700	500	300	500	500	400	1300	500	1300	300	300									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	5123	718	715	650	113	81	204	111	71	303	141	143	222	195	179	426	183	437	130	101									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	264	30	28	29	9	8	3	13	0	8	20	2	7	5	8	25	26	18	16	9									
6	Число погашенных избирательных бюллетеней	7613	952	757	1221	178	61	193	126	129	389	339	155	271	300	213	849	291	845	154	190									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	264	30	28	29	9	8	3	13	0	8	20	2	7	5	8	25	26	18	16	9									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	5123	718	715	650	113	81	204	111	71	303	141	143	222	195	179	426	183	437	130	101									
9	Число недействительных избирательных бюллетеней	213	26	35	20	3	1	10	0	3	9	5	14	13	17	8	16	3	20	6	4									
10	Число действительных избирательных бюллетеней	5174	722	708	659	119	88	197	124	68	302	156	131	216	183	179	435	206	435	140	106									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	180	15	15	15	5	5	10	5	5	10	10	5	10	10	10	15	10	15	5	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	48	8	7	12	1	0	0	0	0	0	0	0	3	1	3	4	4	5	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	26	2	8	2	1	1	0	0	0	0	0	2	0	0	0	3	1	1	0	5									
14	Число погашенных неиспользованных открепительных удостоверений	132	7	8	3	4	5	10	5	5	10	10	5	7	9	7	11	6	10	5	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	18	6	0	1	1	0	0	0	0	2	1	0	1	0	1	3	2	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																														
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	61	9	11	5	6	2	1	1	0	5	7	2	2	0	1	4	0	4	1	0									
		1.13%	1.20%	1.48%	0.74%	4.92%	2.25%	0.48%	0.81%	0.00%	1.61%	4.35%	1.38%	0.87%	0.00%	0.53%	0.89%	0.00%	0.88%	0.68%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	161	25	21	15	2	2	8	0	1	14	9	5	7	2	12	13	11	10	2	2									
		2.99%	3.34%	2.83%	2.21%	1.64%	2.25%	3.86%	0.00%	1.41%	4.50%	5.59%	3.45%	3.06%	1.00%	6.42%	2.88%	5.26%	2.20%	1.37%	1.82%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	109	22	16	20	1	4	0	2	1	7	5	0	2	2	4	5	9	2	5	2									
		2.02%	2.94%	2.15%	2.95%	0.82%	4.49%	0.00%	1.61%	1.41%	2.25%	3.11%	0.00%	0.87%	1.00%	2.14%	1.11%	4.31%	0.44%	3.42%	1.82%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2675	321	328	277	48	56	99	70	38	175	72	79	133	120	102	249	104	256	81	67									
		49.66%	42.91%	44.15%	40.80%	39.34%	62.92%	47.83%	56.45%	53.52%	56.27%	44.72%	54.48%	58.08%	60.00%	54.55%	55.21%	49.76%	56.26%	55.48%	60.91%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	24	2	6	0	1	0	3	0	0	3	0	0	0	2	0	3	1	2	1	0									
		0.45%	0.27%	0.81%	0.00%	0.82%	0.00%	1.45%	0.00%	0.00%	0.96%	0.00%	0.00%	0.00%	1.00%	0.00%	0.67%	0.48%	0.44%	0.68%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	7	0	2	2	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0									
		0.13%	0.00%	0.27%	0.29%	0.82%	0.00%	0.00%	0.00%	0.00%	0.00%	0.62%	0.00%	0.00%	0.50%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	871	124	124	162	20	17	42	23	8	40	26	18	23	26	14	68	45	62	14	15									
		16.17%	16.58%	16.69%	23.86%	16.39%	19.10%	20.29%	18.55%	11.27%	12.86%	16.15%	12.41%	10.04%	13.00%	7.49%	15.08%	21.53%	13.63%	9.59%	13.64%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	27	2	4	9	2	0	4	0	0	2	0	0	0	0	0	3	0	1	0	0									
		0.50%	0.27%	0.54%	1.33%	1.64%	0.00%	1.93%	0.00%	0.00%	0.64%	0.00%	0.00%	0.00%	0.00%	0.00%	0.67%	0.00%	0.22%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	51	7	12	8	4	0	2	0	0	1	1	1	1	0	0	1	6	5	1	1									
		0.95%	0.94%	1.62%	1.18%	3.28%	0.00%	0.97%	0.00%	0.00%	0.32%	0.62%	0.69%	0.44%	0.00%	0.00%	0.22%	2.87%	1.10%	0.68%	0.91%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	4	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0									
		0.07%	0.00%	0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.32%	0.00%	0.00%	0.00%	0.00%	0.00%	0.22%	0.00%	0.22%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	37	8	6	3	1	1	0	0	1	4	1	0	0	2	0	2	1	5	2	0									
		0.69%	1.07%	0.81%	0.44%	0.82%	1.12%	0.00%	0.00%	1.41%	1.29%	0.62%	0.00%	0.00%	1.00%	0.00%	0.44%	0.48%	1.10%	1.37%	0.00%									
