Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																												
Дата голосования: 07.12.2003 0:00:00																																																												
																																																												
"Наименование Избирательной комиссии:    Калининград, Ленинградская"																																																												
																																																												
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																												
																																																												
		Сумма	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241					
1	"Число избирателей, внесенных в списки"	122205	2628	2836	347	2869	2399	2745	2414	2580	2003	2593	2893	2529	2452	2282	2113	2881	1873	2473	2404	1792	1729	1903	2883	2126	2109	2108	1919	1717	1424	1711	2983	2857	2819	2836	2471	2867	2249	2999	2637	2301	2546	2622	2307	1343	2918	609	2451	2961	1779	443	2636	2800	3036					
2	"Число бюллетеней, полученных участковыми комиссиями"	118650	2600	2800	300	2500	2300	2700	2400	2600	2000	2600	2800	2500	2400	2100	2100	2900	1700	2500	2400	2000	1600	1800	2800	2000	2100	2100	1900	1700	1400	1700	2900	2800	2800	2600	2400	2800	2200	3000	2600	2200	2200	2600	2200	1300	2900	700	2400	2800	1000	650	2600	2700	3000					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	54737	925	1105	169	1203	950	1102	1084	1424	1096	1343	1379	1321	1220	1110	1044	1393	855	1197	1151	963	695	880	1395	1085	1061	1104	915	602	529	620	1374	1303	1020	1227	996	1123	997	1129	1422	850	900	1003	864	394	1397	430	1182	1498	859	191	1166	1181	1311					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1092	20	15	0	12	8	24	22	14	13	12	14	11	20	14	5	18	19	14	29	17	35	86	16	9	22	18	18	4	6	17	9	17	10	9	28	8	13	13	9	42	37	15	19	15	11	85	7	22	5	138	13	17	18					
6	Число погашенных бюллетеней	62821	1655	1680	131	1285	1342	1574	1294	1162	891	1245	1407	1168	1160	976	1051	1489	826	1289	1220	1020	870	834	1389	906	1017	978	967	1094	865	1063	1517	1480	1770	1364	1376	1669	1190	1858	1169	1308	1263	1582	1317	891	1492	185	1211	1280	136	321	1421	1502	1671					
7	Число бюллетеней в переносных ящиках для голосования	1092	20	15	0	12	8	24	22	14	13	12	14	11	20	14	5	18	19	14	29	17	35	86	16	9	22	18	18	4	6	17	9	17	10	9	28	8	13	13	9	42	37	15	19	15	11	85	7	22	5	138	13	17	18					
8	Число бюллетеней в стационарных ящиках для голосования	54616	925	1105	169	1196	950	1102	1084	1424	1096	1343	1379	1321	1220	1108	1044	1393	855	1197	1151	963	658	879	1392	1081	1061	1104	915	602	529	620	1374	1303	1019	1227	996	1123	997	1129	1422	850	898	1003	864	394	1344	430	1180	1498	858	191	1161	1178	1311					
9	Число недействительных бюллетеней	486	18	9	5	8	14	14	6	14	7	13	7	21	7	6	5	14	5	15	8	12	5	12	7	11	11	19	4	5	12	3	9	11	3	6	18	15	14	0	8	5	16	10	9	3	5	5	4	6	5	4	14	8	11					
10	Число действительных бюллетеней	55222	927	1111	164	1200	944	1112	1100	1424	1102	1342	1386	1311	1233	1116	1044	1397	869	1196	1172	968	688	953	1401	1079	1072	1103	929	601	523	634	1374	1309	1026	1230	1006	1116	996	1142	1423	887	919	1008	874	406	1350	510	1183	1514	858	325	1160	1187	1318					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	1040	20	20	0	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	40	20	20	20	20	20	20	20	20	20	20	0	20	20	40	0	20	20	20					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	390	2	0	0	9	4	2	4	10	9	8	5	5	9	4	6	6	2	10	1	4	6	6	5	9	9	13	7	11	9	1	10	7	10	10	12	12	4	6	11	1	6	11	3	1	15	0	16	14	37	0	5	7	16					
