Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																										
Дата голосования: 04.12.2011																																																										
																																																										
"Наименование Избирательной комиссии:    Махачкала, Кировская"																																																										
																																																										
Сводная таблица результатов выборов																																																										
																																																										
		Сумма	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995	УИК №996	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041					
1	"Число избирателей, внесенных в список избирателей"	89443	1703	2640	1679	1816	1749	2197	1819	1470	1373	2101	2077	1823	2938	1913	1961	2192	1385	1813	1779	1983	1947	1975	2036	1022	1508	1717	1784	1369	2040	2543	1793	1593	1523	1802	967	2075	2094	1511	1992	1826	1812	1127	2207	2047	1709	1822	1809	1272	104	2004	2					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	80352	1504	2376	1637	1619	1562	1972	1648	1310	1119	1872	1892	1553	2685	1713	1756	1982	1230	1623	1568	1779	1748	1769	1803	1014	1324	1532	1599	1357	1775	2253	1601	1318	1355	1580	837	1802	1898	1424	1840	1665	1682	1021	2029	1869	1564	1706	1647	1138	104	1696	2					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	78993	1344	2016	1551	1611	1558	1972	1617	1309	1119	1872	1892	1553	2685	1713	1756	1980	1230	1621	1568	1778	1748	1768	1803	899	1324	1532	1599	1187	1767	2253	1601	1318	1355	1580	837	1802	1728	1338	1840	1665	1682	1021	2029	1869	1564	1656	1647	1138	0	1696	2					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	847	160	360	0	8	4	0	31	1	0	0	0	0	0	0	0	2	0	2	0	1	0	1	0	0	0	0	0	49	8	0	0	0	0	0	0	0	170	0	0	0	0	0	0	0	0	50	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	409	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	0	0	0	121	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	1	0	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	950	160	360	0	8	4	0	31	1	0	0	0	0	0	0	0	2	0	2	0	1	0	1	0	0	0	0	0	49	8	0	0	0	0	0	0	0	170	0	0	0	0	0	0	0	0	50	0	0	103	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	78993	1344	2016	1551	1611	1558	1972	1617	1309	1119	1872	1892	1553	2685	1713	1756	1980	1230	1621	1568	1778	1748	1768	1803	899	1324	1532	1599	1187	1767	2253	1601	1318	1355	1580	837	1802	1728	1338	1840	1665	1682	1021	2029	1869	1564	1656	1647	1138	0	1696	2					
9	Число недействительных избирательных бюллетеней	48	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	18	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	79895	1504	2376	1532	1619	1562	1972	1648	1310	1119	1872	1892	1553	2685	1713	1756	1982	1230	1623	1568	1779	1748	1769	1803	894	1324	1532	1599	1218	1775	2253	1601	1318	1355	1580	837	1802	1898	1332	1840	1665	1682	1021	2029	1869	1564	1706	1647	1138	103	1696	2					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	394	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	2	8	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	13	0	2	0	0	0	0	0	0	0	0	1	0	2	0	1	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2					
14	Число погашенных неиспользованных открепительных удостоверений	381	8	6	8	8	8	8	8	8	8	8	7	8	6	8	7	7	8	8	7	8	8	6	8	8	8	8	8	8	8	8	8	8	8	7	8	8	8	8	8	8	8	8	7	8	8	8	8	8	1	8	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																										
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	49	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	18	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.06%	0.00%	0.00%	0.90%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.78%	0.00%	0.00%	0.00%	1.46%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.07%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	10	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.01%	0.00%	0.00%	0.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.11%	0.00%	0.00%	0.00%	0.40%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.07%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	8	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.01%	0.00%	0.00%	0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.33%	0.00%	0.00%	0.00%	0.24%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	4374	64	90	70	67	68	77	68	51	33	94	191	69	92	58	67	90	36	76	226	78	65	60	86	119	211	69	90	219	194	128	66	46	50	78	76	184	133	140	73	52	76	99	52	68	64	39	60	46	3	62	1					
		5.47%	4.26%	3.79%	4.51%	4.14%	4.35%	3.90%	4.13%	3.89%	2.95%	5.02%	10.10%	4.44%	3.43%	3.39%	3.82%	4.54%	2.93%	4.68%	14.41%	4.38%	3.72%	3.39%	4.77%	13.24%	15.94%	4.50%	5.63%	17.72%	10.93%	5.68%	4.12%	3.49%	3.69%	4.94%	9.08%	10.21%	7.01%	10.46%	3.97%	3.12%	4.52%	9.70%	2.56%	3.64%	4.09%	2.29%	3.64%	4.04%	2.91%	3.66%	50.00%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	22	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.03%	0.00%	0.00%	0.71%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.06%	0.00%	0.44%	0.00%	0.00%	0.00%	0.40%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.07%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	75427	1440	2286	1429	1552	1494	1895	1580	1259	1086	1778	1701	1484	2593	1655	1689	1892	1194	1547	1342	1701	1683	1708	1717	750	1113	1463	1509	967	1581	2125	1535	1272	1305	1502	761	1618	1765	1189	1767	1613	1606	922	1977	1801	1500	1667	1587	1092	100	1634	1					
		94.35%	95.74%	96.21%	92.13%	95.86%	95.65%	96.10%	95.87%	96.11%	97.05%	94.98%	89.90%	95.56%	96.57%	96.61%	96.18%	95.46%	97.07%	95.32%	85.59%	95.62%	96.28%	96.55%	95.23%	83.43%	84.06%	95.50%	94.37%	78.24%	89.07%	94.32%	95.88%	96.51%	96.31%	95.06%	90.92%	89.79%	92.99%	88.86%	96.03%	96.88%	95.48%	90.30%	97.44%	96.36%	95.91%	97.71%	96.36%	95.96%	97.09%	96.34%	50.00%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	5	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.01%	0.00%	0.00%	0.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.11%	0.00%	0.00%	0.00%	0.08%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
