Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																						
Дата голосования: 04.12.2011																																						
																																						
Наименование Избирательной комиссии:    Территориальная избирательная комиссия №8																																						
																																						
Сводная таблица результатов выборов																																						
																																						
		Сумма	УИК №1358	УИК №1359	УИК №1360	УИК №1361	УИК №1362	УИК №1363	УИК №1364	УИК №1365	УИК №1366	УИК №1367	УИК №1368	УИК №1369	УИК №1370	УИК №1371	УИК №1372	УИК №1373	УИК №1374	УИК №1375	УИК №1376	УИК №1377	УИК №1378	УИК №1379	УИК №1380	УИК №1381	УИК №1382	УИК №1383	УИК №1384	УИК №1385	УИК №1386	УИК №1387	УИК №1388					
1	"Число избирателей, внесенных в список избирателей"	58035	1434	3267	1329	2082	1597	263	1652	2308	1729	1765	1743	2091	1955	1552	1757	1970	1667	1901	638	2773	2653	2349	2196	1870	1903	2433	2448	1443	2761	2002	504					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	44412	1000	2400	950	1600	1200	262	1300	1700	1300	1350	1350	1600	1500	1100	1300	1500	1300	1500	600	2000	2000	1800	1700	1400	1500	2000	1900	1100	2100	1600	500					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	31335	769	1737	631	1046	935	195	854	1260	780	933	959	1121	1099	852	956	1193	839	1061	483	1481	1478	1239	1202	955	974	1643	1300	692	1170	1024	474					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1001	21	43	46	38	78	63	11	34	42	25	35	34	28	30	38	27	19	29	101	31	20	44	42	24	31	7	11	13	20	0	16					
6	Число погашенных избирательных бюллетеней	12076	210	620	273	516	187	4	435	406	478	392	356	445	373	218	306	280	442	410	16	488	502	517	456	421	495	350	589	395	910	576	10					
7	Число избирательных бюллетеней в переносных ящиках для голосования	998	19	43	46	38	78	63	11	34	42	25	35	34	27	30	38	27	19	29	101	31	20	44	42	24	31	7	11	13	20	0	16					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	31099	757	1688	627	1043	846	195	854	1256	778	928	953	1117	1094	850	950	1192	835	1059	483	1480	1471	1235	1199	955	970	1641	1297	689	1163	1020	474					
9	Число недействительных избирательных бюллетеней	1084	123	19	12	17	22	6	18	51	23	18	20	24	180	7	21	25	10	18	82	19	16	16	31	13	13	20	27	177	29	13	14					
10	Число действительных избирательных бюллетеней	31013	653	1712	661	1064	902	252	847	1239	797	935	968	1127	941	873	967	1194	844	1070	502	1492	1475	1263	1210	966	988	1628	1281	525	1154	1007	476					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1020	30	50	30	60	30	10	30	30	30	80	30	30	30	30	30	30	60	30	10	30	40	30	30	30	30	30	30	30	40	40	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	688	9	40	8	42	10	10	10	27	27	51	15	15	20	14	27	28	40	24	0	23	34	22	25	15	17	27	28	10	39	31	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	640	70	23	23	14	21	7	9	66	14	22	34	22	10	38	17	11	13	12	26	10	15	17	20	9	13	12	28	14	25	17	8					
14	Число погашенных неиспользованных открепительных удостоверений	332	21	10	22	18	20	0	20	3	3	29	15	15	10	16	3	2	20	6	10	7	6	8	5	15	13	3	2	20	1	9	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	37	0	1	0	0	0	0	0	0	0	34	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																						
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	7703	122	437	132	246	228	16	266	345	214	201	234	323	264	240	308	264	248	303	37	369	377	391	323	240	300	244	314	171	258	183	105					
		23.99%	15.72%	25.25%	19.61%	22.76%	24.68%	6.20%	30.75%	26.74%	26.10%	21.09%	23.68%	28.06%	23.55%	27.27%	31.17%	21.66%	29.04%	27.85%	6.34%	24.42%	25.29%	30.57%	26.03%	24.51%	29.97%	14.81%	24.01%	24.36%	21.81%	17.94%	21.43%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	4222	162	194	72	127	104	11	125	169	81	87	141	166	113	98	118	219	107	142	35	230	222	175	156	140	115	297	185	10	180	178	63					
		13.15%	20.88%	11.21%	10.70%	11.75%	11.26%	4.26%	14.45%	13.10%	9.88%	9.13%	14.27%	14.42%	10.08%	11.14%	11.94%	17.97%	12.53%	13.05%	5.99%	15.22%	14.89%	13.68%	12.57%	14.30%	11.49%	18.02%	14.14%	1.42%	15.22%	17.45%	12.86%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	472	11	33	4	16	8	4	9	15	12	2	16	19	7	18	13	21	16	20	15	32	16	17	22	16	19	32	11	9	13	21	5					
		1.47%	1.42%	1.91%	0.59%	1.48%	0.87%	1.55%	1.04%	1.16%	1.46%	0.21%	1.62%	1.65%	0.62%	2.05%	1.32%	1.72%	1.87%	1.84%	2.57%	2.12%	1.07%	1.33%	1.77%	1.63%	1.90%	1.94%	0.84%	1.28%	1.10%	2.06%	1.02%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	6245	83	331	117	184	189	11	132	250	151	193	209	243	166	180	179	251	171	218	35	313	293	241	262	244	211	359	306	148	281	227	67					
		19.46%	10.70%	19.12%	17.38%	17.02%	20.45%	4.26%	15.26%	19.38%	18.41%	20.25%	21.15%	21.11%	14.81%	20.45%	18.12%	20.59%	20.02%	20.04%	5.99%	20.71%	19.65%	18.84%	21.11%	24.92%	21.08%	21.78%	23.39%	21.08%	23.75%	22.25%	13.67%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	3431	57	187	69	116	76	0	65	187	85	85	109	103	109	111	123	84	74	92	21	160	163	127	170	99	105	114	143	31	253	286	27					
		10.69%	7.35%	10.80%	10.25%	10.73%	8.23%	0.00%	7.51%	14.50%	10.37%	8.92%	11.03%	8.95%	9.72%	12.61%	12.45%	6.89%	8.67%	8.46%	3.60%	10.59%	10.93%	9.93%	13.70%	10.11%	10.49%	6.92%	10.93%	4.42%	21.39%	28.04%	5.51%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	8638	209	509	261	363	294	204	245	267	250	364	251	265	274	221	216	342	217	286	340	378	392	304	273	213	228	571	306	145	148	95	207					
