Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																								
Дата голосования: 02.12.2007																																																								
																																																								
Наименование Избирательной комиссии:    Кимовская																																																								
																																																								
Сводная таблица результатов выборов																																																								
																																																								
		Сумма	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388					
1	"Число избирателей, внесенных в списки избирателей"	37227	1056	1509	1425	1332	2327	1015	1276	2249	1885	1648	1836	1308	162	1131	1216	1258	671	149	537	463	891	271	174	478	233	224	214	216	749	478	253	153	295	284	594	356	146	163	568	225	466	290	158	286	466	401	545	1342	1855					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	37455	1050	1500	1450	1350	2350	1000	1300	2350	1900	1700	1900	1300	150	1150	1250	1250	650	150	500	450	900	250	185	450	250	250	200	200	750	500	250	150	300	275	600	375	150	170	550	225	450	275	150	300	450	400	550	1350	1850					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	17914	417	686	700	588	1176	586	697	1087	866	890	927	666	150	634	595	566	242	79	270	201	386	122	83	224	106	80	95	94	333	177	91	60	211	143	282	181	87	72	286	130	196	138	100	174	189	151	208	640	852					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3723	46	57	63	61	81	42	47	86	52	88	118	85	0	50	78	67	73	14	42	39	70	19	43	137	69	67	65	74	162	158	128	73	25	48	89	132	45	68	171	50	174	90	19	29	77	121	69	152	110					
6	Число погашенных избирательных бюллетеней	15818	587	757	687	701	1093	372	556	1177	982	722	855	549	0	466	577	617	335	57	188	210	444	109	59	89	75	103	40	32	255	165	31	17	64	84	229	62	18	30	93	45	80	47	31	97	184	128	273	558	888					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3722	46	57	63	61	81	42	47	86	52	88	118	85	0	50	78	67	73	14	42	39	70	19	43	137	69	67	65	74	162	158	128	72	25	48	89	132	45	68	171	50	174	90	19	29	77	121	69	152	110					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	17906	417	686	700	588	1174	586	697	1087	860	890	927	666	150	634	595	566	242	79	270	201	386	122	83	224	106	80	95	94	333	177	91	60	211	143	282	181	87	72	286	130	196	138	100	174	189	151	208	640	852					
9	Число недействительных избирательных бюллетеней	189	6	6	8	4	12	9	10	8	8	7	15	10	1	7	7	4	3	0	0	5	2	0	0	0	0	0	0	0	2	0	4	2	2	0	7	3	4	0	0	4	1	0	2	0	4	2	3	8	9					
10	Число действительных избирательных бюллетеней	21439	457	737	755	645	1243	619	734	1165	904	971	1030	741	149	677	666	629	312	93	312	235	454	141	126	361	175	147	160	168	493	335	215	130	234	191	364	310	128	140	457	176	369	228	117	203	262	270	274	784	953					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	677	5	16	30	20	21	25	37	40	21	45	33	15	0	17	17	6	4	0	5	9	5	0	15	10	10	15	0	10	30	20	5	3	10	1	4	15	0	0	10	15	20	0	17	10	10	25	13	30	8					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	674	5	16	30	20	21	25	37	40	21	45	33	15	0	17	17	6	4	0	5	9	5	0	15	10	10	15	0	10	30	20	5	3	10	1	4	15	0	0	10	15	20	0	17	10	10	22	13	30	8					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	320	9	9	10	6	10	6	12	24	12	27	5	8	9	10	7	6	1	3	4	10	7	0	7	28	0	2	5	8	5	8	0	3	3	4	3	3	5	0	3	2	1	3	4	9	1	2	5	6	5					
14	Число погашенных неиспользованных открепительных удостоверений	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	178	2	9	9	6	6	3	7	15	8	5	11	7	0	3	7	13	6	0	4	4	3	1	3	1	0	2	1	0	1	2	3	0	1	4	2	3	1	1	5	1	3	0	2	1	1	3	4	1	3					
