Выборы Президента Российской Федерации																																																						
																																																						
Наименование Избирательной комиссии:    Липецкая																																																						
																																																						
Итоги голосования 																																																						
																																																						
		Сумма	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288					
1	"Число избирателей, внесенных в список"	36570	1400	1759	1332	500	469	1805	581	1007	644	461	429	865	407	564	224	1197	1295	506	624	1230	786	1375	459	778	156	1689	520	700	281	377	338	544	1644	141	158	235	174	162	103	1450	1345	1890	1822	357	102	1481	204					
2	Число полученных избирательных бюллетеней	37281	1357	1818	1395	497	460	1830	588	1036	674	469	454	862	399	569	233	1311	1361	531	659	1260	786	1417	474	792	152	1727	542	705	281	371	326	553	1678	145	157	242	184	176	106	1459	1339	1921	1835	354	99	1499	198					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	22408	1065	1091	966	340	294	1049	402	570	429	289	250	346	259	353	126	712	826	305	363	668	384	831	286	473	109	1139	335	550	196	261	241	329	1062	88	106	148	98	117	53	702	702	977	1042	247	59	1057	113					
5	"Число избирательных бюллетеней, выданных вне помещения"	4763	79	162	115	75	111	319	92	146	101	104	127	241	56	123	35	188	124	124	77	137	102	190	68	165	27	146	69	81	21	42	39	91	190	37	26	63	43	16	37	111	90	186	127	75	39	100	46					
6	Число погашенных избирательных бюллетеней	10110	213	565	314	82	55	462	94	320	144	76	77	275	84	93	72	411	411	102	219	455	300	396	120	154	16	442	138	74	64	68	46	133	426	20	25	31	43	43	16	646	547	758	666	32	1	342	39					
7	Число избирательных бюллетеней в переносных ящиках	4763	79	162	115	75	111	319	92	146	101	104	127	241	56	123	35	188	124	124	77	137	102	190	68	165	27	146	69	81	21	42	39	91	190	37	26	63	43	16	37	111	90	186	127	75	39	100	46					
8	Число бюллетеней в стационарных ящиках для голосования	22405	1062	1091	966	340	294	1049	402	570	429	289	250	346	259	353	126	712	826	305	363	668	384	831	286	473	109	1139	335	550	196	261	241	329	1062	88	106	148	98	117	53	702	702	977	1042	247	59	1057	113					
9	Число недействительных избирательных бюллетеней	383	6	11	17	8	13	20	3	6	6	4	7	13	2	7	4	6	23	7	2	16	9	19	13	10	0	33	11	11	4	2	1	1	25	0	0	1	0	0	0	0	16	12	22	0	0	8	4					
10	Число действительных избирательных бюллетеней	26785	1135	1242	1064	407	392	1348	491	710	524	389	370	574	313	469	157	894	927	422	438	789	477	1002	341	628	136	1252	393	620	213	301	279	419	1227	125	132	210	141	133	90	813	776	1151	1147	322	98	1149	155					
11	Число полученных открепительных  удостоверений	540	17	20	17	12	7	20	8	12	12	7	7	12	7	7	5	20	20	10	10	17	10	18	7	12	5	40	7	11	5	6	7	13	18	3	4	5	4	4	4	17	16	20	18	5	3	28	3					
12	Число выданных открепительных удостоверений	274	9	6	5	12	1	20	8	2	12	6	5	2	1	1	3	11	8	2	3	5	2	5	3	4	1	29	7	7	0	0	2	10	16	1	0	4	0	2	0	4	8	16	9	1	0	21	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	236	5	7	4	12	6	6	4	0	5	6	2	5	13	10	1	4	7	6	9	5	0	1	1	5	1	7	8	5	3	4	9	5	3	2	3	4	1	2	1	6	9	6	7	6	3	12	5					
14	Число неиспользованных открепительных удостоверений	266	8	14	12	0	6	0	0	10	0	1	2	10	6	6	2	9	12	8	7	12	8	13	4	8	4	11	0	4	5	6	5	3	2	2	4	1	4	2	4	13	8	4	9	4	3	7	3					
15	"Число открепительных удостоверений, выданных в ТИК"	21	1	0	0	2	0	1	1	0	1	0	1	0	0	0	0	4	0	0	0	0	1	2	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																						
18	. Глазьев Сергей Юрьевич	782	61	23	33	21	8	49	18	10	14	18	8	20	4	11	5	25	51	9	25	17	8	19	7	18	3	37	10	8	13	10	6	8	28	2	3	7	0	1	0	33	29	26	38	4	1	30	3					
		2.88%	5.35%	1.84%	3.05%	5.06%	1.98%	3.58%	3.64%	1.40%	2.64%	4.58%	2.12%	3.41%	1.27%	2.31%	3.11%	2.78%	5.37%	2.10%	5.68%	2.11%	1.65%	1.86%	1.98%	2.82%	2.21%	2.88%	2.48%	1.27%	5.99%	3.30%	2.14%	1.90%	2.24%	1.60%	2.27%	3.32%	0.00%	0.75%	0.00%	4.06%	3.66%	2.24%	3.25%	1.24%	1.02%	2.59%	1.89%					
19	. Малышкин Олег Александрович	804	25	43	52	8	5	34	9	18	34	9	11	16	6	11	6	16	27	15	9	40	5	35	12	34	2	29	14	13	9	6	6	11	33	1	1	5	7	4	2	17	29	25	40	6	1	52	11					
		2.96%	2.19%	3.43%	4.81%	1.93%	1.23%	2.49%	1.82%	2.51%	6.42%	2.29%	2.92%	2.73%	1.90%	2.31%	3.73%	1.78%	2.84%	3.50%	2.05%	4.97%	1.03%	3.43%	3.39%	5.33%	1.47%	2.26%	3.47%	2.06%	4.15%	1.98%	2.14%	2.62%	2.64%	0.80%	0.76%	2.37%	4.96%	3.01%	2.22%	2.09%	3.66%	2.15%	3.42%	1.86%	1.02%	4.49%	6.92%					
20	. Миронов Сергей Михайлович	178	15	9	4	3	1	3	2	7	5	7	2	2	2	3	0	1	7	2	0	6	2	10	4	0	0	14	5	5	2	2	0	5	9	3	0	0	0	1	0	8	5	8	2	4	0	7	1					
		0.66%	1.31%	0.72%	0.37%	0.72%	0.25%	0.22%	0.40%	0.98%	0.94%	1.78%	0.53%	0.34%	0.63%	0.63%	0.00%	0.11%	0.74%	0.47%	0.00%	0.75%	0.41%	0.98%	1.13%	0.00%	0.00%	1.09%	1.24%	0.79%	0.92%	0.66%	0.00%	1.19%	0.72%	2.40%	0.00%	0.00%	0.00%	0.75%	0.00%	0.98%	0.63%	0.69%	0.17%	1.24%	0.00%	0.61%	0.63%					
21	. Путин Владимир Владимирович	18580	709	755	679	293	288	960	351	544	343	242	288	367	237	288	102	602	615	297	275	587	373	735	228	445	114	883	270	486	136	206	183	318	781	79	102	156	117	99	59	612	564	787	835	240	90	763	97					
		68.39%	62.14%	60.26%	62.81%	70.60%	71.11%	70.18%	71.05%	75.98%	64.72%	61.58%	76.39%	62.52%	75.24%	60.50%	63.35%	66.89%	64.74%	69.23%	62.50%	72.92%	76.75%	71.99%	64.41%	69.75%	83.82%	68.72%	66.83%	77.02%	62.67%	67.99%	65.36%	75.71%	62.38%	63.20%	77.27%	73.93%	82.98%	74.44%	65.56%	75.28%	71.21%	67.67%	71.43%	74.53%	91.84%	65.95%	61.01%					
22	. Хакамада Ирина Муцуовна	451	21	28	13	4	9	18	8	8	10	7	4	9	4	3	4	12	20	4	7	17	8	13	5	5	3	23	7	10	0	8	5	10	19	2	0	3	0	2	3	21	15	28	18	6	0	25	2					
