Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																
Дата голосования: 18.09.2016																																
																																
Наименование Избирательной комиссии:    Залесовская																																
																																
Сводная таблица итогов голосования по федеральному избирательному округу																																
																																
		Сумма	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	11930	344	167	627	54	139	561	1140	1184	1600	1616	425	203	508	753	150	394	174	874	139	114	764									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	9600	280	150	500	50	100	480	900	900	1200	1200	350	160	450	600	130	350	130	800	120	100	650									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4788	154	84	255	22	64	183	449	503	592	528	194	96	241	347	82	170	100	266	48	57	353									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	394	19	7	40	0	13	34	17	23	23	14	6	4	23	31	7	21	2	64	9	10	27									
6	Число погашенных избирательных бюллетеней	4418	107	59	205	28	23	263	434	374	585	658	150	60	186	222	41	159	28	470	63	33	270									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	394	19	7	40	0	13	34	17	23	23	14	6	4	23	31	7	21	2	64	9	10	27									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4788	154	84	255	22	64	183	449	503	592	528	194	96	241	347	82	170	100	266	48	57	353									
9	Число недействительных избирательных бюллетеней	135	5	2	16	0	1	12	12	10	9	10	7	3	9	16	2	1	1	3	0	2	14									
10	Число действительных избирательных бюллетеней	5047	168	89	279	22	76	205	454	516	606	532	193	97	255	362	87	190	101	327	57	65	366									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	107	4	2	5	1	2	5	10	12	12	12	5	2	5	6	2	4	2	6	2	2	6									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	55	0	0	0	0	2	2	7	11	8	11	1	0	0	3	0	2	0	5	0	0	3									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	64	2	3	4	1	4	2	6	2	1	2	1	2	3	1	3	3	1	4	5	2	12									
14	Число погашенных неиспользованных открепительных удостоверений	52	4	2	5	1	0	3	3	1	4	1	4	2	5	3	2	2	2	1	2	2	3									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	10	0	0	0	0	0	0	4	3	2	1	0	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
