Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																														
Дата голосования: 04.12.2011																														
																														
Наименование Избирательной комиссии:    Куменская																														
																														
Сводная таблица результатов выборов																														
																														
		Сумма	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668					
1	"Число избирателей, внесенных в список избирателей"	15207	430	357	303	365	256	1341	306	504	319	1431	214	475	319	287	976	508	1409	1305	1439	227	903	1008	525					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	15615	445	375	310	380	275	1390	320	515	335	1460	220	490	330	300	970	510	1440	1290	1500	230	1000	1000	530					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	8311	221	217	218	218	147	762	156	290	198	698	100	264	183	170	469	314	735	617	917	131	492	568	226					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	987	37	8	28	24	46	66	31	32	14	83	10	49	22	28	81	16	54	95	71	29	15	42	106					
6	Число погашенных избирательных бюллетеней	6317	187	150	64	138	82	562	133	193	123	679	110	177	125	102	420	180	651	578	512	70	493	390	198					
7	Число избирательных бюллетеней в переносных ящиках для голосования	987	37	8	28	24	46	66	31	32	14	83	10	49	22	28	81	16	54	95	71	29	15	42	106					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	8311	221	217	218	218	147	762	156	290	198	698	100	264	183	170	469	314	735	617	917	131	492	568	226					
9	Число недействительных избирательных бюллетеней	149	6	1	6	4	2	12	1	4	0	18	2	6	4	4	8	8	15	14	16	2	5	10	1					
10	Число действительных избирательных бюллетеней	9149	252	224	240	238	191	816	186	318	212	763	108	307	201	194	542	322	774	698	972	158	502	600	331					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	485	15	15	15	15	15	40	15	15	15	30	15	15	15	15	20	15	30	30	50	15	30	30	15					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	291	13	15	10	5	15	29	6	12	13	11	3	15	15	7	10	5	7	13	45	11	2	14	15					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	277	3	4	1	3	3	9	4	6	3	11	1	4	3	2	8	2	12	19	7	3	19	140	10					
14	Число погашенных неиспользованных открепительных удостоверений	194	2	0	5	10	0	11	9	3	2	19	12	0	0	8	10	10	23	17	5	4	28	16	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	16	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	2	5	4	2	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
