Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																														
Дата голосования: 18.09.2016																																														
																																														
Наименование Избирательной комиссии:    Шарыповская																																														
																																														
Сводная таблица итогов голосования по федеральному избирательному округу																																														
																																														
		Сумма	УИК №2080	УИК №2081	УИК №2082	УИК №2083	УИК №2084	УИК №2085	УИК №2086	УИК №2087	УИК №2088	УИК №2089	УИК №2090	УИК №2091	УИК №2092	УИК №2093	УИК №2094	УИК №2095	УИК №2096	УИК №2097	УИК №2098	УИК №2099	УИК №2100	УИК №2101	УИК №2102	УИК №2103	УИК №2104	УИК №2105	УИК №2106	УИК №2107	УИК №2108	УИК №2109	УИК №2110	УИК №2111	УИК №2112	УИК №2342	УИК №2345									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	12721	1275	183	114	114	172	523	258	249	152	130	224	929	330	171	130	658	610	122	361	158	583	1203	354	410	304	193	413	1012	145	246	291	332	77	114	181									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	12475	1280	175	110	115	180	500	265	240	140	125	225	930	315	165	130	650	600	115	330	165	580	1190	325	385	305	180	410	1000	140	240	290	325	75	105	170									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	6239	402	81	55	63	90	279	202	138	84	90	93	385	120	80	98	313	357	58	198	119	285	534	213	262	212	96	176	471	61	124	160	155	45	60	80									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	682	42	0	10	6	24	9	32	7	15	4	26	16	10	9	16	65	26	2	28	15	17	17	16	17	19	0	35	89	6	30	10	40	5	6	13									
6	Число погашенных избирательных бюллетеней	5554	836	94	45	46	66	212	31	95	41	31	106	529	185	76	16	272	217	55	104	31	278	639	96	106	74	84	199	440	73	86	120	130	25	39	77									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	682	42	0	10	6	24	9	32	7	15	4	26	16	10	9	16	65	26	2	28	15	17	17	16	17	19	0	35	89	6	30	10	40	5	6	13									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	6238	402	81	55	63	90	279	202	138	84	90	93	385	120	80	98	313	357	58	198	119	285	534	213	262	212	96	175	471	61	124	160	155	45	60	80									
9	Число недействительных избирательных бюллетеней	138	9	3	0	0	2	3	0	13	2	0	5	17	5	2	4	9	9	1	1	0	5	9	3	0	0	1	0	16	0	3	6	9	0	0	1									
10	Число действительных избирательных бюллетеней	6782	435	78	65	69	112	285	234	132	97	94	114	384	125	87	110	369	374	59	225	134	297	542	226	279	231	95	210	544	67	151	164	186	50	66	92									
