Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																					
Дата голосования: 18.09.2016																																																																					
																																																																					
Наименование Избирательной комиссии:    Ухтинская городская																																																																					
																																																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																																																					
																																																																					
		Сумма	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	89708	2556	1701	1901	1070	2260	1997	1728	1845	1712	1820	2465	2439	1166	2527	1130	1303	1505	2072	2190	1604	761	714	311	2143	2248	839	1141	1871	2514	2288	1530	1420	1562	1630	1676	1411	1882	1820	1477	1872	1658	1363	1770	2224	651	752	250	1725	1665	1727	1368	738	2090	1635	1678	234	30	49									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	75270	2100	1400	1100	800	1800	1700	1500	1500	1400	1500	2000	2000	900	2100	1000	1100	1200	1700	1800	1300	700	780	343	1800	1800	800	1000	1500	2100	1800	1300	1200	1300	1300	1500	1200	1600	1600	1200	1500	1400	1100	1500	1800	600	700	247	1500	1500	1500	1300	700	1800	1400	1400	500	40	60									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	40	0	0	63	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	36210	1040	526	1051	498	876	814	690	732	716	729	1046	1197	447	975	420	568	520	676	761	571	193	367	134	856	802	325	437	666	1075	959	613	557	652	679	900	724	878	776	515	681	584	561	799	908	277	270	103	584	626	516	695	263	823	719	678	101	21	40									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	724	16	4	10	5	7	12	11	7	13	18	21	3	9	16	4	16	12	6	5	10	50	24	0	44	8	3	3	9	13	3	9	6	7	8	2	18	11	10	3	3	3	2	2	16	5	22	9	25	40	32	41	8	10	7	8	46	9	0									
6	Число погашенных избирательных бюллетеней	38140	1044	870	39	297	917	874	799	761	671	753	933	800	444	1109	576	516	668	1018	1034	719	457	389	146	900	990	472	560	825	1012	838	678	637	641	613	598	458	711	814	682	816	813	537	699	876	318	408	105	851	834	952	501	429	967	674	714	353	10	20									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	920	16	4	10	5	7	12	11	7	13	18	21	3	9	16	4	16	12	6	5	10	50	24	63	44	8	3	3	9	13	3	9	6	7	8	2	18	11	10	3	3	3	2	2	16	5	22	39	65	40	32	104	8	10	7	8	46	9	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	36193	1037	526	1051	498	875	814	690	731	716	729	1044	1197	447	975	419	568	520	676	761	571	193	367	134	856	800	325	437	666	1075	959	613	557	652	679	900	724	878	776	515	681	584	561	797	908	275	270	103	584	625	516	695	263	823	719	678	99	21	40									
9	Число недействительных избирательных бюллетеней	1140	26	19	72	15	24	21	22	24	22	23	22	42	14	31	8	19	14	22	19	19	20	10	5	25	32	16	15	3	27	32	10	22	19	14	17	120	0	16	11	0	18	12	20	35	9	14	1	20	17	13	5	9	21	18	25	10	0	1									
10	Число действительных избирательных бюллетеней	35973	1027	511	989	488	858	805	679	714	707	724	1043	1158	442	960	415	565	518	660	747	562	223	381	192	875	776	312	425	672	1061	930	612	541	640	673	885	622	889	770	507	684	569	551	779	889	271	278	141	629	648	535	794	262	812	708	661	135	30	39									
