Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																														
Дата голосования: 07.12.2003 0:00:00																														
																														
Наименование Избирательной комиссии:    Петровск-Забайкальская																														
																														
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																														
																														
		Сумма	УИК  213	УИК  214	УИК  215	УИК  216	УИК  217	УИК  218	УИК  219	УИК  220	УИК  221	УИК  222	УИК  223	УИК  224	УИК  225	УИК  226	УИК  227	УИК  228	УИК  229	УИК  230	УИК  231	УИК  232	УИК  233	УИК  234	УИК  235					
1	"Число избирателей, внесенных в списки"	14214	346	86	132	1099	1012	562	142	470	142	145	261	663	1297	1120	210	86	897	964	1587	1186	178	392	1237					
2	"Число бюллетеней, полученных участковыми комиссиями"	14095	354	94	138	1095	1038	566	155	487	144	150	259	681	1244	1103	204	90	880	940	1525	1149	189	392	1218					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	7310	235	73	111	619	496	351	111	272	117	55	129	269	598	588	141	68	404	552	643	483	123	279	593					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	309	10	0	0	19	22	26	0	50	0	8	16	11	44	20	0	0	3	2	32	19	4	0	23					
6	Число погашенных бюллетеней	6476	109	21	27	457	520	189	44	165	27	87	114	401	602	495	63	22	473	386	850	647	62	113	602					
7	Число бюллетеней в переносных ящиках для голосования	309	10	0	0	19	22	26	0	50	0	8	16	11	44	20	0	0	3	2	32	19	4	0	23					
8	Число бюллетеней в стационарных ящиках для голосования	7309	235	73	111	619	496	351	111	272	117	55	129	269	598	588	141	68	404	552	642	483	123	279	593					
9	Число недействительных бюллетеней	114	4	1	0	18	9	2	0	3	0	3	1	8	14	9	0	0	2	4	9	11	1	5	10					
10	Число действительных бюллетеней	7504	241	72	111	620	509	375	111	319	117	60	144	272	628	599	141	68	405	550	665	491	126	274	606					
