Выборы Президента Российской Федерации																																																																																																																																
Дата голосования: 18.03.2018																																																																																																																																
																																																																																																																																
Наименование Избирательной комиссии:    Череповецкая городская																																																																																																																																
																																																																																																																																
Сводная таблица итогов голосования																																																																																																																																
																																																																																																																																
	Число участковых избирательных комиссий	117																																																																																																																														
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	117																																																																																																																														
																																																																																																																																
		Сумма	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №989	УИК №990	УИК №991	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021									
1	"Число избирателей, включенных в список избирателей"	250503	2669	3008	2735	2946	2854	2619	2481	2233	2726	2414	2434	2645	2691	3063	2929	3041	2470	2379	2593	2532	2954	2841	2514	2272	2024	2906	2463	2222	2316	2323	1648	2152	1855	2216	1927	1874	2286	2162	2154	1184	2578	1713	2362	2112	1621	2293	2343	2360	2386	2633	2331	1074	2862	2633	1914	2584	2211	2371	40	2541	2398	2524	2438	2417	2545	2429	1928	2137	2458	2384	2306	1740	1747	2639	2013	2410	2467	2455	1744	2146	2201	2081	2360	2433	2103	2376	1643	2042	2029	1986	2182	2438	1910	2435	2401	2314	2619	2340	2133	2417	2301	1804	1917	2526	2596	49	324	2889	2339	2388	64	177	21	259	317	39	8									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	228939	2500	2800	2500	2800	2800	2500	2300	2000	2600	2300	2300	2600	2500	2600	2600	2600	2200	2200	2400	2400	2800	2600	2300	2000	1800	2700	2300	2000	2100	2000	1500	2000	1600	2000	1700	1700	2000	2000	2000	1000	2300	1500	2000	2000	1200	2100	2200	2200	2200	2300	2300	1000	2500	2400	1800	2500	2000	2100	42	2400	2200	2300	2300	2200	2300	2300	1600	1900	2300	2100	2100	1500	1700	2400	1900	2300	2200	2300	1500	1900	2000	1800	2300	2200	1800	2200	1500	1900	1900	1800	2000	2200	1700	2200	2200	2100	2500	2100	2000	2100	2100	1700	1800	2300	2500	55	330	2500	2200	2100	70	180	21	260	330	41	10									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	167800	1900	2157	1841	2036	1908	1831	1665	1539	1899	1618	1840	1840	1828	2135	2079	1998	1574	1516	1687	1617	2094	1678	1383	1331	1253	2069	1560	1320	1409	1547	988	1221	1210	1533	1233	1218	1466	1349	1324	665	1778	1163	1700	1370	1036	1527	1631	1671	1632	1869	2055	639	1792	1686	1166	1704	1431	1644	26	1682	1556	1608	1590	1666	1710	1614	1304	1417	1687	1645	1484	1133	1170	1727	1448	1431	1707	1681	1169	1525	1537	1379	1675	1649	1366	1707	1057	1389	1382	1367	1470	1634	1290	1758	1664	1545	1639	1458	1457	1562	1591	1208	1400	1765	1767	42	126	1971	1717	1748	46	133	21	85	317	39	6									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	5802	37	35	36	58	45	30	49	28	60	32	18	40	47	41	26	60	71	64	48	60	61	76	52	66	52	43	23	17	75	76	27	27	71	60	83	49	91	80	109	9	69	47	79	42	38	45	87	50	64	90	23	16	42	47	31	58	28	32	14	42	57	31	70	69	52	64	49	54	64	57	63	58	40	31	53	36	39	55	60	42	59	80	41	64	53	45	67	51	51	73	56	34	56	46	57	41	56	63	28	48	40	33	16	63	46	0	180	52	30	15	18	44	0	174	0	0	2									
6	Число погашенных избирательных бюллетеней	55337	563	608	623	706	847	639	586	433	641	650	442	720	625	424	495	542	555	620	665	723	645	846	865	603	495	588	717	663	616	377	485	752	319	407	384	433	443	571	567	326	453	290	221	588	126	528	482	479	504	341	222	345	666	667	603	738	541	424	2	676	587	661	640	465	538	622	247	429	549	398	553	309	490	642	399	833	454	564	271	333	404	341	584	487	381	448	376	460	467	360	474	532	354	396	479	514	805	579	515	490	469	459	384	472	687	13	24	477	453	337	6	3	0	1	13	2	2									
