Выборы Президента Российской Федерации																				
																				
Наименование Избирательной комиссии:    Дульдургинская																				
																				
Итоги голосования 																				
																				
		Сумма	УИК  22	УИК  23	УИК  24	УИК  25	УИК  26	УИК  27	УИК  28	УИК  29	УИК  30	УИК  31	УИК  32	УИК  33	УИК  34					
1	"Число избирателей, внесенных в список"	9826	789	1246	2329	692	244	538	145	235	521	1078	681	615	713					
2	Число полученных избирательных бюллетеней	9853	792	1188	2329	704	244	571	149	249	531	1088	684	627	697					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	6160	522	656	1233	478	188	382	115	183	368	686	433	383	533					
5	"Число избирательных бюллетеней, выданных вне помещения"	1092	35	106	90	91	19	46	17	19	71	204	141	145	108					
6	Число погашенных избирательных бюллетеней	2601	235	426	1006	135	37	143	17	47	92	198	110	99	56					
7	Число избирательных бюллетеней в переносных ящиках	1092	35	106	90	91	19	46	17	19	71	204	141	145	108					
8	Число бюллетеней в стационарных ящиках для голосования	6160	522	656	1233	478	188	382	115	183	368	686	433	383	533					
9	Число недействительных избирательных бюллетеней	43	3	4	6	4	3	2	1	2	4	6	2	3	3					
10	Число действительных избирательных бюллетеней	7209	554	758	1317	565	204	426	131	200	435	884	572	525	638					
11	Число полученных открепительных  удостоверений	200	17	18	25	15	10	13	3	12	15	27	15	15	15					
12	Число выданных открепительных удостоверений	125	8	8	21	10	0	11	1	5	14	27	1	6	13					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	40	1	0	9	5	1	1	1	3	9	0	2	6	2					
14	Число неиспользованных открепительных удостоверений	75	9	10	4	5	10	2	2	7	1	0	14	9	2					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																				
18	. Глазьев Сергей Юрьевич	115	7	11	19	5	2	11	0	5	3	22	7	8	15					
		1.59%	1.26%	1.44%	1.44%	0.88%	0.97%	2.57%	0.00%	2.48%	0.68%	2.47%	1.22%	1.52%	2.34%					
19	. Малышкин Олег Александрович	111	19	11	15	4	8	16	7	11	2	2	4	8	4					
		1.53%	3.41%	1.44%	1.13%	0.70%	3.86%	3.74%	5.30%	5.45%	0.46%	0.22%	0.70%	1.52%	0.62%					
20	. Миронов Сергей Михайлович	28	3	6	6	3	0	1	3	1	1	0	2	0	2					
		0.39%	0.54%	0.79%	0.45%	0.53%	0.00%	0.23%	2.27%	0.50%	0.23%	0.00%	0.35%	0.00%	0.31%					
21	. Путин Владимир Владимирович	5899	420	591	965	518	157	293	95	151	395	785	519	434	576					
		81.34%	75.40%	77.56%	72.94%	91.04%	75.85%	68.46%	71.97%	74.75%	89.98%	88.20%	90.42%	82.20%	89.86%					
22	. Хакамада Ирина Муцуовна	189	13	31	51	9	3	7	4	10	5	25	12	7	12					
		2.61%	2.33%	4.07%	3.85%	1.58%	1.45%	1.64%	3.03%	4.95%	1.14%	2.81%	2.09%	1.33%	1.87%					
23	. Харитонов Николай Михайлович	821	89	101	246	23	33	93	18	22	27	49	27	67	26					
		11.32%	15.98%	13.25%	18.59%	4.04%	15.94%	21.73%	13.64%	10.89%	6.15%	5.51%	4.70%	12.69%	4.06%					
																				
24	Против всех	46	3	7	15	3	1	5	4	0	2	1	1	1	3					
		0.63%	0.54%	0.92%	1.13%	0.53%	0.48%	1.17%	3.03%	0.00%	0.46%	0.11%	0.17%	0.19%	0.47%					
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
