Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																										
Дата голосования: 07.12.2003 0:00:00																																																																																										
																																																																																										
Наименование Избирательной комиссии:    Щелковская																																																																																										
																																																																																										
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																										
																																																																																										
		Сумма	УИК №3078	УИК №3079	УИК №3080	УИК №3081	УИК №3082	УИК №3083	УИК №3084	УИК №3085	УИК №3086	УИК №3087	УИК №3088	УИК №3089	УИК №3090	УИК №3091	УИК №3092	УИК №3093	УИК №3094	УИК №3095	УИК №3096	УИК №3097	УИК №3098	УИК №3099	УИК №3100	УИК №3101	УИК №3102	УИК №3103	УИК №3104	УИК №3105	УИК №3106	УИК №3107	УИК №3108	УИК №3109	УИК №3110	УИК №3111	УИК №3112	УИК №3113	УИК №3114	УИК №3115	УИК №3116	УИК №3117	УИК №3118	УИК №3119	УИК №3120	УИК №3121	УИК №3122	УИК №3123	УИК №3124	УИК №3125	УИК №3126	УИК №3127	УИК №3128	УИК №3129	УИК №3130	УИК №3131	УИК №3132	УИК №3133	УИК №3134	УИК №3135	УИК №3136	УИК №3137	УИК №3138	УИК №3139	УИК №3140	УИК №3141	УИК №3142	УИК №3143	УИК №3144	УИК №3145	УИК №3146	УИК №3147	УИК №3148	УИК №3149	УИК №3150	УИК №3151	УИК №3152	УИК №3153	УИК №3154	УИК №3155	УИК №3156	УИК №3157	УИК №3158	УИК №3159	УИК №3160					
1	"Число избирателей, внесенных в списки"	140776	2094	2547	2537	1390	2358	2198	1682	1130	1329	1973	2191	2012	2264	791	2514	1691	1881	1613	1501	1786	1612	2090	2575	1884	2755	2085	1572	1584	2422	2802	538	536	240	2024	2247	2315	2661	2830	2391	2521	2406	2182	2761	2139	2679	2857	2744	2716	2702	1985	2038	1491	2328	2249	631	2278	2004	2097	1398	932	1570	910	1699	880	361	387	1676	635	823	1631	2616	432	1364	264	498	531	491	369	342	845	1971	314	384					
2	"Число бюллетеней, полученных участковыми комиссиями"	143035	2081	2459	2200	1323	2317	2153	1666	2074	2624	1965	2227	1989	2278	798	2411	1671	1857	1615	1538	1757	1534	2051	2502	1892	2601	2035	1594	1477	2396	2660	518	583	223	2058	2186	2310	2757	2708	2601	2440	2557	2356	2805	2197	2500	2793	2626	2698	2514	1938	2066	1422	2299	2268	1411	2278	2003	2178	1404	903	1570	1741	1505	849	352	395	1680	618	805	1570	2696	409	1322	257	479	540	501	362	353	934	2020	242	490					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	72591	1138	1335	1564	593	1028	1167	775	1117	1312	926	1084	931	1110	300	1071	860	817	692	747	881	764	876	1253	917	1390	1012	683	657	1176	1226	206	241	116	1058	1310	1404	1959	1553	1396	1196	1363	1417	1305	1335	1612	1527	1434	1417	1479	1072	994	723	953	1159	587	927	841	868	620	384	904	905	657	480	200	139	774	294	414	788	1499	187	566	114	248	229	270	192	160	408	919	116	270					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2540	12	15	0	13	17	10	17	12	17	25	23	21	23	20	23	14	20	37	30	27	124	69	31	21	30	6	19	116	25	19	68	21	0	26	24	24	15	13	14	131	19	15	22	24	5	19	29	17	30	29	14	59	28	33	44	15	57	15	13	16	33	5	58	20	14	80	27	4	36	16	13	25	126	71	28	50	13	60	52	8	28	98	0					
6	Число погашенных бюллетеней	67894	931	1108	636	717	1272	976	874	945	1295	1014	1120	1037	1143	478	1317	797	1020	886	761	849	648	1106	1218	954	1180	1017	892	698	1195	1410	244	321	107	974	852	882	783	1142	1195	1113	1175	923	1478	838	881	1247	1177	1264	1005	837	1058	640	1318	1076	780	1336	1105	1295	762	503	633	831	787	349	138	176	879	320	355	766	1184	197	630	72	203	261	218	110	141	518	1073	28	220					
7	Число бюллетеней в переносных ящиках для голосования	3431	12	15	0	13	17	10	17	12	17	25	23	21	23	20	23	14	20	37	30	27	124	69	31	21	30	6	19	116	25	19	68	21	0	26	24	24	15	13	14	131	19	15	22	24	5	19	29	17	30	29	14	59	28	33	44	15	57	15	13	16	33	5	58	20	14	80	27	4	36	16	13	25	126	71	28	50	13	60	52	8	919	98	0					
8	Число бюллетеней в стационарных ящиках для голосования	71509	1138	1317	1564	593	1027	1167	771	1116	1312	918	1084	927	1110	300	1067	860	814	692	747	881	764	876	1253	917	1390	1012	683	657	1176	1226	206	241	116	1056	1305	1400	1952	1553	1392	1196	1345	1402	1305	1319	1612	1524	1411	1405	1479	1072	992	717	953	1159	587	927	841	868	620	384	904	895	654	480	200	139	774	294	414	772	1499	187	566	114	248	229	270	192	158	408	28	116	270					
9	Число недействительных бюллетеней	1011	7	12	27	8	21	5	6	25	17	18	10	13	33	4	15	8	6	25	17	11	7	11	25	10	12	21	14	6	11	14	0	5	8	6	5	40	13	5	12	11	12	11	15	6	4	6	12	11	8	9	12	19	12	30	14	46	19	19	15	0	9	10	11	5	5	5	13	4	8	19	16	6	22	1	8	3	13	12	8	8	15	4	2					
10	Число действительных бюллетеней	73929	1143	1320	1537	598	1023	1172	782	1103	1312	925	1097	935	1100	316	1075	866	828	704	760	897	881	934	1259	928	1408	997	688	767	1190	1231	274	257	108	1076	1324	1384	1954	1561	1394	1316	1352	1406	1312	1337	1613	1537	1428	1411	1501	1092	994	757	969	1162	617	896	879	864	618	400	928	890	701	495	209	214	788	294	442	769	1496	206	670	184	268	276	270	240	202	408	932	210	268					
