Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																										
Дата голосования: 07.12.2003 0:00:00																																																										
																																																										
Наименование Избирательной комиссии:    Ливенская																																																										
																																																										
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																										
																																																										
		Сумма	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №791	УИК №792					
1	"Число избирателей, внесенных в списки"	24619	245	355	739	256	650	1045	267	895	423	1949	321	610	108	541	344	191	326	306	588	684	375	163	460	236	1188	432	339	1470	431	399	254	1257	200	120	698	98	375	355	747	383	329	382	366	370	233	415	469	294	362	258	318					
2	"Число бюллетеней, полученных участковыми комиссиями"	24727	250	350	780	260	650	1000	270	900	420	1940	325	610	110	590	375	217	350	300	590	690	390	150	470	250	1200	425	330	1450	440	400	250	1260	200	130	690	100	380	350	730	370	300	390	380	390	225	430	480	290	360	240	300					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	16740	131	219	392	174	425	782	207	648	325	1415	242	460	63	288	256	108	193	189	269	433	290	107	355	155	769	288	186	1065	287	390	194	787	124	47	488	73	195	257	531	292	214	265	223	282	151	280	265	231	295	217	218					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2944	89	115	110	44	90	54	25	2	6	33	50	72	42	181	61	71	94	73	183	42	19	25	31	32	131	22	83	20	29	0	7	57	44	64	52	19	105	61	92	47	69	62	64	30	30	66	120	42	39	0	45					
6	Число погашенных бюллетеней	5043	30	16	278	42	135	164	38	250	89	492	33	78	5	121	58	38	63	38	138	215	81	18	84	63	300	115	61	365	124	10	49	416	32	19	150	8	80	32	107	31	17	63	93	78	44	84	95	17	26	23	37					
7	Число бюллетеней в переносных ящиках для голосования	2944	89	115	110	44	90	54	25	2	6	33	50	72	42	181	61	71	94	73	183	42	19	25	31	32	131	22	83	20	29	0	7	57	44	64	52	19	105	61	92	47	69	62	64	30	30	66	120	42	39	0	45					
8	Число бюллетеней в стационарных ящиках для голосования	16740	131	219	392	174	425	782	207	648	325	1415	242	460	63	288	256	108	193	189	269	433	290	107	355	155	769	288	186	1065	287	390	194	787	124	47	488	73	195	257	531	292	214	265	223	282	151	280	265	231	295	217	218					
9	Число недействительных бюллетеней	307	0	0	1	1	34	1	3	14	0	38	0	1	0	7	0	2	0	4	13	0	0	9	3	0	11	3	0	25	2	0	2	41	3	0	6	0	4	3	30	0	6	5	4	1	1	9	8	1	0	1	10					
10	Число действительных бюллетеней	19377	220	334	501	217	481	835	229	636	331	1410	292	531	105	462	317	177	287	258	439	475	309	123	383	187	889	307	269	1060	314	390	199	803	165	111	534	92	296	315	593	339	277	322	283	311	180	337	377	272	334	216	253					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	519	10	10	10	10	10	10	10	10	10	20	10	10	10	10	10	10	10	10	10	10	10	9	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	94	0	0	4	0	0	3	0	2	2	10	2	3	1	6	1	1	1	5	0	4	0	0	1	0	3	3	0	6	1	1	0	8	0	0	2	0	3	0	1	0	0	10	1	0	3	0	2	1	0	0	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	106	1	2	5	5	2	4	0	2	2	3	1	2	4	1	2	0	1	4	1	2	0	0	1	3	4	2	1	5	2	2	2	3	2	0	1	2	2	4	3	1	2	3	2	2	1	2	3	2	0	4	1					
14	Число погашенных открепительных удостоверений	425	10	10	6	10	10	7	10	8	8	10	8	7	9	4	9	9	9	5	10	6	10	9	9	10	7	7	10	4	9	9	10	2	10	10	8	10	7	10	9	10	10	0	9	10	7	10	8	9	10	10	7					
