Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																															
Дата голосования: 18.09.2016																															
																															
Наименование Избирательной комиссии:    Юрьянская																															
																															
Сводная таблица итогов голосования по федеральному избирательному округу																															
																															
		Сумма	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	16248	151	210	240	281	118	215	592	254	320	979	855	543	410	264	1622	1592	1557	1982	2201	1862									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	16422	160	230	255	295	135	233	632	260	340	1002	882	526	425	273	1623	1597	1568	1985	2151	1850									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	5795	44	66	129	146	64	130	193	110	128	349	330	202	185	115	607	548	549	637	661	602									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1102	30	72	27	41	24	17	155	17	93	103	8	62	30	26	81	76	79	30	81	50									
6	Число погашенных избирательных бюллетеней	9525	86	92	99	108	47	86	284	133	119	550	544	262	210	132	935	973	940	1318	1409	1198									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1102	30	72	27	41	24	17	155	17	93	103	8	62	30	26	81	76	79	30	81	50									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	5795	44	66	129	146	64	130	193	110	128	349	330	202	185	115	607	548	549	637	661	602									
9	Число недействительных избирательных бюллетеней	120	2	1	5	4	4	0	8	0	1	6	5	4	3	1	8	5	9	15	26	13									
10	Число действительных избирательных бюллетеней	6777	72	137	151	183	84	147	340	127	220	446	333	260	212	140	680	619	619	652	716	639									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	381	11	15	15	15	15	20	25	20	20	25	20	20	25	15	20	20	20	20	20	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	198	4	13	14	9	15	16	25	5	20	11	9	1	4	0	10	11	7	9	8	7									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	88	1	4	6	2	6	2	7	3	4	5	3	5	3	1	8	11	2	2	7	6									
14	Число погашенных неиспользованных открепительных удостоверений	183	7	2	1	6	0	4	0	15	0	14	11	19	21	15	10	9	13	11	12	13									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	18	0	0	1	2	0	0	1	0	1	0	0	0	0	0	3	2	1	2	3	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																															
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	64	1	0	1	1	0	2	1	0	2	3	7	0	3	0	7	3	5	12	7	9									
		0.93%	1.35%	0.00%	0.64%	0.53%	0.00%	1.36%	0.29%	0.00%	0.90%	0.66%	2.07%	0.00%	1.40%	0.00%	1.02%	0.48%	0.80%	1.80%	0.94%	1.38%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	182	1	4	7	6	1	2	11	2	2	11	4	1	9	2	29	18	13	18	28	13									
		2.64%	1.35%	2.90%	4.49%	3.21%	1.14%	1.36%	3.16%	1.57%	0.90%	2.43%	1.18%	0.38%	4.19%	1.42%	4.22%	2.88%	2.07%	2.70%	3.77%	1.99%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	175	0	6	4	9	0	0	5	2	4	22	10	7	2	6	16	12	13	14	26	17									
		2.54%	0.00%	4.35%	2.56%	4.81%	0.00%	0.00%	1.44%	1.57%	1.81%	4.87%	2.96%	2.65%	0.93%	4.26%	2.33%	1.92%	2.07%	2.10%	3.50%	2.61%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2793	48	66	48	82	54	79	179	66	139	185	103	132	116	50	242	264	221	214	267	238									
		40.50%	64.86%	47.83%	30.77%	43.85%	61.36%	53.74%	51.44%	51.97%	62.90%	40.93%	30.47%	50.00%	53.95%	35.46%	35.17%	42.31%	35.19%	32.08%	35.98%	36.50%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	44	0	2	0	1	1	0	7	0	0	4	4	2	0	0	2	4	3	2	10	2									
		0.64%	0.00%	1.45%	0.00%	0.53%	1.14%	0.00%	2.01%	0.00%	0.00%	0.88%	1.18%	0.76%	0.00%	0.00%	0.29%	0.64%	0.48%	0.30%	1.35%	0.31%									
24	"6. Политическая партия ""Гражданская Платформа"""	9	0	0	0	0	0	0	2	0	0	0	0	0	0	0	5	1	0	0	1	0									
		0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.57%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.73%	0.16%	0.00%	0.00%	0.13%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1908	13	38	40	51	13	39	102	42	54	145	128	74	54	47	198	165	217	170	170	148									
		27.66%	17.57%	27.54%	25.64%	27.27%	14.77%	26.53%	29.31%	33.07%	24.43%	32.08%	37.87%	28.03%	25.12%	33.33%	28.78%	26.44%	34.55%	25.49%	22.91%	22.70%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	23	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	4	1	4	2	9									
		0.33%	0.00%	0.00%	0.64%	0.00%	0.00%	0.00%	0.29%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.15%	0.64%	0.16%	0.60%	0.27%	1.38%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	63	0	0	3	0	0	0	1	1	1	2	3	4	1	2	6	8	11	7	5	8									
		0.91%	0.00%	0.00%	1.92%	0.00%	0.00%	0.00%	0.29%	0.79%	0.45%	0.44%	0.89%	1.52%	0.47%	1.42%	0.87%	1.28%	1.75%	1.05%	0.67%	1.23%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	13	0	1	1	0	1	0	0	1	0	0	2	3	0	0	0	1	1	0	1	1									
		0.19%	0.00%	0.72%	0.64%	0.00%	1.14%	0.00%	0.00%	0.79%	0.00%	0.00%	0.59%	1.14%	0.00%	0.00%	0.00%	0.16%	0.16%	0.00%	0.13%	0.15%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	62	0	1	1	1	0	1	2	1	0	4	4	0	1	1	7	5	3	8	12	10									
		0.90%	0.00%	0.72%	0.64%	0.53%	0.00%	0.68%	0.57%	0.79%	0.00%	0.88%	1.18%	0.00%	0.47%	0.71%	1.02%	0.80%	0.48%	1.20%	1.62%	1.53%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	926	8	10	33	23	6	20	21	9	7	47	46	23	13	24	129	92	100	120	98	97									
		13.43%	10.81%	7.25%	21.15%	12.30%	6.82%	13.61%	6.03%	7.09%	3.17%	10.40%	13.61%	8.71%	6.05%	17.02%	18.75%	14.74%	15.92%	17.99%	13.21%	14.88%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	21	0	0	2	0	1	0	0	0	0	2	1	1	1	1	4	2	1	2	1	2									
		0.30%	0.00%	0.00%	1.28%	0.00%	1.14%	0.00%	0.00%	0.00%	0.00%	0.44%	0.30%	0.38%	0.47%	0.71%	0.58%	0.32%	0.16%	0.30%	0.13%	0.31%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	494	1	9	10	9	7	4	8	3	11	21	21	13	12	7	34	40	30	81	88	85									
		7.16%	1.35%	6.52%	6.41%	4.81%	7.95%	2.72%	2.30%	2.36%	4.98%	4.65%	6.21%	4.92%	5.58%	4.96%	4.94%	6.41%	4.78%	12.14%	11.86%	13.04%									
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
