Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																						
Дата голосования: 02.12.2007																																						
																																						
Наименование Избирательной комиссии:    Топчихинская																																						
																																						
Сводная таблица результатов выборов																																						
																																						
		Сумма	УИК №1564	УИК №1565	УИК №1566	УИК №1567	УИК №1568	УИК №1569	УИК №1570	УИК №1571	УИК №1572	УИК №1573	УИК №1574	УИК №1575	УИК №1576	УИК №1577	УИК №1578	УИК №1579	УИК №1580	УИК №1581	УИК №1582	УИК №1583	УИК №1584	УИК №1585	УИК №1586	УИК №1587	УИК №1588	УИК №1589	УИК №1590	УИК №1591	УИК №1592	УИК №1593	УИК №1594					
1	"Число избирателей, внесенных в списки избирателей"	21456	2266	1716	2020	1950	647	813	371	164	1014	262	632	374	151	605	91	1297	257	453	611	274	676	257	167	342	403	579	1027	92	501	237	1207					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	19200	1800	1500	1600	1800	600	750	350	170	950	250	600	370	150	600	90	1100	250	450	600	250	650	250	150	300	400	550	900	90	450	230	1000					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	12889	1351	910	1127	1432	409	454	207	101	557	170	378	255	105	383	66	778	131	267	398	165	444	125	107	169	295	330	607	65	287	140	676					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1069	96	95	50	39	27	76	11	12	78	6	41	15	9	35	5	73	10	33	28	13	41	21	12	10	28	35	59	12	18	8	73					
6	Число погашенных избирательных бюллетеней	5242	353	495	423	329	164	220	132	57	315	74	181	100	36	182	19	249	109	150	174	72	165	104	31	121	77	185	234	13	145	82	251					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1069	96	95	50	39	27	76	11	12	78	6	41	15	9	35	5	73	10	33	28	13	41	21	12	10	28	35	59	12	18	8	73					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	12886	1351	910	1127	1429	409	454	207	101	557	170	378	255	105	383	66	778	131	267	398	165	444	125	107	169	295	330	607	65	287	140	676					
9	Число недействительных избирательных бюллетеней	133	15	15	21	7	1	6	1	1	5	2	5	2	3	8	2	4	1	3	2	4	8	0	1	0	5	1	0	0	4	0	6					
10	Число действительных избирательных бюллетеней	13822	1432	990	1156	1461	435	524	217	112	630	174	414	268	111	410	69	847	140	297	424	174	477	146	118	179	318	364	666	77	301	148	743					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	290	37	20	27	25	13	8	8	4	10	2	8	3	6	15	4	10	3	4	10	2	10	2	7	3	10	10	14	2	3	2	8					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	200	32	20	24	18	7	3	4	3	6	0	4	0	3	11	3	6	3	1	7	2	6	1	1	0	7	7	12	2	2	0	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	198	18	19	8	19	7	2	6	3	7	4	3	3	2	5	0	8	5	2	12	7	10	6	3	3	0	11	10	2	5	2	6					
14	Число погашенных неиспользованных открепительных удостоверений	90	5	0	3	7	6	5	4	1	4	2	4	3	3	4	1	4	0	3	3	0	4	1	6	3	3	3	2	0	1	2	3					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	7	1	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																						
18	1.Политическая партия «Аграрная партия России»	527	31	18	36	28	19	30	6	8	35	3	23	12	2	12	2	54	20	10	20	17	27	2	1	7	19	25	20	1	11	4	24					
		3.78%	2.14%	1.79%	3.06%	1.91%	4.36%	5.66%	2.75%	7.08%	5.51%	1.70%	5.49%	4.44%	1.75%	2.87%	2.82%	6.35%	14.18%	3.33%	4.69%	9.55%	5.57%	1.37%	0.84%	3.91%	5.88%	6.85%	3.00%	1.30%	3.61%	2.70%	3.20%					
19	2.Всероссийская политическая партия «Гражданская Сила»	42	8	5	7	2	2	1	0	0	1	0	0	0	0	3	0	3	1	1	0	0	0	1	0	1	0	1	3	0	0	1	1					
		0.30%	0.55%	0.50%	0.59%	0.14%	0.46%	0.19%	0.00%	0.00%	0.16%	0.00%	0.00%	0.00%	0.00%	0.72%	0.00%	0.35%	0.71%	0.33%	0.00%	0.00%	0.00%	0.68%	0.00%	0.56%	0.00%	0.27%	0.45%	0.00%	0.00%	0.68%	0.13%					
20	3.Политическая партия «Демократическая партия России»	11	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	2	0	0	0	0	1	0	0	0	1	0	1					
		0.08%	0.07%	0.00%	0.00%	0.07%	0.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.24%	0.00%	0.12%	0.00%	0.00%	0.23%	1.12%	0.00%	0.00%	0.00%	0.00%	0.31%	0.00%	0.00%	0.00%	0.33%	0.00%	0.13%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	1798	172	142	157	136	22	136	39	17	81	13	60	38	14	88	10	118	9	18	56	22	59	3	4	8	55	90	80	5	45	22	79					
		12.88%	11.89%	14.13%	13.34%	9.26%	5.05%	25.66%	17.89%	15.04%	12.76%	7.39%	14.32%	14.07%	12.28%	21.05%	14.08%	13.87%	6.38%	6.00%	13.15%	12.36%	12.16%	2.05%	3.36%	4.47%	17.03%	24.66%	12.01%	6.49%	14.75%	14.86%	10.55%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	75	15	5	16	13	0	3	1	0	0	0	0	0	0	4	0	0	0	1	0	1	1	0	0	1	2	1	6	0	1	1	3					
		0.54%	1.04%	0.50%	1.36%	0.89%	0.00%	0.57%	0.46%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.96%	0.00%	0.00%	0.00%	0.33%	0.00%	0.56%	0.21%	0.00%	0.00%	0.56%	0.62%	0.27%	0.90%	0.00%	0.33%	0.68%	0.40%					
23	6.Политическая партия «Партия социальной справедливости»	20	2	1	0	2	0	2	0	0	1	1	0	0	1	0	0	2	1	0	0	0	0	0	1	0	0	1	1	0	1	1	2					
