Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва										
Дата голосования: 04.12.2011										
										
Наименование Избирательной комиссии:    ЗАТО Комаровская										
										
Сводная таблица результатов выборов										
										
		Сумма	УИК №1814	УИК №1815	УИК №1816					
1	"Число избирателей, внесенных в список избирателей"	6039	2242	1426	2371					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	6580	2050	2350	2180					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	313	187	0	126					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	4049	1241	1399	1409					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	136	48	27	61					
6	Число погашенных избирательных бюллетеней	2081	573	924	584					
7	Число избирательных бюллетеней в переносных ящиках для голосования	449	235	27	187					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	3999	1191	1399	1409					
9	Число недействительных избирательных бюллетеней	58	15	22	21					
10	Число действительных избирательных бюллетеней	4390	1411	1404	1575					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	89	29	30	30					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	49	13	17	19					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	25	12	9	4					
14	Число погашенных неиспользованных открепительных удостоверений	40	16	13	11					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	11	6	2	3					
16	Число утраченных открепительных удостоверений	0	0	0	0					
17	Число утраченных избирательных бюллетеней	1	1	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0					
										
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	388	122	143	123					
		8.72%	8.56%	10.03%	7.71%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1086	323	362	401					
		24.42%	22.65%	25.39%	25.13%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	47	21	13	13					
		1.06%	1.47%	0.91%	0.81%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	566	181	203	182					
		12.72%	12.69%	14.24%	11.40%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	47	24	14	9					
		1.06%	1.68%	0.98%	0.56%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2231	732	658	841					
		50.16%	51.33%	46.14%	52.69%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	25	8	11	6					
		0.56%	0.56%	0.77%	0.38%					
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
