Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																						
Дата голосования: 18.09.2016																																						
																																						
Наименование Избирательной комиссии:    Аромашевская																																						
																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																						
																																						
		Сумма	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №325	УИК №326	УИК №327	УИК №328									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	9998	896	908	1033	1056	95	956	299	97	388	86	70	411	226	104	447	85	250	138	113	120	183	380	392	140	320	325	480									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	10023	896	917	1033	1069	95	959	304	96	388	85	71	413	223	103	447	84	250	137	113	120	181	380	391	140	322	325	481									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8600	798	825	933	942	89	841	258	90	343	77	67	359	126	86	388	80	153	99	81	98	96	324	322	121	289	284	431									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	751	43	25	56	53	0	40	27	0	37	6	1	44	26	10	50	0	51	31	0	11	46	47	58	10	20	20	39									
6	Число погашенных избирательных бюллетеней	672	55	67	44	74	6	78	19	6	8	2	3	10	71	7	9	4	46	7	32	11	39	9	11	9	13	21	11									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	751	43	25	56	53	0	40	27	0	37	6	1	44	26	10	50	0	51	31	0	11	46	47	58	10	20	20	39									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	8600	798	825	933	942	89	841	258	90	343	77	67	359	126	86	388	80	153	99	81	98	96	324	322	121	289	284	431									
9	Число недействительных избирательных бюллетеней	6	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
10	Число действительных избирательных бюллетеней	9345	839	848	987	995	89	881	285	90	380	83	68	403	152	96	438	80	204	130	81	109	142	371	380	131	309	304	470									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	460	30	30	30	30	5	30	20	5	20	5	5	20	10	10	20	5	15	15	15	15	15	20	20	10	20	20	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	59	8	13	6	14	1	2	3	0	1	0	2	2	0	0	0	0	0	0	2	0	0	0	2	0	2	0	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	16	0	1	0	0	1	1	0	1	1	1	1	0	2	0	0	1	0	1	2	0	1	1	1	0	0	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	401	22	17	24	16	4	28	17	5	19	5	3	18	10	10	20	5	15	15	13	15	15	20	18	10	18	20	19									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	9	1	1	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																						
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	7	1	1	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1									
		0.07%	0.12%	0.12%	0.10%	0.20%	0.00%	0.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.21%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	29	3	4	2	3	0	2	1	0	2	0	0	2	1	0	1	0	1	0	0	0	1	1	1	0	1	1	2									
