Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																		
Дата голосования: 18.09.2016																																																		
																																																		
Наименование Избирательной комиссии:    Заринская																																																		
																																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																																		
																																																		
		Сумма	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	14109	443	574	328	396	293	163	96	429	500	1254	262	123	60	468	359	75	66	548	128	112	90	568	182	704	56	96	123	459	484	124	239	983	337	953	873	372	309	338	142									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	12746	392	512	299	361	257	143	86	390	454	1139	239	117	51	428	326	68	57	486	115	98	79	510	168	656	50	89	112	421	438	107	217	877	312	857	797	331	275	304	128									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	5635	155	208	115	134	130	67	49	223	248	360	118	74	26	237	140	43	42	246	46	64	49	228	80	307	29	35	74	172	183	59	116	267	118	365	360	106	147	156	59									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	630	24	29	16	25	9	6	4	46	22	19	8	6	3	20	10	0	1	25	0	0	7	18	5	47	0	6	6	76	18	4	14	14	27	20	66	3	14	7	5									
6	Число погашенных избирательных бюллетеней	6481	213	275	168	202	118	70	33	121	184	760	113	37	22	171	176	25	14	215	69	34	23	264	83	302	21	48	32	173	237	44	87	596	167	472	371	222	114	141	64									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	630	24	29	16	25	9	6	4	46	22	19	8	6	3	20	10	0	1	25	0	0	7	18	5	47	0	6	6	76	18	4	14	14	27	20	66	3	14	7	5									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	5634	155	208	115	134	130	67	49	223	248	360	118	74	26	237	140	43	42	246	46	64	49	228	80	307	29	35	74	172	183	58	116	267	118	365	360	106	147	156	59									
9	Число недействительных избирательных бюллетеней	146	6	8	1	0	4	3	1	6	5	14	1	4	1	0	2	1	1	4	2	0	0	4	2	4	0	2	5	5	5	4	2	5	8	12	11	2	6	5	0									
10	Число действительных избирательных бюллетеней	6118	173	229	130	159	135	70	52	263	265	365	125	76	28	257	148	42	42	267	44	64	56	242	83	350	29	39	75	243	196	58	128	276	137	373	415	107	155	158	64									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	145	5	5	3	3	2	2	3	4	6	10	2	2	2	5	3	1	1	7	2	2	1	3	2	9	1	1	1	5	6	1	2	8	6	8	7	4	4	4	2									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	87	0	4	1	3	0	1	3	3	6	5	1	0	0	5	0	1	1	0	0	0	0	1	0	9	1	0	1	5	3	1	2	2	6	8	7	4	2	1	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	140	4	5	3	3	6	2	6	2	2	8	4	1	3	3	5	4	4	6	4	3	4	3	1	2	3	3	1	2	6	7	4	3	1	5	4	3	3	6	1									
14	Число погашенных неиспользованных открепительных удостоверений	58	5	1	2	0	2	1	0	1	0	5	1	2	2	0	3	0	0	7	2	2	1	2	2	0	0	1	0	0	3	0	0	6	0	0	0	0	2	3	2									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																		
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	42	0	5	0	1	2	0	0	3	0	3	0	1	0	0	1	1	1	2	0	0	0	0	0	4	1	0	0	0	1	0	3	1	1	3	3	0	2	3	0									
		0.67%	0.00%	2.11%	0.00%	0.63%	1.44%	0.00%	0.00%	1.12%	0.00%	0.79%	0.00%	1.25%	0.00%	0.00%	0.67%	2.33%	2.33%	0.74%	0.00%	0.00%	0.00%	0.00%	0.00%	1.13%	3.45%	0.00%	0.00%	0.00%	0.50%	0.00%	2.31%	0.36%	0.69%	0.78%	0.70%	0.00%	1.24%	1.84%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	282	8	7	7	6	2	4	0	10	10	18	7	8	3	7	7	2	2	11	1	0	6	7	2	19	0	1	5	13	9	3	10	11	10	25	18	6	6	10	1									
