Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																		
Дата голосования: 07.12.2003 0:00:00																																		
																																		
Наименование Избирательной комиссии:    Волгодонская районная																																		
																																		
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																		
																																		
		Сумма	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №2508	УИК №2509					
1	"Число избирателей, внесенных в списки"	22135	666	925	675	817	414	1883	573	375	2003	224	345	330	534	156	164	922	703	973	637	715	705	354	1216	405	1856	2125	1440					
2	"Число бюллетеней, полученных участковыми комиссиями"	22088	670	920	670	830	410	1860	570	370	2000	220	340	330	540	155	163	940	710	980	640	690	700	350	1250	390	1840	2110	1440					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	12643	344	585	417	451	216	1035	378	305	1154	200	269	154	254	78	117	563	405	656	401	524	567	274	653	210	771	952	710					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	686	40	28	37	20	17	42	0	28	48	0	0	6	10	1	0	29	25	15	13	0	0	0	17	50	52	160	48					
6	Число погашенных бюллетеней	8759	286	307	216	359	177	783	192	37	798	20	71	170	276	76	46	348	280	309	226	166	133	76	580	130	1017	998	682					
7	Число бюллетеней в переносных ящиках для голосования	686	40	28	37	20	17	42	0	28	48	0	0	6	10	1	0	29	25	15	13	0	0	0	17	50	52	160	48					
8	Число бюллетеней в стационарных ящиках для голосования	12643	344	585	417	451	216	1035	378	305	1154	200	269	154	254	78	117	563	405	656	401	524	567	274	653	210	771	952	710					
9	Число недействительных бюллетеней	177	5	3	3	8	1	1	7	7	14	0	2	3	7	3	1	7	7	4	13	12	15	0	5	9	16	23	1					
10	Число действительных бюллетеней	13152	379	610	451	463	232	1076	371	326	1188	200	267	157	257	76	116	585	423	667	401	512	552	274	665	251	807	1089	757					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	500	20	20	20	20	20	25	20	20	25	10	10	10	10	10	10	20	25	25	15	20	20	15	20	20	20	20	30					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	34	3	1	0	2	0	0	0	0	0	0	0	2	1	0	0	5	3	4	3	1	1	0	1	0	1	3	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	16	0	0	2	0	0	0	0	0	2	0	0	0	0	1	2	2	0	1	0	1	0	2	0	0	1	2	0					
14	Число погашенных открепительных удостоверений	466	17	19	20	18	20	25	20	20	25	10	10	8	9	10	10	15	22	21	12	19	19	15	19	20	19	17	27					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																		
18	"1. ""ЕДИНЕНИЕ"""	192	14	7	14	3	4	5	7	3	16	5	4	2	2	2	5	21	8	14	5	6	17	5	6	1	10	1	5					
		1.44%	3.64%	1.14%	3.08%	0.63%	1.71%	0.46%	1.85%	0.90%	1.33%	2.5%	1.48%	1.25%	0.75%	2.53%	4.27%	3.54%	1.86%	2.08%	1.20%	1.14%	2.99%	1.82%	0.89%	0.38%	1.21%	0.08%	0.65%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	126	1	4	5	6	1	13	2	2	6	0	0	3	5	0	4	4	1	8	2	11	3	1	4	7	15	6	12					
		0.94%	0.26%	0.65%	1.10%	1.27%	0.42%	1.20%	0.52%	0.60%	0.49%	0.0%	0.0%	1.87%	1.89%	0.0%	3.41%	0.67%	0.23%	1.19%	0.48%	2.09%	0.52%	0.36%	0.59%	2.69%	1.82%	0.53%	1.58%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	185	5	15	5	6	6	15	9	4	15	6	2	4	6	5	1	4	10	14	3	0	12	0	2	3	20	7	6					
		1.38%	1.30%	2.44%	1.10%	1.27%	2.57%	1.39%	2.38%	1.20%	1.24%	3.0%	0.74%	2.5%	2.27%	6.32%	0.85%	0.67%	2.32%	2.08%	0.72%	0.0%	2.11%	0.0%	0.29%	1.15%	2.43%	0.62%	0.79%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	142	3	3	4	5	1	22	3	4	13	4	0	2	5	1	1	3	5	7	6	2	1	4	5	9	12	11	6					
		1.06%	0.78%	0.48%	0.88%	1.06%	0.42%	2.04%	0.79%	1.20%	1.08%	2.0%	0.0%	1.25%	1.89%	1.26%	0.85%	0.50%	1.16%	1.04%	1.44%	0.38%	0.17%	1.45%	0.74%	3.46%	1.45%	0.98%	0.79%					
22	"5. ""За Русь Святую"""	47	1	0	2	1	0	1	0	1	9	0	1	3	1	0	0	2	2	1	2	7	0	0	0	1	5	4	3					
		0.35%	0.26%	0.0%	0.44%	0.21%	0.0%	0.09%	0.0%	0.30%	0.74%	0.0%	0.37%	1.87%	0.37%	0.0%	0.0%	0.33%	0.46%	0.14%	0.48%	1.33%	0.0%	0.0%	0.0%	0.38%	0.60%	0.35%	0.39%					
23	"6. ""Объединенная Российская партия ""Русь"""	43	4	4	3	2	2	3	2	1	2	0	0	0	2	0	0	1	1	0	1	4	0	1	3	1	2	3	1					
		0.32%	1.04%	0.65%	0.66%	0.42%	0.85%	0.27%	0.52%	0.30%	0.16%	0.0%	0.0%	0.0%	0.75%	0.0%	0.0%	0.16%	0.23%	0.0%	0.24%	0.76%	0.0%	0.36%	0.44%	0.38%	0.24%	0.26%	0.13%					
24	"7. ""Новый курс - Автомобильная Россия"""	53	0	2	1	0	1	7	0	0	1	0	0	0	6	1	0	5	4	1	0	3	3	2	0	1	8	6	1					
		0.39%	0.0%	0.32%	0.22%	0.0%	0.42%	0.64%	0.0%	0.0%	0.08%	0.0%	0.0%	0.0%	2.27%	1.26%	0.0%	0.84%	0.93%	0.14%	0.0%	0.57%	0.52%	0.72%	0.0%	0.38%	0.97%	0.53%	0.13%					
25	"8. ""Народно-республиканская партия России"""	18	2	0	2	0	1	2	1	0	1	0	0	0	0	0	0	0	0	1	1	2	0	0	1	1	1	2	0					
		0.13%	0.52%	0.0%	0.44%	0.0%	0.42%	0.18%	0.26%	0.0%	0.08%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.14%	0.24%	0.38%	0.0%	0.0%	0.14%	0.38%	0.12%	0.17%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	22	1	0	1	0	0	6	0	0	4	0	0	0	0	0	0	1	1	1	0	1	0	0	1	0	1	2	2					
		0.16%	0.26%	0.0%	0.22%	0.0%	0.0%	0.55%	0.0%	0.0%	0.33%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.16%	0.23%	0.14%	0.0%	0.19%	0.0%	0.0%	0.14%	0.0%	0.12%	0.17%	0.26%					
27	"10. ""Аграрная партия России"""	351	8	28	20	13	12	43	12	2	24	4	4	0	11	0	2	22	20	24	12	7	24	8	19	5	17	2	8					
		2.63%	2.08%	4.56%	4.40%	2.76%	5.15%	3.99%	3.17%	0.60%	1.99%	2.0%	1.48%	0.0%	4.16%	0.0%	1.70%	3.71%	4.65%	3.57%	2.89%	1.33%	4.23%	2.91%	2.83%	1.92%	2.06%	0.17%	1.05%					
28	"11. ""Истинные патриоты России"""	56	0	3	1	0	0	1	0	0	3	0	0	0	1	0	0	2	0	1	7	9	19	6	0	0	3	0	0					
		0.42%	0.0%	0.48%	0.22%	0.0%	0.0%	0.09%	0.0%	0.0%	0.24%	0.0%	0.0%	0.0%	0.37%	0.0%	0.0%	0.33%	0.0%	0.14%	1.69%	1.71%	3.35%	2.18%	0.0%	0.0%	0.36%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	149	6	7	3	2	3	14	6	1	17	0	0	0	5	0	1	8	4	11	9	12	4	3	6	2	15	9	1					
		1.11%	1.56%	1.14%	0.66%	0.42%	1.28%	1.29%	1.58%	0.30%	1.41%	0.0%	0.0%	0.0%	1.89%	0.0%	0.85%	1.35%	0.93%	1.63%	2.17%	2.29%	0.70%	1.09%	0.89%	0.76%	1.82%	0.80%	0.13%					
30	"13. ""Демократическая партия России"""	31	0	1	1	1	0	6	1	0	6	0	0	0	0	0	1	3	0	1	2	2	1	0	1	1	3	0	0					
