Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																					
Дата голосования: 18.09.2016																																					
																																					
Наименование Избирательной комиссии:    Бабушкинский район																																					
																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																					
																																					
		Сумма	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №3656									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	56979	2587	2259	2124	2432	2521	2474	2472	2300	2374	2562	2189	2619	2477	1727	2083	2418	2168	2581	2345	2031	2133	2355	1271	2149	2008	320									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	46600	2000	1800	1800	1900	2000	2000	2000	1800	1900	2000	1800	2000	2000	1400	1800	1900	1800	2000	1900	1700	1800	1900	1100	1700	1600	1000									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	19787	901	683	772	790	912	817	827	834	756	865	783	919	898	546	710	722	739	886	760	714	723	758	466	790	1048	168									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	734	37	23	22	10	41	23	36	24	19	20	20	21	22	31	14	43	24	26	14	16	23	21	19	27	6	152									
6	Число погашенных избирательных бюллетеней	26079	1062	1094	1006	1100	1047	1160	1137	942	1125	1115	997	1060	1080	823	1076	1135	1037	1088	1126	970	1054	1121	615	883	546	680									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	734	37	23	22	10	41	23	36	24	19	20	20	21	22	31	14	43	24	26	14	16	23	21	19	27	6	152									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	19697	901	683	772	780	908	793	808	833	744	863	782	913	898	542	710	719	739	886	760	714	723	756	464	790	1048	168									
9	Число недействительных избирательных бюллетеней	362	22	12	14	13	18	23	17	16	17	16	10	17	12	8	9	13	12	23	16	10	10	15	8	10	16	5									
10	Число действительных избирательных бюллетеней	20069	916	694	780	777	931	793	827	841	746	867	792	917	908	565	715	749	751	889	758	720	736	762	475	807	1038	315									
