Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																													
Дата голосования: 18.09.2016																																																													
																																																													
Наименование Избирательной комиссии:    район Хорошево-Мневники																																																													
																																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																																													
																																																													
		Сумма	УИК №3065	УИК №3066	УИК №3067	УИК №3068	УИК №3069	УИК №3070	УИК №3071	УИК №3072	УИК №3073	УИК №3074	УИК №3075	УИК №3076	УИК №3077	УИК №3078	УИК №3079	УИК №3080	УИК №3081	УИК №3082	УИК №3083	УИК №3084	УИК №3085	УИК №3086	УИК №3087	УИК №3088	УИК №3089	УИК №3090	УИК №3091	УИК №3092	УИК №3093	УИК №3094	УИК №3095	УИК №3096	УИК №3097	УИК №3098	УИК №3099	УИК №3100	УИК №3101	УИК №3102	УИК №3103	УИК №3104	УИК №3105	УИК №3106	УИК №3107	УИК №3108	УИК №3109	УИК №3110	УИК №3424	УИК №3777	УИК №3778	УИК №3779									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	97381	2207	2190	2995	2392	2357	2719	1717	2425	2536	2125	2025	1996	2006	2158	1980	1992	2011	1998	2002	2110	2019	2008	2325	2580	2208	2030	1954	2246	2074	2305	2125	2328	2215	2472	1503	1985	1832	1165	2035	1965	1994	2075	2201	2053	1482	639	326	870	63	363									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	71250	1600	1600	2100	1700	1700	1900	1300	1700	1800	1500	1500	1500	1500	1600	1400	1400	1500	1500	1400	1500	1500	1500	1700	1900	1600	1500	1400	1600	1500	1700	1500	1700	1600	1800	1100	1400	1300	900	1500	1400	1400	1500	1600	1500	1100	500	300	1000	100	450									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	32993	897	771	987	676	704	858	439	740	786	663	587	641	626	707	644	652	688	746	724	743	640	694	674	879	813	696	727	730	814	830	569	702	676	750	512	644	662	435	720	736	706	682	702	738	560	171	109	844	61	238									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	912	4	10	29	20	23	10	11	16	9	37	20	21	12	18	17	35	15	20	18	20	21	24	16	21	27	32	14	5	21	23	5	27	13	26	9	17	16	6	18	15	12	19	16	10	12	1	2	0	0	119									
6	Число погашенных избирательных бюллетеней	37345	699	819	1084	1004	973	1032	850	944	1005	800	893	838	862	875	739	713	797	734	658	737	839	782	1010	1000	760	772	659	865	665	847	926	971	911	1024	579	739	622	459	762	649	682	799	882	752	528	328	189	156	39	93									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	912	4	10	29	20	23	10	11	16	9	37	20	21	12	18	17	35	15	20	18	20	21	24	16	21	27	32	14	5	21	23	5	27	13	26	9	17	16	6	18	15	12	19	16	10	12	1	2	0	0	119									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	32880	897	771	986	676	704	858	439	740	770	663	586	638	626	707	644	644	684	744	722	741	621	694	674	875	812	694	727	729	810	805	569	702	676	750	512	633	662	435	718	735	706	681	702	737	559	171	108	844	61	238									
9	Число недействительных избирательных бюллетеней	657	14	11	16	9	8	22	3	11	14	15	7	8	10	10	12	11	11	10	7	33	13	10	12	14	15	16	4	8	19	14	13	8	11	7	7	11	9	10	12	14	21	14	10	12	15	3	1	102	1	9									
10	Число действительных избирательных бюллетеней	33135	887	770	999	687	719	846	447	745	765	685	599	651	628	715	649	668	688	754	733	728	629	708	678	882	824	710	737	726	812	814	561	721	678	769	514	639	669	431	724	736	697	686	708	735	556	169	109	742	60	348									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	920	20	20	20	20	20	20	20	30	20	30	20	20	20	20	20	20	20	20	20	20	20	10	20	20	20	10	10	20	20	20	20	20	20	20	10	30	20	10	30	30	20	20	20	20	20	10	10	0	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	626	15	10	19	15	16	18	11	20	16	16	12	10	16	13	10	11	13	16	11	14	13	8	20	20	12	6	8	12	16	17	12	14	12	14	7	21	13	3	26	20	13	12	13	14	13	5	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	661	15	7	19	18	24	46	5	30	7	63	16	11	21	8	13	20	14	6	5	10	5	11	8	16	15	15	18	3	9	15	10	11	14	11	7	21	8	10	10	9	10	27	9	6	3	7	1	6	0	8									
14	Число погашенных неиспользованных открепительных удостоверений	294	5	10	1	5	4	2	9	10	4	14	8	10	4	7	10	9	7	4	9	6	7	2	0	0	8	4	2	8	4	3	8	6	8	6	3	9	7	7	4	10	7	8	7	6	7	5	10	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	97	2	3	2	5	3	4	0	2	2	4	4	1	3	1	1	2	0	3	3	4	1	5	3	0	0	0	4	5	2	2	7	2	4	0	0	0	0	1	4	1	1	1	4	1	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																													
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	1821	43	42	52	25	39	39	32	28	39	34	41	32	31	51	38	31	38	37	40	34	33	33	40	42	58	33	43	34	51	61	28	39	44	44	35	42	39	24	54	38	32	50	48	51	28	13	9	17	4	8									
		5.39%	4.77%	5.38%	5.12%	3.59%	5.36%	4.49%	7.11%	3.70%	5.01%	4.86%	6.77%	4.86%	4.86%	7.03%	5.75%	4.57%	5.44%	4.84%	5.41%	4.47%	5.14%	4.60%	5.80%	4.69%	6.91%	4.55%	5.80%	4.63%	6.14%	7.37%	4.88%	5.35%	6.39%	5.67%	6.72%	6.46%	5.75%	5.44%	7.34%	5.07%	4.46%	7.14%	6.69%	6.83%	4.90%	7.56%	8.18%	2.01%	6.56%	2.24%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	674	18	15	20	16	13	11	13	22	14	10	9	20	16	15	15	15	19	17	20	14	12	13	15	17	9	15	16	12	12	16	12	12	14	20	12	12	7	14	17	11	12	20	12	13	10	5	3	9	0	10									
		1.99%	1.99%	1.92%	1.97%	2.30%	1.79%	1.27%	2.89%	2.91%	1.80%	1.43%	1.49%	3.03%	2.51%	2.07%	2.27%	2.21%	2.72%	2.23%	2.70%	1.84%	1.87%	1.81%	2.17%	1.90%	1.07%	2.07%	2.16%	1.63%	1.44%	1.93%	2.09%	1.65%	2.03%	2.58%	2.30%	1.85%	1.03%	3.17%	2.31%	1.47%	1.67%	2.86%	1.67%	1.74%	1.75%	2.91%	2.73%	1.07%	0.00%	2.80%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	1023	34	31	34	26	18	14	16	18	23	32	18	13	27	19	27	18	22	25	23	25	29	18	21	11	34	24	12	13	23	22	16	22	31	28	14	18	20	6	28	23	24	23	21	15	25	2	3	14	4	16									
