Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																		
Дата голосования: 18.09.2016																																																																		
																																																																		
Наименование Избирательной комиссии:    Чекмагушевская																																																																		
																																																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																																																		
																																																																		
		Сумма	УИК №3252	УИК №3253	УИК №3254	УИК №3255	УИК №3256	УИК №3257	УИК №3258	УИК №3259	УИК №3260	УИК №3261	УИК №3262	УИК №3263	УИК №3264	УИК №3265	УИК №3266	УИК №3267	УИК №3268	УИК №3269	УИК №3270	УИК №3271	УИК №3272	УИК №3273	УИК №3274	УИК №3275	УИК №3276	УИК №3277	УИК №3278	УИК №3279	УИК №3280	УИК №3281	УИК №3282	УИК №3283	УИК №3284	УИК №3285	УИК №3286	УИК №3287	УИК №3288	УИК №3289	УИК №3290	УИК №3291	УИК №3292	УИК №3293	УИК №3294	УИК №3295	УИК №3296	УИК №3297	УИК №3298	УИК №3299	УИК №3300	УИК №3301	УИК №3302	УИК №3303	УИК №3304	УИК №3305	УИК №3306									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	23711	1150	946	960	791	1181	448	1219	589	614	700	816	262	543	86	99	243	143	359	307	204	501	190	242	449	236	629	177	194	155	621	143	709	200	682	698	126	138	363	123	165	84	551	264	259	467	390	71	378	525	110	465	729	353	492	172									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	24880	1200	970	960	800	1200	455	1250	620	630	730	840	275	580	90	105	255	155	400	320	220	530	215	260	470	250	660	210	210	175	690	160	740	210	720	750	135	145	390	130	170	95	590	275	275	480	420	85	420	550	120	485	745	365	510	190									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	20494	733	832	774	656	1016	378	1057	471	527	597	722	242	483	78	84	223	125	332	276	188	397	153	198	399	204	592	158	173	144	562	130	648	170	555	624	106	120	337	111	152	82	468	236	223	414	318	68	346	480	97	427	671	324	467	146									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1223	58	7	24	30	11	16	4	30	12	25	6	6	33	6	11	12	11	12	20	14	78	27	34	30	19	22	13	13	8	33	8	33	24	87	46	18	12	14	9	13	0	45	16	26	31	56	3	32	27	8	24	28	12	6	20									
6	Число погашенных избирательных бюллетеней	3163	409	131	162	114	173	61	189	119	91	108	112	27	64	6	10	20	19	56	24	18	55	35	28	41	27	46	39	24	23	95	22	59	16	78	80	11	13	39	10	5	13	77	23	26	35	46	14	42	43	15	34	46	29	37	24									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1223	58	7	24	30	11	16	4	30	12	25	6	6	33	6	11	12	11	12	20	14	78	27	34	30	19	22	13	13	8	33	8	33	24	87	46	18	12	14	9	13	0	45	16	26	31	56	3	32	27	8	24	28	12	6	20									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	20494	733	832	774	656	1016	378	1057	471	527	597	722	242	483	78	84	223	125	332	276	188	397	153	198	399	204	592	158	173	144	562	130	648	170	555	624	106	120	337	111	152	82	468	236	223	414	318	68	346	480	97	427	671	324	467	146									
9	Число недействительных избирательных бюллетеней	147	12	5	18	22	0	4	0	8	3	5	2	2	17	0	0	0	0	10	0	3	0	6	0	0	0	0	0	0	1	7	0	0	0	5	0	0	0	0	0	0	0	0	0	0	10	4	0	0	0	0	0	0	1	2	0									
10	Число действительных избирательных бюллетеней	21570	779	834	780	664	1027	390	1061	493	536	617	726	246	499	84	95	235	136	334	296	199	475	174	232	429	223	614	171	186	151	588	138	681	194	637	670	124	132	351	120	165	82	513	252	249	435	370	71	378	507	105	451	699	335	471	166									
