Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																				
Дата голосования: 04.12.2011																																																																																				
																																																																																				
Наименование Избирательной комиссии:    Кабанская																																																																																				
																																																																																				
Сводная таблица результатов выборов																																																																																				
																																																																																				
		Сумма	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324					
1	"Число избирателей, внесенных в список избирателей"	45924	222	328	82	97	348	608	297	96	463	605	456	516	282	120	101	137	415	156	189	114	118	1004	793	391	1478	145	1455	1867	1525	1969	1379	1537	258	205	359	395	704	648	1062	1107	980	472	49	521	168	505	390	175	401	281	244	1244	1264	1174	1675	851	238	106	336	584	202	54	519	167	107	36	1107	1407	1273	988	85	98	388	437	668	1442	1257					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	42139	210	320	65	85	330	540	280	90	450	540	400	475	280	115	95	140	400	145	180	110	105	990	750	345	1280	150	1320	1420	1385	1920	1300	1010	250	190	340	380	680	640	1000	950	950	420	45	510	170	480	390	170	396	275	220	1250	1200	1100	1550	790	230	100	330	495	200	50	512	170	70	31	1050	1300	1150	950	85	95	340	410	600	1250	1150					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	22614	148	167	54	66	168	293	130	68	248	339	228	325	169	100	69	119	232	100	111	82	56	485	306	114	668	134	675	780	784	870	562	623	111	119	152	160	362	330	551	484	439	237	33	306	110	295	247	140	225	140	121	630	635	585	759	429	140	70	194	238	104	48	347	109	56	21	503	625	600	500	44	82	227	215	322	663	633					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1874	14	19	0	7	39	33	17	6	46	39	42	40	43	15	12	18	46	23	25	13	6	13	22	18	30	0	34	40	51	23	14	28	15	4	5	20	24	24	39	62	19	28	3	16	5	30	18	1	20	16	14	58	27	38	23	34	13	0	29	31	64	2	43	20	9	6	33	30	54	38	16	0	26	43	28	29	41					
6	Число погашенных избирательных бюллетеней	17651	48	134	11	12	123	214	133	16	156	162	130	110	68	0	14	3	122	22	44	15	43	492	422	213	582	16	611	600	550	1027	724	359	124	67	183	200	294	286	410	404	492	155	9	188	55	155	125	29	151	119	85	562	538	477	768	327	77	30	107	226	32	0	122	41	5	4	514	645	496	412	25	13	87	152	250	558	476					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1874	14	19	0	7	39	33	17	6	46	39	42	40	43	15	12	18	46	23	25	13	6	13	22	18	30	0	34	40	51	23	14	28	15	4	5	20	24	24	39	62	19	28	3	16	5	30	18	1	20	16	14	58	27	38	23	34	13	0	29	31	64	2	43	20	9	6	33	30	54	38	16	0	26	43	28	29	41					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	22612	148	167	54	66	168	293	130	68	248	339	228	325	169	100	69	119	232	100	111	82	56	485	306	114	668	134	675	780	784	869	562	623	111	119	152	160	362	330	551	484	439	237	33	306	110	295	247	140	225	140	121	630	635	584	759	429	140	70	194	238	104	48	347	109	56	21	503	625	600	500	44	82	227	215	322	663	633					
9	Число недействительных избирательных бюллетеней	419	2	5	0	0	4	4	4	2	7	2	5	6	5	1	2	9	1	2	2	3	0	7	6	0	11	6	13	17	25	18	7	8	2	3	0	4	4	6	5	9	17	1	0	3	1	4	4	2	1	2	0	14	13	9	13	9	5	1	3	2	18	0	6	3	1	2	7	9	8	13	0	0	2	4	5	11	9					
10	Число действительных избирательных бюллетеней	24067	160	181	54	73	203	322	143	72	287	376	265	359	207	114	79	128	277	121	134	92	62	491	322	132	687	128	696	803	810	874	569	643	124	120	157	176	382	348	585	537	441	264	36	319	114	321	261	139	244	154	135	674	649	613	769	454	148	69	220	267	150	50	384	126	64	25	529	646	646	525	60	82	251	254	345	681	665					
