Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																			
Дата голосования: 02.12.2007																																																																																			
																																																																																			
Наименование Избирательной комиссии:    Кабанская																																																																																			
																																																																																			
Сводная таблица результатов выборов																																																																																			
																																																																																			
		Сумма	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323					
1	"Число избирателей, внесенных в списки избирателей"	46696	205	324	88	103	1100	311	98	535	483	642	451	372	166	104	177	482	196	212	129	98	1016	761	317	93	1461	1588	1754	1616	1565	1993	1204	251	181	350	391	699	605	1135	1043	945	480	49	537	184	545	429	202	410	295	232	1207	1174	1522	1770	745	234	131	602	386	589	199	211	62	100	33	1069	1359	1262	945	77	93	731	64	834	1309	1381					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	41951	194	309	72	106	1118	305	91	503	459	621	418	359	164	101	168	491	207	205	130	87	936	743	260	123	1150	1300	1200	1400	1400	1572	900	244	168	331	366	658	603	1063	929	890	432	50	523	187	571	442	204	409	304	226	1191	1032	1100	1250	689	205	119	583	369	563	207	209	58	91	32	974	1278	1135	813	74	90	736	64	830	1271	1296					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	26513	142	188	61	84	535	156	65	288	272	380	259	242	123	77	113	302	105	129	92	64	548	386	151	63	837	934	975	1010	827	1181	721	152	112	181	212	376	369	619	536	485	265	31	298	126	318	274	127	231	177	133	672	649	736	905	411	178	89	443	255	338	178	123	53	77	21	536	754	671	540	43	76	449	49	412	752	771					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1568	4	17	0	5	100	40	5	51	39	41	32	16	12	10	18	36	24	19	6	14	14	29	0	0	18	11	53	27	21	16	26	24	8	34	13	26	22	31	57	17	19	3	19	16	21	13	2	19	0	7	33	25	34	10	32	13	16	20	27	23	0	14	0	0	5	29	31	31	38	11	0	46	3	27	21	24					
6	Число погашенных избирательных бюллетеней	13870	48	104	11	17	483	109	21	164	148	200	127	101	29	14	37	153	78	57	32	9	374	328	109	60	295	355	172	363	552	375	153	68	48	116	141	256	212	413	336	388	148	16	206	45	232	155	75	159	127	86	486	358	330	335	246	14	14	120	87	202	29	72	5	14	6	409	493	433	235	20	14	241	12	391	498	501					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1568	4	17	0	5	100	40	5	51	39	41	32	16	12	10	18	36	24	19	6	14	14	29	0	0	18	11	53	27	21	16	26	24	8	34	13	26	22	31	57	17	19	3	19	16	21	13	2	19	0	7	33	25	34	10	32	13	16	20	27	23	0	14	0	0	5	29	31	31	38	11	0	46	3	27	21	24					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	26503	142	188	61	83	535	156	65	288	272	380	259	242	123	77	113	302	105	129	92	64	547	386	151	63	837	934	975	1010	827	1181	721	152	112	181	212	376	369	619	536	485	265	31	298	126	318	274	127	231	177	133	672	649	734	905	411	178	89	443	255	338	178	123	53	77	21	536	754	671	540	43	76	448	49	412	752	766					
9	Число недействительных избирательных бюллетеней	794	1	5	1	1	22	11	3	7	8	1	8	10	8	2	9	3	12	5	1	7	30	6	3	2	18	32	25	17	3	28	14	15	1	7	12	7	12	12	17	14	3	0	15	5	16	26	3	9	12	4	10	33	25	19	15	8	0	10	9	1	4	11	0	0	0	6	13	33	59	0	0	11	0	16	14	4					
10	Число действительных избирательных бюллетеней	27277	145	200	60	87	613	185	67	332	303	420	283	248	127	85	122	335	117	143	97	71	531	409	148	61	837	913	1003	1020	845	1169	733	161	119	208	213	395	379	638	576	488	281	34	302	137	323	261	126	241	165	136	695	641	743	896	428	183	105	453	273	360	174	126	53	77	26	559	772	669	519	54	76	483	52	423	759	786					
