Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																															
Дата голосования: 18.09.2016																															
																															
Наименование Избирательной комиссии:    Спасская																															
																															
Сводная таблица итогов голосования по федеральному избирательному округу																															
																															
		Сумма	УИК №1925	УИК №1926	УИК №1927	УИК №1928	УИК №1929	УИК №1930	УИК №1933	УИК №1934	УИК №1935	УИК №1936	УИК №1937	УИК №1938	УИК №1939	УИК №1940	УИК №1941	УИК №1942	УИК №1943	УИК №1944	УИК №1945	УИК №1946									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	9083	255	155	258	234	382	574	787	1726	1203	519	243	716	133	252	96	218	177	320	404	431									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	8894	260	154	259	238	383	580	803	1650	1100	525	247	694	135	254	97	217	158	312	399	429									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4040	161	69	154	120	147	241	248	743	499	356	159	281	58	97	33	121	104	142	164	143									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1746	31	23	42	11	84	136	173	55	93	65	41	171	42	90	27	63	44	141	173	241									
6	Число погашенных избирательных бюллетеней	3108	68	62	63	107	152	203	382	852	508	104	47	242	35	67	37	33	10	29	62	45									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1746	31	23	42	11	84	136	173	55	93	65	41	171	42	90	27	63	44	141	173	241									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4040	161	69	154	120	147	241	248	743	499	356	159	281	58	97	33	121	104	142	164	143									
9	Число недействительных избирательных бюллетеней	73	4	1	1	5	10	0	4	22	3	2	0	2	0	5	3	0	1	4	3	3									
10	Число действительных избирательных бюллетеней	5713	188	91	195	126	221	377	417	776	589	419	200	450	100	182	57	184	147	279	334	381									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	117	3	3	3	6	8	10	11	20	17	6	4	6	2	2	2	3	2	3	3	3									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	60	0	0	0	5	1	3	6	16	13	5	3	6	0	2	0	0	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	37	0	3	4	3	2	0	0	2	0	0	5	1	4	0	0	1	2	4	4	2									
14	Число погашенных неиспользованных открепительных удостоверений	57	3	3	3	1	7	7	5	4	4	1	1	0	2	0	2	3	2	3	3	3									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	33	0	0	0	0	2	1	11	8	5	4	1	1	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																															
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	57	2	0	2	0	3	0	9	9	3	16	0	2	0	0	0	3	0	2	4	2									
		0.99%	1.04%	0.00%	1.02%	0.00%	1.30%	0.00%	2.14%	1.13%	0.51%	3.80%	0.00%	0.44%	0.00%	0.00%	0.00%	1.63%	0.00%	0.71%	1.19%	0.52%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	137	3	4	8	1	7	0	21	26	19	12	1	9	1	3	2	2	2	8	4	4									
		2.37%	1.56%	4.35%	4.08%	0.76%	3.03%	0.00%	4.99%	3.26%	3.21%	2.85%	0.50%	1.99%	1.00%	1.60%	3.33%	1.09%	1.35%	2.83%	1.19%	1.04%									
