Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																															
Дата голосования: 04.12.2011																																																															
																																																															
Наименование Избирательной комиссии:    Елецкая городская																																																															
																																																															
Сводная таблица результатов выборов																																																															
																																																															
		Сумма	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470					
1	"Число избирателей, внесенных в список избирателей"	89412	1464	1273	882	1798	1602	2077	1155	2122	2238	1203	2466	2441	1690	400	1897	1736	1943	1756	51	157	1195	2265	1312	2428	1607	2291	1249	2031	1992	1458	1382	1837	1760	2114	2335	1026	105	1465	1523	1038	1085	1784	1934	1686	1570	1338	1114	2662	2241	1434	2326	2381	1211	2175	1669	38					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	82820	1400	1200	800	1700	1500	2000	1000	2000	2000	1100	2200	2200	1600	400	1800	1600	1800	1700	70	170	1100	2000	1200	2200	1500	2100	1100	1900	1900	1300	1300	1700	1700	2000	2100	1000	130	1300	1400	1000	1000	1700	1800	1600	1500	1200	1000	2500	2000	1300	2100	2200	1100	2000	1600	50					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	45209	717	555	424	791	848	1102	578	1132	1141	630	1402	1413	923	202	1025	927	1078	1016	18	157	579	1094	627	1210	793	1148	639	1062	1068	693	683	751	780	1065	932	387	88	717	765	579	593	1033	940	760	782	665	543	1320	1274	807	1253	1214	638	883	747	18					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2775	38	62	32	157	46	47	35	44	75	10	21	59	41	194	46	22	17	39	33	0	37	55	14	62	32	24	50	41	26	22	55	160	42	45	87	106	16	112	50	19	62	35	40	60	51	17	42	48	18	29	23	85	32	86	59	15					
6	Число погашенных избирательных бюллетеней	34836	645	583	344	752	606	851	387	824	784	460	777	728	636	4	729	651	705	645	19	13	484	851	559	928	675	928	411	797	806	585	562	789	878	890	1081	507	26	471	585	402	345	632	820	780	667	518	415	1132	708	464	824	901	430	1031	794	17					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2775	38	62	32	157	46	47	35	44	75	10	21	59	41	194	46	22	17	39	33	0	37	55	14	62	32	24	50	41	26	22	55	160	42	45	87	106	16	112	50	19	62	35	40	60	51	17	42	48	18	29	23	85	32	86	59	15					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	45203	717	555	424	791	847	1102	578	1132	1138	630	1402	1413	923	202	1025	927	1078	1016	18	157	579	1094	627	1210	793	1148	639	1062	1067	693	683	751	780	1065	932	387	88	717	765	579	593	1033	940	760	782	665	543	1320	1274	807	1253	1213	638	883	747	18					
9	Число недействительных избирательных бюллетеней	1273	23	18	13	38	25	32	16	28	30	14	22	36	17	18	29	27	36	37	2	5	16	25	18	23	20	36	14	29	38	18	15	21	23	30	27	7	8	24	18	20	12	27	15	56	26	15	15	20	42	21	31	22	34	28	12	1					
10	Число действительных избирательных бюллетеней	46705	732	599	443	910	868	1117	597	1148	1183	626	1401	1436	947	378	1042	922	1059	1018	49	152	600	1124	623	1249	805	1136	675	1074	1055	697	723	890	799	1080	992	486	96	805	797	578	643	1041	965	764	807	667	570	1348	1250	815	1245	1276	636	941	794	32					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	577	10	10	10	10	25	15	10	10	10	10	20	10	10	10	15	10	10	10	0	0	10	13	10	13	10	10	10	10	10	10	10	10	10	21	10	10	0	10	10	10	10	10	10	10	10	10	10	10	15	10	10	10	10	10	10	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	367	4	5	2	8	22	11	6	6	9	3	16	10	9	0	14	5	10	8	0	0	5	11	6	9	5	4	3	7	8	9	8	2	3	14	3	0	0	8	4	5	5	5	9	8	10	5	3	9	12	3	10	9	7	8	2	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	244	2	3	4	1	13	6	3	31	1	1	5	4	5	0	3	2	1	2	1	66	0	5	3	3	5	2	5	3	2	2	7	2	1	3	3	1	0	2	3	0	3	2	3	1	8	1	2	5	2	2	2	3	1	3	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	210	6	5	8	2	3	4	4	4	1	7	4	0	1	10	1	5	0	2	0	0	5	2	4	4	5	6	7	3	2	1	2	8	7	7	7	10	0	2	6	5	5	5	1	2	0	5	7	1	3	7	0	1	3	2	8	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	69	2	3	0	1	4	0	1	5	2	1	4	3	2	0	1	0	0	2	0	0	0	2	2	2	0	1	1	0	2	0	1	0	4	0	1	0	0	1	1	1	0	1	1	0	1	0	1	3	0	2	6	1	2	1	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																															
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	8361	124	110	79	118	124	196	96	221	170	75	230	264	214	38	208	181	234	187	9	3	99	218	110	237	164	237	114	240	229	161	130	211	146	179	163	105	21	151	127	96	117	183	168	145	153	107	79	239	225	137	238	188	105	161	92	5					
		17.43%	16.42%	17.83%	17.32%	12.45%	13.89%	17.06%	15.66%	18.79%	14.01%	11.72%	16.16%	17.93%	22.20%	9.60%	19.42%	19.07%	21.37%	17.73%	17.65%	1.91%	16.07%	18.97%	17.16%	18.63%	19.88%	20.22%	16.55%	21.76%	20.95%	22.52%	17.62%	23.16%	17.76%	16.13%	15.99%	21.30%	20.19%	18.21%	15.58%	16.05%	17.86%	17.13%	17.14%	17.68%	18.37%	15.69%	13.50%	17.47%	17.41%	16.39%	18.65%	14.48%	15.67%	16.62%	11.41%	15.15%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	9665	203	136	89	292	166	247	137	217	327	226	246	356	178	28	221	214	186	192	4	20	125	233	100	180	135	158	92	195	143	109	109	147	145	203	159	75	9	183	195	133	128	209	245	144	184	138	131	322	305	162	250	315	150	249	217	3					
		20.14%	26.89%	22.04%	19.52%	30.80%	18.59%	21.50%	22.35%	18.45%	26.96%	35.31%	17.29%	24.18%	18.46%	7.07%	20.63%	22.55%	16.99%	18.20%	7.84%	12.74%	20.29%	20.28%	15.60%	14.15%	16.36%	13.48%	13.35%	17.68%	13.08%	15.24%	14.77%	16.14%	17.64%	18.29%	15.60%	15.21%	8.65%	22.07%	23.93%	22.24%	19.54%	19.57%	25.00%	17.56%	22.09%	20.23%	22.39%	23.54%	23.61%	19.38%	19.59%	24.27%	22.39%	25.70%	26.92%	9.09%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	573	7	8	5	7	5	16	5	11	9	7	20	13	6	6	12	10	13	11	1	1	9	14	10	20	5	19	12	21	15	6	9	16	10	21	9	5	0	13	10	6	5	21	11	8	8	3	6	22	22	14	15	13	6	11	5	0					
		1.19%	0.93%	1.30%	1.10%	0.74%	0.56%	1.39%	0.82%	0.94%	0.74%	1.09%	1.41%	0.88%	0.62%	1.52%	1.12%	1.05%	1.19%	1.04%	1.96%	0.64%	1.46%	1.22%	1.56%	1.57%	0.61%	1.62%	1.74%	1.90%	1.37%	0.84%	1.22%	1.76%	1.22%	1.89%	0.88%	1.01%	0.00%	1.57%	1.23%	1.00%	0.76%	1.97%	1.12%	0.98%	0.96%	0.44%	1.03%	1.61%	1.70%	1.67%	1.18%	1.00%	0.90%	1.14%	0.62%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	12317	164	149	111	191	224	295	156	301	265	144	430	365	223	35	246	257	287	295	15	4	128	296	186	426	253	328	229	305	325	190	201	232	212	315	321	141	22	161	196	127	209	294	226	213	178	186	158	340	316	198	346	302	159	240	185	16					
		25.67%	21.72%	24.15%	24.34%	20.15%	25.08%	25.67%	25.45%	25.60%	21.85%	22.50%	30.22%	24.80%	23.13%	8.84%	22.97%	27.08%	26.21%	27.96%	29.41%	2.55%	20.78%	25.76%	29.02%	33.49%	30.67%	27.99%	33.24%	27.65%	29.73%	26.57%	27.24%	25.47%	25.79%	28.38%	31.50%	28.60%	21.15%	19.42%	24.05%	21.24%	31.91%	27.53%	23.06%	25.98%	21.37%	27.27%	27.01%	24.85%	24.46%	23.68%	27.12%	23.27%	23.73%	24.77%	22.95%	48.48%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1230	14	6	14	28	25	39	19	50	24	8	42	44	40	5	41	31	17	23	1	0	27	21	23	42	25	42	20	23	21	17	16	24	19	26	18	8	4	27	11	21	26	33	18	12	24	19	14	18	19	38	25	26	15	19	17	1					
		2.56%	1.85%	0.97%	3.07%	2.95%	2.80%	3.39%	3.10%	4.25%	1.98%	1.25%	2.95%	2.99%	4.15%	1.26%	3.83%	3.27%	1.55%	2.18%	1.96%	0.00%	4.38%	1.83%	3.59%	3.30%	3.03%	3.58%	2.90%	2.09%	1.92%	2.38%	2.17%	2.63%	2.31%	2.34%	1.77%	1.62%	3.85%	3.26%	1.35%	3.51%	3.97%	3.09%	1.84%	1.46%	2.88%	2.79%	2.39%	1.32%	1.47%	4.55%	1.96%	2.00%	2.24%	1.96%	2.11%	3.03%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	14307	218	189	142	266	316	313	178	343	383	164	427	387	284	262	306	221	319	305	19	124	210	337	191	332	220	347	207	286	318	210	258	252	265	328	316	148	40	261	256	189	157	296	292	234	254	212	179	403	353	264	364	428	199	255	273	7					
		29.82%	28.87%	30.63%	31.14%	28.06%	35.39%	27.24%	29.04%	29.17%	31.57%	25.63%	30.01%	26.29%	29.46%	66.16%	28.57%	23.29%	29.13%	28.91%	37.25%	78.98%	34.09%	29.33%	29.80%	26.10%	26.67%	29.61%	30.04%	25.93%	29.09%	29.37%	34.96%	27.66%	32.24%	29.55%	31.01%	30.02%	38.46%	31.48%	31.41%	31.61%	23.97%	27.72%	29.80%	28.54%	30.49%	31.09%	30.60%	29.46%	27.32%	31.58%	28.53%	32.97%	29.70%	26.32%	33.87%	21.21%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	252	2	1	3	8	8	11	6	5	5	2	6	7	2	4	8	8	3	5	0	0	2	5	3	12	3	5	1	4	4	4	0	8	2	8	6	4	0	9	2	6	1	5	5	8	6	2	3	4	10	2	7	4	2	6	5	0					
		0.53%	0.26%	0.16%	0.66%	0.84%	0.90%	0.96%	0.98%	0.43%	0.41%	0.31%	0.42%	0.48%	0.21%	1.01%	0.75%	0.84%	0.27%	0.47%	0.00%	0.00%	0.32%	0.44%	0.47%	0.94%	0.36%	0.43%	0.15%	0.36%	0.37%	0.56%	0.00%	0.88%	0.24%	0.72%	0.59%	0.81%	0.00%	1.09%	0.25%	1.00%	0.15%	0.47%	0.51%	0.98%	0.72%	0.29%	0.51%	0.29%	0.77%	0.24%	0.55%	0.31%	0.30%	0.62%	0.62%	0.00%					
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
