Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																		
Дата голосования: 02.12.2007																																																																		
																																																																		
Наименование Избирательной комиссии:    Елецкая городская																																																																		
																																																																		
Сводная таблица результатов выборов																																																																		
																																																																		
		Сумма	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485					
1	"Число избирателей, внесенных в списки избирателей"	90807	1451	1241	912	1794	1640	2137	1217	1140	1457	1213	2387	1556	1955	1795	397	1966	1769	1983	1869	81	227	1410	1477	2162	1307	2116	1629	2307	1297	2040	2088	1542	1736	1800	1789	2134	2324	1044	133	1570	1071	1198	1806	1913	1838	1621	1412	1176	2132	1930	1431	1448	2006	2488	1258	507	1715	1682	83					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	82099	1300	1200	850	1600	1400	2000	1100	1000	1300	1000	2000	1400	1800	1500	397	1800	1600	1900	1700	90	240	1200	1300	2000	1200	2000	1500	2000	1200	1900	1900	1400	1500	1500	1700	2000	2000	1000	145	1400	1000	1000	1500	1800	1700	1500	1300	1000	2000	1800	1300	1300	1900	2200	1100	500	1500	1600	77					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	57129	906	689	538	891	1068	1320	687	709	952	744	1579	1041	1306	1217	222	1311	1136	1291	1249	50	225	911	886	1332	808	1353	1002	1489	847	1398	1386	935	1068	1011	1040	1356	1304	556	124	1016	760	776	1254	1186	1069	970	868	729	1342	1301	949	958	1299	1592	813	270	985	1023	32					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2819	49	45	72	134	54	29	54	26	65	6	26	34	49	35	168	67	33	43	33	31	0	42	53	71	20	35	43	41	35	51	35	27	85	75	33	42	79	72	9	47	26	71	27	31	77	57	37	19	30	33	25	21	47	86	38	38	106	57	45					
6	Число погашенных избирательных бюллетеней	22151	345	466	240	575	278	651	359	265	283	250	395	325	445	248	7	422	431	566	418	9	15	247	361	597	372	612	455	470	318	451	479	438	347	414	627	602	617	372	12	337	214	153	219	583	554	473	395	252	628	466	326	321	554	522	249	192	409	520	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2819	49	45	72	134	54	29	54	26	65	6	26	34	49	35	168	67	33	43	33	31	0	42	53	71	20	35	43	41	35	51	35	27	85	75	33	42	79	72	9	47	26	71	27	31	77	57	37	19	30	33	25	21	47	86	38	38	106	57	45					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	57129	906	689	538	891	1068	1320	687	709	952	744	1579	1041	1306	1217	222	1311	1136	1291	1249	50	225	911	886	1332	808	1353	1002	1489	847	1398	1386	935	1068	1011	1040	1356	1304	556	124	1016	760	776	1254	1186	1069	970	868	729	1342	1301	949	958	1299	1592	813	270	985	1023	32					
9	Число недействительных избирательных бюллетеней	869	15	6	13	10	21	6	7	6	15	10	24	19	20	20	21	15	13	15	14	0	17	13	18	23	14	11	16	28	24	20	14	10	12	9	20	16	29	8	3	10	15	13	23	15	20	15	7	10	22	17	16	17	17	29	12	3	17	16	0					
10	Число действительных избирательных бюллетеней	59079	940	728	597	1015	1101	1343	734	729	1002	740	1581	1056	1335	1232	369	1363	1156	1319	1268	81	208	940	921	1380	814	1377	1029	1502	858	1429	1407	952	1141	1077	1053	1382	1354	620	130	1053	771	834	1258	1202	1126	1012	898	738	1350	1317	958	962	1329	1649	839	305	1074	1064	77					
