Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																									
Дата голосования: 18.09.2016																																									
																																									
"Наименование Избирательной комиссии:    Новокузнецк, Новоильинская"																																									
																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																									
																																									
		Сумма	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	57679	2163	2257	2261	1368	1734	2107	1473	2436	2355	2317	2407	2177	235	2472	2154	1963	2174	2051	1864	2054	1449	1436	1945	1745	2330	1952	1864	2307	2255	374									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	50370	2000	2000	2000	1200	1500	1800	1300	2100	2000	2050	2000	1900	240	2200	1950	1700	1900	1800	1650	1800	1250	1250	1700	1500	2000	1700	1600	2000	1900	380									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	47382	1834	1887	1853	1041	1390	1716	1260	2067	1773	1953	1897	1873	195	2082	1920	1591	1796	1667	1606	1731	1185	1209	1675	1174	1946	1604	1535	1905	1847	170									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1121	69	28	41	56	24	31	35	23	47	63	88	13	40	18	25	18	9	46	32	27	25	15	15	16	23	13	9	31	37	204									
6	Число погашенных избирательных бюллетеней	1867	97	85	106	103	86	53	5	10	180	34	15	14	5	100	5	91	95	87	12	42	40	26	10	310	31	83	56	64	16	6									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1121	69	28	41	56	24	31	35	23	47	63	88	13	40	18	25	18	9	46	32	27	25	15	15	16	23	13	9	31	37	204									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	47212	1834	1887	1853	1041	1390	1716	1255	2032	1773	1953	1897	1873	195	2082	1799	1591	1796	1667	1606	1730	1185	1206	1675	1174	1946	1599	1535	1905	1847	170									
9	Число недействительных избирательных бюллетеней	346	6	25	29	14	20	8	2	10	19	10	6	23	0	6	15	0	7	19	26	14	2	21	3	21	32	7	0	0	0	1									
10	Число действительных избирательных бюллетеней	47987	1897	1890	1865	1083	1394	1739	1288	2045	1801	2006	1979	1863	235	2094	1809	1609	1798	1694	1612	1743	1208	1200	1687	1169	1937	1605	1544	1936	1884	373									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1976	76	79	78	47	60	72	52	80	80	80	75	74	15	75	68	70	75	71	68	71	50	50	67	61	81	67	65	81	78	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	691	36	29	24	6	18	47	31	15	20	29	25	43	4	48	31	26	19	26	16	24	11	19	16	18	26	19	19	29	13	4									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	189	5	29	9	5	8	3	4	7	13	3	10	10	0	9	15	2	7	13	0	1	3	3	5	8	0	9	3	5	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	1285	40	50	54	41	42	25	21	65	60	51	50	31	11	27	37	44	56	45	52	47	39	31	51	43	55	48	46	52	65	6									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	24	0	2	2	0	0	1	0	3	0	1	0	0	0	1	3	1	0	2	0	2	0	1	1	1	0	0	0	1	2	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																									
