Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																											
Дата голосования: 18.09.2016																											
																											
Наименование Избирательной комиссии:    Звериноголовская																											
																											
Сводная таблица итогов голосования по федеральному избирательному округу																											
																											
		Сумма	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	7672	178	193	170	1561	1127	718	134	117	175	688	105	380	533	269	492	832									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	7600	180	200	170	1600	1100	650	120	100	180	650	100	400	550	250	500	850									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	3044	50	95	68	499	412	258	59	46	83	343	56	158	221	119	274	303									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	426	27	6	10	48	43	30	13	2	6	7	7	30	90	23	46	38									
6	Число погашенных избирательных бюллетеней	4130	103	99	92	1053	645	362	48	52	91	300	37	212	239	108	180	509									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	426	27	6	10	48	43	30	13	2	6	7	7	30	90	23	46	38									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	3044	50	95	68	499	412	258	59	46	83	343	56	158	221	119	274	303									
9	Число недействительных избирательных бюллетеней	75	0	3	3	15	10	11	1	1	1	5	2	3	6	2	5	7									
10	Число действительных избирательных бюллетеней	3395	77	98	75	532	445	277	71	47	88	345	61	185	305	140	315	334									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	302	6	6	6	35	35	25	6	6	7	25	7	19	30	12	63	14									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	240	6	6	6	35	7	7	6	6	7	9	7	19	30	12	63	14									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	80	0	1	1	6	14	7	1	4	2	4	0	7	0	3	28	2									
14	Число погашенных неиспользованных открепительных удостоверений	62	0	0	0	0	28	18	0	0	0	16	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	52	0	1	0	16	14	3	0	0	0	5	0	5	4	1	2	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																											
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	38	0	1	0	8	5	2	1	0	1	3	0	2	3	2	7	3									
		1.10%	0.00%	0.99%	0.00%	1.46%	1.10%	0.69%	1.39%	0.00%	1.12%	0.86%	0.00%	1.06%	0.96%	1.41%	2.19%	0.88%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	131	2	5	0	22	11	15	1	2	1	11	4	8	15	8	10	16									
		3.78%	2.60%	4.95%	0.00%	4.02%	2.42%	5.21%	1.39%	4.17%	1.12%	3.14%	6.35%	4.26%	4.82%	5.63%	3.13%	4.69%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	53	1	2	3	9	3	6	0	1	0	8	3	0	3	1	5	8									
		1.53%	1.30%	1.98%	3.85%	1.65%	0.66%	2.08%	0.00%	2.08%	0.00%	2.29%	4.76%	0.00%	0.96%	0.70%	1.56%	2.35%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1584	45	35	46	233	197	125	38	28	46	149	35	103	144	79	118	163									
		45.65%	58.44%	34.65%	58.97%	42.60%	43.30%	43.40%	52.78%	58.33%	51.69%	42.57%	55.56%	54.79%	46.30%	55.63%	36.88%	47.80%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	13	2	0	0	3	2	0	0	0	1	1	0	0	1	0	0	3									
		0.37%	2.60%	0.00%	0.00%	0.55%	0.44%	0.00%	0.00%	0.00%	1.12%	0.29%	0.00%	0.00%	0.32%	0.00%	0.00%	0.88%									
24	"6. Политическая партия ""Гражданская Платформа"""	8	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	2									
		0.23%	0.00%	0.00%	0.00%	0.00%	1.10%	0.00%	0.00%	0.00%	0.00%	0.29%	0.00%	0.00%	0.00%	0.00%	0.00%	0.59%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	582	14	20	5	98	72	51	11	7	26	57	12	35	25	23	86	40									
		16.77%	18.18%	19.80%	6.41%	17.92%	15.82%	17.71%	15.28%	14.58%	29.21%	16.29%	19.05%	18.62%	8.04%	16.20%	26.88%	11.73%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	11	0	1	0	4	2	0	0	0	0	0	1	0	2	0	1	0									
		0.32%	0.00%	0.99%	0.00%	0.73%	0.44%	0.00%	0.00%	0.00%	0.00%	0.00%	1.59%	0.00%	0.64%	0.00%	0.31%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	10	0	0	3	1	2	1	0	0	0	0	0	1	0	0	1	1									
		0.29%	0.00%	0.00%	3.85%	0.18%	0.44%	0.35%	0.00%	0.00%	0.00%	0.00%	0.00%	0.53%	0.00%	0.00%	0.31%	0.29%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	11	0	2	0	1	5	1	0	0	0	0	0	0	0	0	2	0									
		0.32%	0.00%	1.98%	0.00%	0.18%	1.10%	0.35%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.63%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	15	0	0	0	1	3	2	0	0	0	4	0	1	1	1	1	1									
		0.43%	0.00%	0.00%	0.00%	0.18%	0.66%	0.69%	0.00%	0.00%	0.00%	1.14%	0.00%	0.53%	0.32%	0.70%	0.31%	0.29%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	651	12	23	12	106	78	42	15	6	9	71	5	27	89	23	49	84									
		18.76%	15.58%	22.77%	15.38%	19.38%	17.14%	14.58%	20.83%	12.50%	10.11%	20.29%	7.94%	14.36%	28.62%	16.20%	15.31%	24.63%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	17	0	0	0	4	1	2	0	0	2	1	0	0	1	0	3	3									
		0.49%	0.00%	0.00%	0.00%	0.73%	0.22%	0.69%	0.00%	0.00%	2.25%	0.29%	0.00%	0.00%	0.32%	0.00%	0.94%	0.88%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	271	1	9	6	42	59	30	5	3	2	39	1	8	21	3	32	10									
		7.81%	1.30%	8.91%	7.69%	7.68%	12.97%	10.42%	6.94%	6.25%	2.25%	11.14%	1.59%	4.26%	6.75%	2.11%	10.00%	2.93%									
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
