Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																											
Дата голосования: 18.09.2016																																																											
																																																											
Наименование Избирательной комиссии:    Камызякская																																																											
																																																											
Сводная таблица итогов голосования по федеральному избирательному округу																																																											
																																																											
		Сумма	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	36502	1100	1198	670	1892	905	786	532	1343	1947	1640	859	242	764	701	93	137	1722	867	869	141	296	1015	399	183	216	1637	462	282	957	2021	814	1072	349	563	159	841	268	1182	908	299	126	766	1006	123	129	832	145	1044									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	36326	1100	1200	670	1900	900	780	530	1300	1900	1660	850	245	770	700	92	136	1700	880	880	143	300	1000	400	184	218	1600	466	280	970	1980	800	1080	350	560	160	750	269	1190	900	296	197	760	1000	123	129	835	143	1050									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	13133	362	302	245	656	354	261	162	435	844	520	245	92	239	242	35	40	617	294	295	52	152	383	127	62	88	876	216	135	260	592	333	355	96	263	75	372	138	354	240	126	115	298	337	76	48	244	60	420									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1257	5	22	8	9	12	10	3	14	30	13	55	6	24	36	9	11	35	41	19	0	12	49	19	0	6	41	14	13	44	253	50	34	17	36	10	44	14	49	27	26	11	19	45	0	0	28	16	18									
6	Число погашенных избирательных бюллетеней	21936	733	876	417	1235	534	509	365	851	1026	1127	550	147	507	422	48	85	1048	545	566	91	136	568	254	122	124	683	236	132	666	1135	417	691	237	261	75	334	117	787	633	144	71	443	618	47	81	563	67	612									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1257	5	22	8	9	12	10	3	14	30	13	55	6	24	36	9	11	35	41	19	0	12	49	19	0	6	41	14	13	44	253	50	34	17	36	10	44	14	49	27	26	11	19	45	0	0	28	16	18									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	13133	362	302	245	656	354	261	162	435	844	520	245	92	239	242	35	40	617	294	295	52	152	383	127	62	88	876	216	135	260	592	333	355	96	263	75	372	138	354	240	126	115	298	337	76	48	244	60	420									
9	Число недействительных избирательных бюллетеней	508	16	9	6	40	14	2	4	9	17	18	19	3	10	5	0	0	28	8	4	0	3	23	5	3	10	15	13	7	26	29	12	12	7	10	3	11	4	29	20	0	3	13	11	1	1	10	0	15									
10	Число действительных избирательных бюллетеней	13882	351	315	247	625	352	269	161	440	857	515	281	95	253	273	44	51	624	327	310	52	161	409	141	59	84	902	217	141	278	816	371	377	106	289	82	405	148	374	247	152	123	304	371	75	47	262	76	423									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	457	20	20	10	25	10	10	6	15	20	20	10	2	10	7	2	2	20	10	10	2	3	10	4	2	2	20	5	2	15	25	10	15	5	6	2	10	2	15	10	3	3	10	15	2	2	11	2	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	244	5	9	9	11	8	6	6	10	20	19	3	0	1	0	0	0	11	10	8	1	2	4	0	2	2	12	3	0	13	7	3	9	1	0	1	3	2	14	7	1	0	3	5	1	0	4	0	8									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	208	10	2	12	1	8	9	5	3	9	4	9	1	6	2	0	1	20	7	6	0	0	9	0	1	2	8	1	2	5	8	4	6	0	1	1	10	2	5	5	4	2	3	5	1	0	0	3	5									
14	Число погашенных неиспользованных открепительных удостоверений	213	15	11	1	14	2	4	0	5	0	1	7	2	9	7	2	2	9	0	2	1	1	6	4	0	0	8	2	2	2	18	7	6	4	6	1	7	0	1	3	2	3	7	10	1	2	7	2	7									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	90	1	3	2	13	5	1	2	8	9	10	0	0	2	2	0	0	3	4	0	0	0	4	1	0	0	3	2	0	3	2	1	0	0	0	0	1	0	1	1	0	3	0	0	0	0	0	0	3									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																											
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	119	2	3	1	4	4	1	1	4	11	4	5	1	3	1	0	2	6	2	10	0	2	2	2	1	0	4	1	1	4	10	2	5	0	3	2	0	2	1	0	0	1	3	1	0	0	3	0	4									
		0.83%	0.54%	0.93%	0.40%	0.60%	1.09%	0.37%	0.61%	0.89%	1.26%	0.75%	1.67%	1.02%	1.14%	0.36%	0.00%	3.92%	0.92%	0.60%	3.18%	0.00%	1.22%	0.46%	1.37%	1.61%	0.00%	0.44%	0.43%	0.68%	1.32%	1.18%	0.52%	1.29%	0.00%	1.00%	2.35%	0.00%	1.32%	0.25%	0.00%	0.00%	0.79%	0.95%	0.26%	0.00%	0.00%	1.10%	0.00%	0.91%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	593	14	12	15	22	17	5	3	22	25	27	11	15	16	10	1	0	29	9	10	2	3	20	16	3	0	28	12	4	10	27	20	10	3	13	7	4	6	21	13	10	1	3	18	4	1	50	0	21									
		4.12%	3.81%	3.70%	5.93%	3.31%	4.64%	1.85%	1.82%	4.90%	2.86%	5.07%	3.67%	15.31%	6.08%	3.60%	2.27%	0.00%	4.45%	2.69%	3.18%	3.85%	1.83%	4.63%	10.96%	4.84%	0.00%	3.05%	5.22%	2.70%	3.29%	3.20%	5.22%	2.57%	2.65%	4.35%	8.24%	0.96%	3.95%	5.21%	4.87%	6.58%	0.79%	0.95%	4.71%	5.26%	2.08%	18.38%	0.00%	4.79%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	180	4	6	1	14	10	8	2	10	9	4	7	0	2	0	0	0	6	3	1	0	0	2	0	0	3	6	3	3	3	16	2	5	3	1	0	6	0	5	8	3	2	2	5	0	2	7	2	4									
		1.25%	1.09%	1.85%	0.40%	2.11%	2.73%	2.95%	1.21%	2.23%	1.03%	0.75%	2.33%	0.00%	0.76%	0.00%	0.00%	0.00%	0.92%	0.90%	0.32%	0.00%	0.00%	0.46%	0.00%	0.00%	3.19%	0.65%	1.30%	2.03%	0.99%	1.89%	0.52%	1.29%	2.65%	0.33%	0.00%	1.44%	0.00%	1.24%	2.99%	1.97%	1.59%	0.63%	1.31%	0.00%	4.17%	2.57%	2.63%	0.91%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	6717	112	104	137	281	118	95	64	188	432	194	182	48	116	122	27	38	285	144	108	22	120	192	79	30	46	508	82	70	104	444	207	182	65	202	65	231	85	136	92	72	82	197	149	54	27	137	51	191									
		46.68%	30.52%	32.10%	54.15%	42.26%	32.24%	35.06%	38.79%	41.87%	49.43%	36.40%	60.67%	48.98%	44.11%	43.88%	61.36%	74.51%	43.71%	42.99%	34.39%	42.31%	73.17%	44.44%	54.11%	48.39%	48.94%	55.40%	35.65%	47.30%	34.21%	52.54%	54.05%	46.79%	57.52%	67.56%	76.47%	55.53%	55.92%	33.75%	34.46%	47.37%	65.08%	62.15%	39.01%	71.05%	56.25%	50.37%	67.11%	43.61%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	77	2	3	0	3	5	1	2	1	4	3	0	0	0	1	2	0	3	4	1	0	0	1	0	0	0	3	1	0	2	2	2	3	0	1	1	3	1	3	3	1	0	0	11	1	0	0	0	3									
