Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																							
Дата голосования: 07.12.2003 0:00:00																																																							
																																																							
Наименование Избирательной комиссии:    Чайковская городская																																																							
																																																							
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																							
																																																							
		Сумма	УИК №4001	УИК №4002	УИК №4003	УИК №4004	УИК №4005	УИК №4006	УИК №4007	УИК №4008	УИК №4009	УИК №4010	УИК №4011	УИК №4012	УИК №4013	УИК №4014	УИК №4015	УИК №4016	УИК №4017	УИК №4018	УИК №4019	УИК №4020	УИК №4021	УИК №4022	УИК №4023	УИК №4024	УИК №4025	УИК №4026	УИК №4027	УИК №4028	УИК №4029	УИК №4030	УИК №4031	УИК №4032	УИК №4033	УИК №4034	УИК №4035	УИК №4036	УИК №4037	УИК №4038	УИК №4039	УИК №4040	УИК №4041	УИК №4042	УИК №4043	УИК №4044	УИК №4045	УИК №4046	УИК №4047	УИК №4048					
1	"Число избирателей, внесенных в списки"	81696	2768	2366	2991	2670	2749	2787	2835	2342	2340	2532	2070	1765	2675	2610	2359	2723	2174	1674	2144	2189	2299	2075	2504	782	334	676	511	2765	1979	2113	2879	328	890	688	557	2752	797	345	1611	1620	360	311	721	1089	411	810	428	298					
2	"Число бюллетеней, полученных участковыми комиссиями"	80900	2800	2450	2800	2700	2700	2600	2800	2550	2360	2600	2000	1800	2650	2700	2400	2750	2100	1550	2150	2050	2250	2050	2650	650	300	650	600	2700	1950	2150	2650	300	900	700	620	2300	830	350	1550	1600	350	280	800	1100	370	800	460	480					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	44	3	1	0	8	41	0	20					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	48813	1506	1424	1523	1634	1559	1841	1718	1475	1561	1498	1297	1066	1634	1510	1486	1800	1254	998	1370	1500	1454	1304	1253	358	145	334	376	1529	1224	1275	1473	222	580	376	329	1993	474	223	892	846	181	111	476	550	155	508	281	237					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2301	52	37	62	15	24	29	12	21	57	24	51	27	64	30	20	23	35	9	33	8	8	9	89	167	27	104	135	30	11	55	47	22	64	66	40	16	45	16	79	57	4	97	101	52	176	86	24	41					
6	Число погашенных бюллетеней	29606	1242	989	1215	1051	1117	730	1070	1054	742	1078	652	707	952	1160	894	927	811	543	747	542	788	737	1308	125	80	212	89	1141	715	820	1130	56	256	258	251	276	311	111	579	697	121	69	222	498	31	165	155	182					
7	Число бюллетеней в переносных ящиках для голосования	2480	52	37	62	15	24	29	12	21	57	24	51	27	64	30	20	23	35	9	33	8	8	9	89	167	75	104	135	30	11	55	47	22	64	66	40	31	45	16	79	57	48	100	101	52	184	127	24	61					
8	Число бюллетеней в стационарных ящиках для голосования	48788	1506	1429	1523	1634	1559	1841	1716	1475	1561	1498	1297	1065	1634	1510	1486	1777	1254	998	1370	1500	1454	1304	1253	358	145	333	376	1529	1224	1275	1473	222	580	375	329	1991	474	223	892	846	181	111	476	550	155	508	281	237					
9	Число недействительных бюллетеней	811	18	11	30	0	20	16	31	26	6	24	25	19	38	30	12	16	14	10	32	5	6	35	90	4	13	6	14	12	19	24	16	24	10	15	13	19	3	12	13	23	18	0	14	11	5	0	6	3					
10	Число действительных бюллетеней	50457	1540	1455	1555	1649	1563	1854	1697	1470	1612	1498	1323	1073	1660	1510	1494	1784	1275	997	1371	1503	1456	1278	1252	521	207	431	497	1547	1216	1306	1504	220	634	426	356	2003	516	227	958	880	211	211	563	591	334	635	299	295					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	1043	35	26	28	24	35	22	42	20	106	24	28	26	34	24	18	35	20	24	30	30	20	40	34	16	4	16	0	30	28	27	26	4	14	17	6	41	7	5	13	15	4	4	7	10	5	8	3	8					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	795	26	25	24	23	34	22	34	20	42	24	21	16	28	19	14	24	15	23	21	22	20	29	29	11	1	10	0	28	24	22	25	1	9	14	0	32	4	1	10	11	2	0	5	9	4	8	2	7					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	476	14	10	9	9	6	7	10	18	5	14	7	1	17	8	6	19	6	9	8	8	6	6	6	8	10	6	102	6	6	3	5	7	7	10	4	15	14	4	11	5	4	3	4	6	11	6	6	4					
14	Число погашенных открепительных удостоверений	248	9	1	4	1	1	0	8	0	64	0	7	10	6	5	4	11	5	1	9	8	0	11	5	5	3	9	0	2	4	5	1	3	5	3	3	9	3	4	3	4	2	4	2	1	1	0	1	1					
15	Число открепительных удостоверений выданных ТИК	56	1	3	2	0	5	0	2	0	1	5	1	4	1	0	1	1	0	1	0	0	0	3	5	0	1	0	0	4	0	3	3	0	0	0	3	0	1	0	1	3	0	1	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
