Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																					
Дата голосования: 18.09.2016																																																					
																																																					
Наименование Избирательной комиссии:    Жирновская																																																					
																																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																																					
																																																					
		Сумма	УИК №1601	УИК №1602	УИК №1603	УИК №1604	УИК №1605	УИК №1606	УИК №1607	УИК №1608	УИК №1609	УИК №1610	УИК №1611	УИК №1612	УИК №1613	УИК №1614	УИК №1615	УИК №1616	УИК №1617	УИК №1618	УИК №1619	УИК №1620	УИК №1621	УИК №1622	УИК №1623	УИК №1624	УИК №1625	УИК №1626	УИК №1627	УИК №1628	УИК №1629	УИК №1630	УИК №1631	УИК №1632	УИК №1633	УИК №1634	УИК №1635	УИК №1636	УИК №1637	УИК №1638	УИК №1639	УИК №1640	УИК №1641	УИК №1642									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	33217	1429	733	2085	1992	2051	1949	596	1643	391	1769	1205	1835	860	129	1141	1372	1590	2121	395	193	71	328	331	504	164	541	100	406	1822	191	47	842	346	63	142	76	195	174	905	240	167	83									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	33452	1460	696	2083	1989	2072	1976	594	1657	388	1782	1219	1867	893	127	1153	1385	1574	2137	393	211	70	332	336	515	163	548	103	414	1812	193	47	851	350	63	139	75	198	176	916	246	165	84									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	14218	632	290	916	891	901	848	279	763	274	697	569	561	361	75	466	505	645	839	132	110	36	121	131	212	75	254	50	201	688	108	18	492	116	41	58	41	94	90	379	101	111	47									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2165	36	84	103	45	38	78	33	44	54	95	47	122	137	10	106	181	50	186	17	9	9	37	45	44	7	51	4	62	77	20	2	64	105	0	15	6	8	17	57	21	24	15									
6	Число погашенных избирательных бюллетеней	17069	792	322	1064	1053	1133	1050	282	850	60	990	603	1184	395	42	581	699	879	1112	244	92	25	174	160	259	81	243	49	151	1047	65	27	295	129	22	66	28	96	69	480	124	30	22									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2165	36	84	103	45	38	78	33	44	54	95	47	122	137	10	106	181	50	186	17	9	9	37	45	44	7	51	4	62	77	20	2	64	105	0	15	6	8	17	57	21	24	15									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	14218	632	290	916	891	901	848	279	763	274	697	569	561	361	75	466	505	645	839	132	110	36	121	131	212	75	254	50	201	688	108	18	492	116	41	58	41	94	90	379	101	111	47									
9	Число недействительных избирательных бюллетеней	304	8	9	13	17	16	15	2	8	58	15	7	13	7	0	6	10	21	13	2	1	1	2	0	3	0	2	0	1	16	3	1	12	0	0	1	2	3	1	13	2	0	0									
10	Число действительных избирательных бюллетеней	16079	660	365	1006	919	923	911	310	799	270	777	609	670	491	85	566	676	674	1012	147	118	44	156	176	253	82	303	54	262	749	125	19	544	221	41	72	45	99	106	423	120	135	62									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	475	22	13	28	30	44	29	10	20	1	21	15	23	25	2	14	17	19	26	5	2	1	4	4	11	2	10	1	9	22	2	1	10	4	1	2	1	2	2	14	3	2	1									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	211	17	10	14	13	13	16	1	12	0	12	6	7	25	0	2	4	16	11	0	1	0	2	1	0	0	3	0	9	6	0	0	3	2	0	0	0	0	0	4	0	0	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	129	5	3	24	11	10	12	2	4	3	2	3	3	3	4	8	1	7	1	0	0	0	0	1	1	1	3	0	2	0	1	0	1	1	1	1	3	3	0	2	0	1	1									
14	Число погашенных неиспользованных открепительных удостоверений	264	5	3	14	17	31	13	9	8	1	9	9	16	0	2	12	13	3	15	5	1	1	2	3	11	2	7	1	0	16	2	1	7	2	1	2	1	2	2	10	3	2	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	54	3	1	3	7	2	8	2	5	0	4	0	3	4	1	2	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	1	1	1	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																					
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	162	14	5	15	12	16	17	1	8	4	4	1	5	2	6	1	8	2	7	3	0	0	2	0	3	2	3	0	0	12	0	0	1	4	1	0	1	0	0	2	0	0	0									
