Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																								
Дата голосования: 18.09.2016																																								
																																								
Наименование Избирательной комиссии:    Татищевская																																								
																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																								
																																								
		Сумма	УИК №1644	УИК №1645	УИК №1646	УИК №1647	УИК №1648	УИК №1649	УИК №1650	УИК №1651	УИК №1652	УИК №1653	УИК №1654	УИК №1655	УИК №1656	УИК №1657	УИК №1658	УИК №1659	УИК №1660	УИК №1661	УИК №1662	УИК №1663	УИК №1664	УИК №1665	УИК №1666	УИК №1667	УИК №1668	УИК №1669	УИК №1670	УИК №1671	УИК №1672									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	22775	531	249	2031	319	895	196	268	369	209	315	806	203	678	1308	516	1111	247	1080	1614	178	618	741	2963	1084	2026	634	526	710	350									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	22850	530	250	2020	320	992	195	265	365	210	315	800	195	665	1398	510	1100	240	1050	1600	175	620	730	2880	1155	2075	630	530	695	340									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	20097	489	210	1827	279	811	175	233	330	178	248	591	165	544	1112	464	947	225	988	1505	118	509	676	2655	1003	1861	571	415	662	306									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1343	24	25	94	24	40	15	20	30	21	50	162	30	82	117	37	58	13	16	3	50	72	34	110	22	32	35	80	17	30									
6	Число погашенных избирательных бюллетеней	1410	17	15	99	17	141	5	12	5	11	17	47	0	39	169	9	95	2	46	92	7	39	20	115	130	182	24	35	16	4									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1343	24	25	94	24	40	15	20	30	21	50	162	30	82	117	37	58	13	16	3	50	72	34	110	22	32	35	80	17	30									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	20097	489	210	1827	279	811	175	233	330	178	248	591	165	544	1112	464	947	225	988	1505	118	509	676	2655	1003	1861	571	415	662	306									
9	Число недействительных избирательных бюллетеней	54	7	2	0	0	4	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	2	9	15	0	0	0	0									
10	Число действительных избирательных бюллетеней	21386	506	233	1921	303	847	190	253	360	199	298	753	195	626	1214	501	1005	238	1004	1508	168	581	710	2763	1016	1878	606	495	679	336									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	315	7	10	20	10	10	5	5	5	5	5	10	5	8	20	5	10	5	20	20	5	5	10	30	15	35	10	10	5	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	207	7	10	18	2	7	0	1	1	5	5	8	0	4	20	5	10	0	2	13	4	5	4	26	13	22	4	6	2	3									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	117	5	4	15	1	2	1	1	3	3	0	6	5	9	5	4	2	2	5	3	0	5	5	10	5	3	4	2	5	2									
14	Число погашенных неиспользованных открепительных удостоверений	108	0	0	2	8	3	5	4	4	0	0	2	5	4	0	0	0	5	18	7	1	0	6	4	2	13	6	4	3	2									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	9	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	1	0	2	0	0	0	1	1	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																								
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	28	0	1	0	0	1	0	0	0	0	0	0	0	0	3	0	5	0	1	0	0	1	3	8	0	5	0	0	0	0									
		0.13%	0.00%	0.43%	0.00%	0.00%	0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.24%	0.00%	0.50%	0.00%	0.10%	0.00%	0.00%	0.17%	0.42%	0.29%	0.00%	0.26%	0.00%	0.00%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	150	0	3	9	0	4	0	0	0	0	5	3	0	0	6	0	5	0	11	0	2	12	0	44	5	20	2	1	16	2									
