Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																		
Дата голосования: 18.09.2016																																																		
																																																		
Наименование Избирательной комиссии:    Елабужская городская																																																		
																																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																																		
																																																		
		Сумма	УИК №1371	УИК №1372	УИК №1373	УИК №1374	УИК №1375	УИК №1376	УИК №1377	УИК №1378	УИК №1379	УИК №1380	УИК №1381	УИК №1382	УИК №1383	УИК №1384	УИК №1385	УИК №1386	УИК №1387	УИК №1388	УИК №1389	УИК №1390	УИК №1391	УИК №1392	УИК №1393	УИК №1394	УИК №1395	УИК №1396	УИК №1397	УИК №1398	УИК №1399	УИК №1400	УИК №1401	УИК №1402	УИК №1403	УИК №1404	УИК №1405	УИК №1406	УИК №1407	УИК №1408	УИК №1409									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	52037	105	1166	524	1563	1131	1274	1072	1250	1287	1052	1838	95	817	1502	1009	1456	906	1066	1546	1965	1236	231	2188	2296	1403	2508	2214	808	2586	1412	1003	1506	1205	2578	2860	2667	183	219	310									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	51951	105	1150	500	1550	1100	1250	1050	1250	1300	1050	1850	95	800	1500	1000	1450	910	1050	1550	1950	1250	230	2200	2300	1400	2550	2200	800	2600	1400	1000	1500	1200	2600	2900	2650	182	219	310									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	43247	103	1045	412	1303	948	1013	856	1013	1067	851	1499	95	696	1197	799	1241	743	942	1240	1651	1023	182	1774	1850	1244	2033	1877	705	2074	1132	850	1297	1024	2112	2450	2269	148	204	285									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	799	0	57	44	26	12	57	35	25	49	57	58	0	27	20	17	27	9	10	26	27	28	29	21	16	4	25	5	7	11	11	13	1	0	10	10	1	7	15	2									
6	Число погашенных избирательных бюллетеней	7905	2	48	44	221	140	180	159	212	184	142	293	0	77	283	184	182	158	98	284	272	199	19	405	434	152	492	318	88	515	257	137	202	176	478	440	380	27	0	23									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	799	0	57	44	26	12	57	35	25	49	57	58	0	27	20	17	27	9	10	26	27	28	29	21	16	4	25	5	7	11	11	13	1	0	10	10	1	7	15	2									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	43243	103	1045	412	1303	948	1013	856	1013	1067	851	1499	95	696	1197	799	1241	743	942	1240	1651	1023	182	1774	1850	1244	2033	1877	705	2070	1132	850	1297	1024	2112	2450	2269	148	204	285									
9	Число недействительных избирательных бюллетеней	84	0	5	0	0	1	3	0	0	11	0	3	0	0	4	0	0	0	0	5	9	0	0	9	6	0	0	0	0	5	0	5	5	0	6	1	3	1	2	0									
10	Число действительных избирательных бюллетеней	43958	103	1097	456	1329	959	1067	891	1038	1105	908	1554	95	723	1213	816	1268	752	952	1261	1669	1051	211	1786	1860	1248	2058	1882	712	2076	1143	858	1293	1024	2116	2459	2267	154	217	287									
