																																																																																																																																																																																																																																																																																								
																																																																																																																																																																																																																																																																																								
																																																																																																																																																																																																																																																																																								
																																																																																																																																																																																																																																																																																								
																																																																																																																																																																																																																																																																																								
																																																																																																																																																																																																																																																																																								
Сводная таблица результатов выборов																																																																																																																																																																																																																																																																																								
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №475	УИК №476	УИК №478	УИК №488	УИК №489	УИК №491	УИК №492	УИК №493	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №587	УИК №589	УИК №590	УИК №591	УИК №592	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №605	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №621	УИК №624	УИК №625	УИК №629	УИК №632	УИК №634	УИК №635	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740
1	"Число избирателей, внесенных в список избирателей"	263815	1752	1653	1445	2279	1975	1756	1984	1605	1692	1677	1497	1293	1848	1963	1960	1869	2262	2097	2033	2077	1301	1339	1265	1865	2462	1851	1774	1938	2125	1535	2244	2060	2361	1382	671	1672	1930	1691	1309	1533	1625	1538	83	195	77	1278	1374	1440	1282	1584	1549	1098	1318	1117	1792	2059	2562	2632	2304	1008	1765	2314	2262	2505	2156	1798	1904	1617	1447	1455	1094	1526	1789	2150	1852	1737	2082	1300	1575	1633	2172	1391	1785	1378	2051	1710	2312	1835	1764	1760	234	443	78	418	47	128	162	470	1045	537	770	2383	1669	2040	1947	1822	1541	2199	1951	2185	1722	2371	2061	1604	1887	1804	1985	2161	1930	2120	1797	2161	2165	2221	2120	2123	2324	2046	2024	2040	1950	1755	2412	1365	2100	2020	2365	2046	2563	1216	1901	1953	1956	2431	1922	2259	2325	2275	2426	2148	705	249	81	109	109	289	273	347	227	41	46	59	72	70	59	71	74	10	19	19	19	19	24	22	29	67	28	71	63	34	19	20	16	16	22	19	21	20	19	19	20	9	20	25	16	19	19	17	16	26	26	19	28	20	21	39	17	33	26	22	22	45	39	19	20	20	21	28	29	19	34	71	34	34	32	29	19	18	9	16	52	18	11	27	30	118	10	17	37	11	22	12	19	44	36	19	10	109	33	23	37	29	42	36	31	26	27	79	54	10	57	30	30	30	36	27	24	50	68	87	26	74	99	74	58	58	193	91
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	241070	1600	1500	1300	2100	1800	1537	1700	1500	1600	1600	1400	1200	1700	1800	1800	1700	2100	1900	1700	1900	1200	1200	1200	1700	2300	1700	1600	918	1015	1400	2100	1900	2200	1300	671	1500	1800	1600	1200	1300	1500	1300	100	205	90	1200	1300	1200	1100	1300	1200	800	1200	1117	1300	1900	2300	2400	2100	1008	1600	2200	2100	2300	2000	1700	2100	1500	1280	1300	1000	1400	942	2000	1700	1400	1900	1293	1400	1500	2000	1800	1400	1200	1900	1600	2000	1700	1600	1600	250	750	100	535	80	180	130	470	1000	1200	700	2200	1500	1900	1800	1700	1400	2000	1800	2015	1600	2200	1900	1500	1700	1700	1600	2000	1700	2000	1700	1900	2000	2000	2000	2000	2100	1900	1800	1900	1800	1600	2200	1450	1900	1900	2100	1800	2400	1100	1800	1800	1700	2200	1700	2100	2100	2100	2300	2000	600	430	100	108	111	291	283	347	232	44	48	59	72	70	60	71	74	10	19	19	19	19	24	22	29	67	28	71	68	34	19	20	18	16	22	19	21	20	19	19	20	11	20	25	16	19	19	19	16	26	26	19	28	20	21	39	17	33	27	22	22	45	39	19	20	20	21	28	29	19	34	71	35	34	32	29	19	18	9	16	52	54	11	27	30	118	10	17	40	11	22	12	19	44	36	19	10	109	33	23	37	29	42	36	31	26	27	79	54	10	57	31	30	30	36	27	28	61	70	89	28	71	101	76	60	60	194	93
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	129428	806	717	683	1112	871	877	888	778	832	816	611	587	917	797	829	821	898	1093	940	844	534	634	631	739	1091	1033	832	900	992	673	1024	918	947	452	638	767	749	638	554	663	795	719	79	195	77	571	715	745	611	867	872	567	722	1099	770	910	1057	1240	1033	1003	882	1111	1161	1147	1014	865	904	828	654	685	542	656	928	1059	921	887	1077	710	773	815	1002	651	885	748	1021	702	1189	667	634	660	157	443	60	340	46	74	102	470	353	328	345	809	677	935	805	818	600	1132	923	1049	818	1166	1015	748	893	970	996	1168	932	1013	874	1060	1005	1078	1052	1086	1151	1064	932	1016	1013	835	1038	1340	973	909	1163	895	1310	566	831	940	904	1176	939	1171	1144	1154	1249	1033	308	172	81	108	92	282	232	252	206	41	46	57	72	70	58	71	74	10	19	19	19	19	24	22	29	67	28	71	63	34	18	13	16	16	22	16	13	14	17	19	20	9	14	19	16	17	18	17	16	24	22	19	25	17	19	39	17	33	26	22	22	43	39	19	19	20	21	28	29	19	34	70	31	34	32	28	19	18	9	16	52	18	11	27	30	88	10	17	37	11	22	12	19	44	36	18	10	105	33	23	37	27	42	36	31	26	27	78	54	10	26	30	30	30	36	27	24	50	68	87	25	70	99	49	58	57	180	85
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	3494	9	13	20	15	7	11	54	33	10	14	17	18	19	16	37	16	69	12	13	8	15	22	17	20	37	14	9	18	23	28	25	10	23	14	33	12	10	28	24	138	18	76	0	0	0	5	13	18	93	62	36	27	10	18	12	11	51	10	62	5	9	6	16	13	7	12	8	14	48	25	7	11	14	13	29	16	17	18	50	14	36	14	43	22	20	36	12	15	30	25	0	0	14	26	0	52	28	0	5	0	2	9	22	40	8	5	28	13	26	35	15	22	25	28	38	23	49	12	45	13	16	61	21	40	16	14	22	11	18	14	15	47	18	0	41	10	51	15	19	14	12	10	11	24	58	11	39	15	13	11	0	64	0	0	16	0	27	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	Число погашенных избирательных бюллетеней	108042	785	770	597	973	922	649	758	689	758	770	772	595	764	987	934	863	1133	795	747	1048	651	544	552	941	1170	653	759	0	0	699	1051	972	1230	834	0	721	1041	934	622	499	687	505	21	10	13	624	572	437	396	371	292	206	468	0	518	979	1192	1150	1005	0	709	1083	923	1140	979	823	1177	658	536	590	451	733	0	928	750	497	806	565	577	671	962	1135	472	430	859	862	799	1018	953	915	93	307	26	169	34	54	0	0	642	872	353	1382	801	925	987	877	772	855	851	875	767	1012	860	724	769	707	555	820	723	974	810	779	974	882	932	900	927	825	850	870	772	718	1144	110	886	981	886	890	1059	520	957	850	785	1000	703	918	917	931	1038	956	292	194	19	0	3	9	24	16	26	3	2	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	7	2	0	0	3	8	6	2	0	0	2	6	6	0	2	1	2	0	2	4	0	3	3	2	0	0	0	1	0	0	2	0	0	1	0	0	0	0	0	0	1	4	0	0	1	0	0	0	0	0	36	0	0	0	30	0	0	3	0	0	0	0	0	0	1	0	4	0	0	0	2	0	0	0	0	0	1	0	0	31	1	0	0	0	0	4	11	2	2	3	1	2	27	2	3	14	8
7	Число избирательных бюллетеней в переносных ящиках для голосования	3575	9	13	20	15	7	7	54	33	10	14	17	18	18	16	37	16	69	12	13	8	15	22	17	20	37	14	9	18	23	28	25	10	23	14	33	12	10	28	24	138	18	76	0	0	0	5	13	18	93	62	36	27	10	18	12	11	51	10	62	5	9	6	16	13	7	12	8	13	90	25	7	11	14	13	29	16	17	18	50	14	36	14	43	22	20	36	8	15	13	25	0	0	14	26	0	52	28	0	5	0	2	9	22	40	8	5	27	13	26	91	15	22	25	28	38	23	49	12	45	13	16	61	21	40	16	14	22	11	18	14	15	47	18	0	41	10	50	15	31	14	12	10	11	24	58	11	39	15	13	11	0	64	0	0	16	0	27	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	Число избирательных бюллетеней в стационарных ящиках для голосования	128826	805	717	683	1112	871	866	888	777	796	792	606	586	917	797	827	820	898	1092	934	831	534	633	622	739	1091	1033	832	860	939	671	1021	906	947	452	616	764	746	638	554	662	795	718	79	195	77	570	715	745	611	866	872	566	721	1085	770	910	1055	1217	1030	981	875	1073	1161	1128	1010	865	880	823	654	685	542	655	920	1058	921	887	1076	701	770	805	1001	639	885	745	1021	702	1148	667	615	660	157	443	60	340	46	74	102	469	353	328	345	807	677	925	804	813	594	1132	923	1049	818	1161	1014	747	892	970	994	1167	932	1013	874	1060	1004	1076	1052	1085	1150	1061	931	1016	1013	835	1038	1340	973	909	1163	891	1309	565	831	940	893	1176	936	1171	1144	1151	1249	1033	306	172	81	108	92	282	232	251	206	41	46	57	72	70	58	71	74	10	19	19	19	19	24	21	29	67	28	71	63	34	18	13	16	16	22	16	13	14	17	19	20	9	14	19	16	17	18	17	16	24	22	19	25	17	19	39	17	33	26	22	22	43	39	19	19	20	21	28	25	19	34	70	31	34	32	28	19	18	9	16	52	18	11	27	30	88	10	17	37	11	22	12	19	44	36	18	10	105	33	23	37	27	42	36	31	26	27	78	54	10	26	30	30	30	36	27	24	50	68	87	25	70	99	49	58	57	180	85
9	Число недействительных избирательных бюллетеней	2762	17	14	13	20	19	21	9	26	26	22	8	11	18	10	21	14	18	15	11	18	8	8	10	17	22	15	8	23	23	18	44	15	21	13	11	15	12	14	10	22	17	14	8	2	1	10	17	8	12	11	16	9	14	15	14	19	21	26	18	28	25	107	24	17	25	19	24	10	16	12	11	17	13	30	20	22	12	20	11	4	25	27	11	9	26	14	23	10	6	12	18	4	1	11	1	4	1	10	4	4	5	13	15	19	8	10	11	20	22	24	21	18	23	16	28	27	15	30	16	32	28	29	19	29	16	18	15	21	20	25	22	23	14	13	26	14	24	19	37	10	15	22	26	25	21	22	36	19	19	22	1	8	1	1	7	9	2	9	3	1	0	3	0	3	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	1	0	0	2	0	0	0	0	0	0	0	0	2	0	0	1	1	0	0	0	3	4	0	0	0	1	4	2	0	0	0	0	1	1	1	0	4	0	0	1	5	0	1	0	0	0	4	0	0	0	1	2	2	1	1	0	1	0	0	0	0	0	0	7	1	0	0	2	0	1	2	0	0	1	0	0	1	1	0	0	0	0	2	0	0	3	0	0	0	3	2	3	5	4
10	Число действительных избирательных бюллетеней	129639	797	716	690	1107	859	852	933	784	780	784	615	593	917	803	843	822	949	1089	936	821	541	647	629	742	1106	1032	833	855	939	681	1002	901	949	453	638	761	744	652	568	778	796	780	71	193	76	565	711	755	692	917	892	584	717	1088	768	902	1085	1201	1074	958	859	972	1153	1124	992	858	864	826	728	698	538	649	921	1041	930	881	1081	699	809	815	1012	626	917	758	1015	724	1133	672	622	673	139	439	73	355	45	122	129	459	354	324	342	803	684	946	804	808	610	1125	927	1116	812	1165	1016	759	902	966	1028	1149	961	994	862	1092	1006	1087	1052	1081	1157	1051	929	1005	1006	859	1042	1327	988	905	1189	887	1303	569	828	928	878	1175	973	1160	1147	1147	1243	1022	305	228	80	107	101	273	257	321	203	40	46	54	72	67	57	71	72	10	19	19	19	19	24	21	29	67	28	71	63	34	16	13	14	16	21	16	13	12	17	19	20	9	14	19	16	17	16	17	16	23	21	19	25	17	16	35	17	33	26	21	18	41	39	19	19	20	20	27	24	19	30	70	31	33	27	28	18	18	9	16	48	18	11	27	29	86	8	16	36	11	21	12	19	44	36	18	10	98	32	23	37	25	42	35	29	26	27	77	54	10	25	29	30	30	36	27	22	50	68	84	25	70	99	46	56	54	175	81
