Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																							
Дата голосования: 02.12.2007																																							
																																							
Наименование Избирательной комиссии:    Корсаковская																																							
																																							
Сводная таблица результатов выборов																																							
																																							
		Сумма	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №741	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747					
1	"Число избирателей, внесенных в списки избирателей"	33014	550	300	1295	268	99	588	457	855	1032	374	152	641	1647	614	1204	1188	2669	1829	2373	1250	2430	2102	2081	2266	2236	2429	21	12	32	8	8	4					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	30107	494	289	1263	266	84	581	415	713	945	276	133	601	1527	364	1168	1090	2406	1747	2253	876	2248	1967	1807	2113	2108	2288	21	12	32	8	8	4					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	17006	348	128	693	206	73	360	274	613	663	206	85	305	820	326	620	606	1283	840	1286	756	1227	1073	983	943	1044	1160	21	12	32	8	8	4					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	787	26	37	27	38	9	47	12	17	42	43	20	8	14	4	24	40	137	26	26	12	34	27	10	43	18	46	0	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	12314	120	124	543	22	2	174	129	83	240	27	28	288	693	34	524	444	986	881	941	108	987	867	814	1127	1046	1082	0	0	0	0	0	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	787	26	37	27	38	9	47	12	17	42	43	20	8	14	4	24	40	137	26	26	12	34	27	10	43	18	46	0	0	0	0	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	16998	348	128	693	206	73	360	274	613	662	206	85	305	820	326	620	606	1283	840	1281	754	1227	1073	983	943	1044	1160	21	12	32	8	8	4					
9	Число недействительных избирательных бюллетеней	200	5	0	8	1	1	2	0	6	13	1	1	4	9	4	9	6	16	7	24	4	21	15	9	9	11	14	0	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	17585	369	165	712	243	81	405	286	624	691	248	104	309	825	326	635	640	1404	859	1283	762	1240	1085	984	977	1051	1192	21	12	32	8	8	4					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	194	5	4	5	8	5	6	3	7	13	3	3	4	7	4	10	10	10	5	14	8	10	10	10	10	10	10	0	0	0	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	104	5	2	5	6	0	4	0	4	11	2	0	1	3	0	3	3	5	2	11	5	8	4	5	6	3	6	0	0	0	0	0	0					
