Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва												
Дата голосования: 04.12.2011												
												
Наименование Избирательной комиссии:    Анадырская городская												
												
Сводная таблица результатов выборов												
												
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5					
1	"Число избирателей, внесенных в список избирателей"	9342	1989	2078	2348	2467	460					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	7550	1600	1800	1800	1900	450					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	6105	1312	1318	1467	1589	419					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	307	125	88	20	61	13					
6	Число погашенных избирательных бюллетеней	1138	163	394	313	250	18					
7	Число избирательных бюллетеней в переносных ящиках для голосования	307	125	88	20	61	13					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	6097	1311	1317	1463	1587	419					
9	Число недействительных избирательных бюллетеней	239	39	20	128	36	16					
10	Число действительных избирательных бюллетеней	6165	1397	1385	1355	1612	416					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	190	30	45	45	50	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	49	11	14	9	12	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	81	17	22	26	13	3					
14	Число погашенных неиспользованных открепительных удостоверений	141	19	31	36	38	17					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	72	11	17	9	12	23					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0					
												
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	471	168	67	59	135	42					
		7.35%	11.70%	4.77%	3.98%	8.19%	9.72%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1033	202	243	210	309	69					
		16.13%	14.07%	17.30%	14.16%	18.75%	15.97%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	69	17	14	15	18	5					
		1.08%	1.18%	0.99%	1.01%	1.09%	1.16%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	792	197	198	157	210	30					
		12.37%	13.72%	14.09%	10.59%	12.74%	6.94%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	168	66	34	26	29	13					
		2.62%	4.60%	2.42%	1.75%	1.76%	3.01%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3568	724	811	880	901	252					
		55.72%	50.42%	57.72%	59.34%	54.67%	58.33%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	64	23	18	8	10	5					
		0.99%	1.60%	1.28%	0.54%	0.61%	1.16%					
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
