Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва												
Дата голосования: 02.12.2007												
												
Наименование Избирательной комиссии:    Анадырская городская												
												
Сводная таблица результатов выборов												
												
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5					
1	"Число избирателей, внесенных в списки избирателей"	10385	2187	2151	2963	2638	446					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	8358	1800	1730	2340	2058	430					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	39	0	0	0	39	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	7815	1564	1616	2273	1937	425					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	390	234	75	33	45	3					
6	Число погашенных избирательных бюллетеней	114	2	39	34	37	2					
7	Число избирательных бюллетеней в переносных ящиках для голосования	429	234	75	33	84	3					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	7794	1563	1612	2260	1934	425					
9	Число недействительных избирательных бюллетеней	551	127	153	134	124	13					
10	Число действительных избирательных бюллетеней	7672	1670	1534	2159	1894	415					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	230	50	50	50	50	30					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	74	21	13	17	20	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	78	18	17	27	12	4					
14	Число погашенных неиспользованных открепительных удостоверений	156	29	37	33	30	27					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	23	8	3	1	9	2					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0					
												
18	1.Политическая партия «Аграрная партия России»	98	22	24	22	24	6					
		1.19%	1.22%	1.42%	0.96%	1.19%	1.40%					
19	2.Всероссийская политическая партия «Гражданская Сила»	107	13	35	25	27	7					
		1.30%	0.72%	2.07%	1.09%	1.34%	1.64%					
20	3.Политическая партия «Демократическая партия России»	7	2	2	2	1	0					
		0.09%	0.11%	0.12%	0.09%	0.05%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	253	50	49	71	68	15					
		3.08%	2.78%	2.90%	3.10%	3.37%	3.50%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	35	10	6	8	11	0					
		0.43%	0.56%	0.36%	0.35%	0.55%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	20	5	2	6	7	0					
		0.24%	0.28%	0.12%	0.26%	0.35%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	730	160	146	215	180	29					
		8.88%	8.90%	8.65%	9.38%	8.92%	6.78%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	199	39	25	64	60	11					
		2.42%	2.17%	1.48%	2.79%	2.97%	2.57%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	44	15	7	10	11	1					
		0.54%	0.83%	0.41%	0.44%	0.55%	0.23%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	6072	1336	1208	1713	1475	340					
		73.84%	74.35%	71.61%	74.71%	73.09%	79.44%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	107	18	30	23	30	6					
		1.30%	1.00%	1.78%	1.00%	1.49%	1.40%					
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
