Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																						
Дата голосования: 18.09.2016																						
																						
Наименование Избирательной комиссии:    Смирныховская																						
																						
Сводная таблица итогов голосования по федеральному избирательному округу																						
																						
		Сумма	УИК №163	УИК №164	УИК №165	УИК №166	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	9419	999	395	880	959	389	660	2127	1820	501	600	89									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	9050	1000	350	850	850	350	650	2000	1800	550	550	100									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	3397	330	152	251	409	102	195	681	728	189	274	86									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	575	100	50	107	22	13	25	54	42	65	94	3									
6	Число погашенных избирательных бюллетеней	5078	570	148	492	419	235	430	1265	1030	296	182	11									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	575	100	50	107	22	13	25	54	42	65	94	3									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	3397	330	152	251	409	102	195	681	728	189	274	86									
9	Число недействительных избирательных бюллетеней	128	11	5	14	17	4	3	27	27	8	11	1									
10	Число действительных избирательных бюллетеней	3844	419	197	344	414	111	217	708	743	246	357	88									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	173	13	10	20	20	10	10	30	30	15	15	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	90	13	10	4	10	2	1	8	12	15	15	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	29	0	5	2	6	0	1	4	6	3	2	0									
14	Число погашенных неиспользованных открепительных удостоверений	83	0	0	16	10	8	9	22	18	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	15	0	0	0	2	0	2	10	1	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0									
																						
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	66	17	9	5	6	1	2	5	10	7	2	2									
		1.66%	3.95%	4.46%	1.40%	1.39%	0.87%	0.91%	0.68%	1.30%	2.76%	0.54%	2.25%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	150	27	6	8	17	3	9	30	18	16	14	2									
		3.78%	6.28%	2.97%	2.23%	3.94%	2.61%	4.09%	4.08%	2.34%	6.30%	3.80%	2.25%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	150	14	9	12	11	3	8	34	31	8	19	1									
		3.78%	3.26%	4.46%	3.35%	2.55%	2.61%	3.64%	4.63%	4.03%	3.15%	5.16%	1.12%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1770	184	98	152	206	44	91	317	310	110	214	44									
		44.56%	42.79%	48.51%	42.46%	47.80%	38.26%	41.36%	43.13%	40.26%	43.31%	58.15%	49.44%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	19	4	1	1	4	0	1	3	3	1	0	1									
		0.48%	0.93%	0.50%	0.28%	0.93%	0.00%	0.45%	0.41%	0.39%	0.39%	0.00%	1.12%									
24	"6. Политическая партия ""Гражданская Платформа"""	7	1	0	0	0	1	0	4	0	0	1	0									
		0.18%	0.23%	0.00%	0.00%	0.00%	0.87%	0.00%	0.54%	0.00%	0.00%	0.27%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	855	80	37	80	100	38	53	178	182	44	44	19									
		21.53%	18.60%	18.32%	22.35%	23.20%	33.04%	24.09%	24.22%	23.64%	17.32%	11.96%	21.35%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	13	2	0	1	0	0	0	0	6	1	0	3									
		0.33%	0.47%	0.00%	0.28%	0.00%	0.00%	0.00%	0.00%	0.78%	0.39%	0.00%	3.37%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	21	3	0	0	3	3	0	7	1	1	3	0									
		0.53%	0.70%	0.00%	0.00%	0.70%	2.61%	0.00%	0.95%	0.13%	0.39%	0.82%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	2	0	0	0	1	1	0	0	0	0	0	0									
		0.05%	0.00%	0.00%	0.00%	0.23%	0.87%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	40	2	1	5	4	0	0	3	15	7	1	2									
		1.01%	0.47%	0.50%	1.40%	0.93%	0.00%	0.00%	0.41%	1.95%	2.76%	0.27%	2.25%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	631	68	28	72	52	16	46	107	136	46	50	10									
		15.89%	15.81%	13.86%	20.11%	12.06%	13.91%	20.91%	14.56%	17.66%	18.11%	13.59%	11.24%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	17	1	1	1	2	0	1	4	6	1	0	0									
		0.43%	0.23%	0.50%	0.28%	0.46%	0.00%	0.45%	0.54%	0.78%	0.39%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	103	16	7	7	8	1	6	16	25	4	9	4									
		2.59%	3.72%	3.47%	1.96%	1.86%	0.87%	2.73%	2.18%	3.25%	1.57%	2.45%	4.49%									
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
