Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																									
Дата голосования: 18.09.2016																																																																									
																																																																									
Наименование Избирательной комиссии:    Салаватская городская																																																																									
																																																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																																																									
																																																																									
		Сумма	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	104817	1781	1805	999	1334	2154	1015	1294	1107	608	668	1063	936	1027	1017	1380	1499	1358	1589	1421	598	2314	1509	2099	2132	2325	1592	1719	2599	2022	1874	2390	2248	2502	2177	2327	2215	2003	2306	1755	1721	1890	1571	1721	1770	1148	1728	1765	2493	2412	2788	2045	2836	1042	1543	2310	2151	1231	571	1458	1322	2371	169									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	98450	1600	1600	800	1200	1950	1000	1150	1100	900	1700	1000	850	900	900	1250	1350	1200	1400	1300	600	2100	1350	1900	1900	2100	1400	1600	2350	1800	1700	2100	2000	2200	1900	2100	2000	1700	2100	1550	1500	1700	1400	1500	1600	1000	1500	1500	2400	2500	2500	1800	2500	2200	1350	2000	1950	2050	1150	1300	1100	2150	200									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	57614	634	517	306	974	1018	344	535	751	559	619	601	676	780	805	452	1119	515	560	414	181	1731	569	915	1430	1528	757	590	916	1525	569	861	1672	1776	957	1097	1050	1242	1693	721	1377	1300	527	1367	1080	566	540	1346	2058	2408	963	1552	1220	970	547	837	1108	1153	556	564	549	968	99									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1994	7	14	137	36	16	4	15	72	49	49	41	35	19	22	28	30	28	83	15	86	21	13	7	190	50	38	5	20	18	14	45	15	33	39	15	32	28	27	63	17	24	14	107	21	15	33	14	11	4	17	23	11	72	6	13	18	78	8	6	15	8	0									
6	Число погашенных избирательных бюллетеней	38834	957	1069	357	190	916	652	600	271	292	1032	358	139	101	73	770	201	657	757	871	333	348	768	978	280	522	605	1005	1414	257	1117	1194	313	391	904	988	918	430	380	766	106	376	859	26	499	419	927	140	331	88	1520	225	1269	1158	797	1150	824	819	586	730	536	1174	101									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1994	7	14	137	36	16	4	15	72	49	49	41	35	19	22	28	30	28	83	15	86	21	13	7	190	50	38	5	20	18	14	45	15	33	39	15	32	28	27	63	17	24	14	107	21	15	33	14	11	4	17	23	11	72	6	13	18	78	8	6	15	8	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	57538	634	517	306	974	1018	344	535	751	559	619	601	676	780	805	452	1119	515	560	414	181	1731	569	915	1430	1528	757	590	916	1525	568	861	1672	1776	957	1097	1050	1242	1673	673	1377	1293	527	1367	1080	566	540	1346	2058	2408	963	1552	1220	970	547	837	1108	1153	556	564	549	968	99									
9	Число недействительных избирательных бюллетеней	1008	24	9	4	0	34	7	13	14	0	9	23	6	0	4	7	1	23	33	34	6	30	10	33	0	0	19	41	27	10	22	18	0	0	46	63	5	47	53	24	13	8	17	15	0	0	25	1	0	0	30	46	0	15	5	37	0	0	27	1	19	50	0									
10	Число действительных избирательных бюллетеней	58524	617	522	439	1010	1000	341	537	809	608	659	619	705	799	823	473	1148	520	610	395	261	1722	572	889	1620	1578	776	554	909	1533	560	888	1687	1809	950	1049	1077	1223	1647	712	1381	1309	524	1459	1101	581	548	1359	2069	2412	950	1529	1231	1027	548	813	1126	1231	537	569	545	926	99									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	540	7	7	5	7	7	10	7	5	5	7	5	5	7	5	7	7	7	7	12	5	10	7	10	10	10	7	12	10	10	7	15	10	10	10	10	10	13	10	7	7	14	7	14	7	5	7	7	10	10	10	7	10	10	12	19	15	10	7	13	7	10	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	363	3	4	3	6	5	7	2	5	1	5	5	1	3	4	4	6	7	5	10	3	4	4	7	10	7	7	9	4	3	7	10	9	5	8	3	7	7	9	4	5	9	7	10	5	3	2	1	8	2	9	6	2	9	7	16	12	10	7	9	4	7	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	135	2	1	8	0	4	0	3	2	0	2	2	1	4	0	0	0	0	3	3	4	1	4	5	2	4	1	2	3	1	3	6	1	3	2	1	2	5	4	2	5	6	0	1	0	0	1	3	4	4	1	3	2	3	3	2	2	1	1	1	1	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	177	4	3	2	1	2	3	5	0	4	2	0	4	4	1	3	1	0	2	2	2	6	3	3	0	3	0	3	6	7	0	5	1	5	2	7	3	6	1	3	2	5	0	4	2	2	5	6	2	8	1	1	8	1	5	3	3	0	0	4	3	3	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	189	4	5	4	3	2	0	2	0	1	2	3	3	1	0	2	6	1	3	2	0	3	3	4	2	5	1	1	6	5	3	4	7	8	2	8	4	2	8	1	4	2	0	1	1	3	6	1	4	5	9	3	3	5	0	5	1	1	2	3	2	7	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	8	2	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																									
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	420	8	1	4	3	7	3	8	9	4	9	2	3	4	5	0	6	3	12	7	2	7	3	17	7	2	14	7	13	8	5	11	12	6	4	16	5	9	7	8	2	0	6	6	9	3	10	6	9	12	16	15	8	5	6	10	8	5	2	2	10	8	1									
		0.71%	1.25%	0.19%	0.90%	0.30%	0.68%	0.86%	1.45%	1.09%	0.66%	1.35%	0.31%	0.42%	0.50%	0.60%	0.00%	0.52%	0.55%	1.87%	1.63%	0.75%	0.40%	0.52%	1.84%	0.43%	0.13%	1.76%	1.18%	1.39%	0.52%	0.86%	1.21%	0.71%	0.33%	0.40%	1.44%	0.46%	0.71%	0.41%	1.09%	0.14%	0.00%	1.11%	0.41%	0.82%	0.52%	1.75%	0.44%	0.43%	0.50%	1.63%	0.95%	0.65%	0.48%	1.08%	1.18%	0.71%	0.41%	0.35%	0.35%	1.77%	0.82%	1.01%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	1038	29	4	14	22	9	9	25	23	5	0	12	11	2	7	0	13	8	24	28	12	5	6	59	32	16	26	31	32	8	20	53	10	5	10	37	8	18	12	33	2	0	29	6	0	5	40	7	7	7	24	15	6	5	1	61	4	9	28	6	45	48	5									
		1.74%	4.52%	0.75%	3.16%	2.18%	0.87%	2.59%	4.55%	2.79%	0.82%	0.00%	1.87%	1.55%	0.25%	0.85%	0.00%	1.13%	1.47%	3.73%	6.53%	4.49%	0.29%	1.03%	6.40%	1.98%	1.01%	3.27%	5.21%	3.42%	0.52%	3.44%	5.85%	0.59%	0.28%	1.00%	3.33%	0.74%	1.42%	0.71%	4.48%	0.14%	0.00%	5.36%	0.41%	0.00%	0.86%	6.98%	0.51%	0.34%	0.29%	2.45%	0.95%	0.49%	0.48%	0.18%	7.18%	0.36%	0.73%	4.96%	1.05%	7.98%	4.92%	5.05%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	707	10	4	4	20	6	6	12	18	3	0	11	2	2	10	3	15	6	21	9	5	8	3	16	9	8	15	9	22	4	14	24	12	13	15	19	9	21	11	24	2	17	15	5	13	4	11	7	11	16	19	14	13	5	8	30	11	3	23	6	17	30	4									
		1.19%	1.56%	0.75%	0.90%	1.98%	0.58%	1.72%	2.18%	2.19%	0.49%	0.00%	1.71%	0.28%	0.25%	1.21%	0.63%	1.31%	1.10%	3.27%	2.10%	1.87%	0.46%	0.52%	1.74%	0.56%	0.51%	1.89%	1.51%	2.35%	0.26%	2.41%	2.65%	0.71%	0.72%	1.51%	1.71%	0.83%	1.65%	0.65%	3.26%	0.14%	1.29%	2.77%	0.34%	1.18%	0.69%	1.92%	0.51%	0.53%	0.66%	1.94%	0.89%	1.06%	0.48%	1.45%	3.53%	0.98%	0.24%	4.08%	1.05%	3.01%	3.07%	4.04%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	28976	255	249	183	510	509	130	209	427	311	330	306	363	435	626	243	586	232	244	153	96	881	297	326	826	810	527	227	366	759	240	462	868	923	540	510	549	615	830	378	766	682	227	748	562	296	257	694	1069	1230	327	780	628	526	280	290	558	628	191	291	210	357	48									
		48.67%	39.78%	46.89%	41.31%	50.50%	49.23%	37.36%	38.00%	51.88%	51.15%	49.40%	47.66%	51.05%	54.44%	75.70%	50.63%	51.00%	42.73%	37.95%	35.66%	35.96%	50.29%	51.03%	35.36%	50.99%	51.33%	66.29%	38.15%	39.10%	49.19%	41.24%	50.99%	51.45%	51.02%	54.22%	45.86%	50.74%	48.43%	48.82%	51.36%	54.95%	51.78%	41.96%	50.75%	51.04%	50.95%	44.85%	51.03%	51.67%	50.99%	33.37%	49.52%	51.02%	50.48%	50.63%	34.12%	49.56%	51.02%	33.87%	51.05%	37.23%	36.58%	48.48%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	408	6	3	2	4	5	10	8	11	4	2	4	4	2	6	0	7	3	8	7	4	10	5	16	4	6	4	9	4	6	7	8	9	8	8	18	4	21	9	14	2	1	4	7	2	3	5	8	12	9	14	2	4	4	2	15	0	12	8	6	10	8	0									
		0.69%	0.94%	0.56%	0.45%	0.40%	0.48%	2.87%	1.45%	1.34%	0.66%	0.30%	0.62%	0.56%	0.25%	0.73%	0.00%	0.61%	0.55%	1.24%	1.63%	1.50%	0.57%	0.86%	1.74%	0.25%	0.38%	0.50%	1.51%	0.43%	0.39%	1.20%	0.88%	0.53%	0.44%	0.80%	1.62%	0.37%	1.65%	0.53%	1.90%	0.14%	0.08%	0.74%	0.47%	0.18%	0.52%	0.87%	0.59%	0.58%	0.37%	1.43%	0.13%	0.32%	0.38%	0.36%	1.76%	0.00%	0.97%	1.42%	1.05%	1.77%	0.82%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	170	0	0	1	0	4	4	1	4	1	3	1	0	1	2	0	0	1	1	0	0	12	2	3	8	0	0	2	1	6	0	3	12	5	1	4	3	2	6	1	2	0	2	6	0	2	1	7	10	12	1	2	1	3	2	1	3	6	3	2	3	5	1									
		0.29%	0.00%	0.00%	0.23%	0.00%	0.39%	1.15%	0.18%	0.49%	0.16%	0.45%	0.16%	0.00%	0.13%	0.24%	0.00%	0.00%	0.18%	0.16%	0.00%	0.00%	0.68%	0.34%	0.33%	0.49%	0.00%	0.00%	0.34%	0.11%	0.39%	0.00%	0.33%	0.71%	0.28%	0.10%	0.36%	0.28%	0.16%	0.35%	0.14%	0.14%	0.00%	0.37%	0.41%	0.00%	0.34%	0.17%	0.51%	0.48%	0.50%	0.10%	0.13%	0.08%	0.29%	0.36%	0.12%	0.27%	0.49%	0.53%	0.35%	0.53%	0.51%	1.01%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	4228	141	98	87	21	21	85	49	113	14	49	94	14	16	71	14	23	74	141	91	68	35	16	153	33	35	68	125	187	60	115	17	34	37	133	169	54	18	39	60	30	66	87	29	22	12	96	28	42	48	218	31	45	171	11	154	23	25	132	12	87	163	24									
		7.10%	21.99%	18.46%	19.64%	2.08%	2.03%	24.43%	8.91%	13.73%	2.30%	7.34%	14.64%	1.97%	2.00%	8.59%	2.92%	2.00%	13.63%	21.93%	21.21%	25.47%	1.99%	2.75%	16.59%	2.04%	2.22%	8.55%	21.01%	19.98%	3.89%	19.76%	1.88%	2.02%	2.05%	13.35%	15.20%	4.99%	1.42%	2.29%	8.15%	2.15%	5.01%	16.08%	1.97%	1.99%	2.07%	16.75%	2.06%	2.03%	1.99%	22.24%	1.97%	3.66%	16.41%	1.99%	18.12%	2.04%	2.03%	23.40%	2.11%	15.43%	16.70%	24.24%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	216	6	1	5	0	0	1	2	1	1	0	2	3	1	2	0	1	3	3	4	0	12	3	4	3	6	0	6	5	3	3	6	3	12	4	7	8	3	3	6	2	0	6	3	0	3	3	6	7	14	8	0	5	2	0	3	4	4	4	1	1	6	1									
		0.36%	0.94%	0.19%	1.13%	0.00%	0.00%	0.29%	0.36%	0.12%	0.16%	0.00%	0.31%	0.42%	0.13%	0.24%	0.00%	0.09%	0.55%	0.47%	0.93%	0.00%	0.68%	0.52%	0.43%	0.19%	0.38%	0.00%	1.01%	0.53%	0.19%	0.52%	0.66%	0.18%	0.66%	0.40%	0.63%	0.74%	0.24%	0.18%	0.82%	0.14%	0.00%	1.11%	0.20%	0.00%	0.52%	0.52%	0.44%	0.34%	0.58%	0.82%	0.00%	0.41%	0.19%	0.00%	0.35%	0.36%	0.32%	0.71%	0.18%	0.18%	0.61%	1.01%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	309	9	0	1	1	10	6	8	7	3	0	3	2	4	2	1	4	5	2	1	2	11	5	4	8	3	2	4	5	10	2	2	7	6	8	7	2	4	5	9	2	0	3	15	6	0	3	5	15	5	12	8	11	2	2	4	6	13	4	2	9	7	0									
		0.52%	1.40%	0.00%	0.23%	0.10%	0.97%	1.72%	1.45%	0.85%	0.49%	0.00%	0.47%	0.28%	0.50%	0.24%	0.21%	0.35%	0.92%	0.31%	0.23%	0.75%	0.63%	0.86%	0.43%	0.49%	0.19%	0.25%	0.67%	0.53%	0.65%	0.34%	0.22%	0.41%	0.33%	0.80%	0.63%	0.18%	0.31%	0.29%	1.22%	0.14%	0.00%	0.55%	1.02%	0.54%	0.00%	0.52%	0.37%	0.72%	0.21%	1.22%	0.51%	0.89%	0.19%	0.36%	0.47%	0.53%	1.06%	0.71%	0.35%	1.60%	0.72%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	131	0	0	1	1	2	1	0	2	1	0	5	0	1	0	0	2	0	0	0	0	8	0	1	1	1	0	0	0	7	0	1	0	6	1	1	3	1	4	0	2	0	0	10	4	3	1	7	9	19	0	3	8	2	3	1	2	3	1	0	1	0	1									
		0.22%	0.00%	0.00%	0.23%	0.10%	0.19%	0.29%	0.00%	0.24%	0.16%	0.00%	0.78%	0.00%	0.13%	0.00%	0.00%	0.17%	0.00%	0.00%	0.00%	0.00%	0.46%	0.00%	0.11%	0.06%	0.06%	0.00%	0.00%	0.00%	0.45%	0.00%	0.11%	0.00%	0.33%	0.10%	0.09%	0.28%	0.08%	0.24%	0.00%	0.14%	0.00%	0.00%	0.68%	0.36%	0.52%	0.17%	0.51%	0.43%	0.79%	0.00%	0.19%	0.65%	0.19%	0.54%	0.12%	0.18%	0.24%	0.18%	0.00%	0.18%	0.00%	1.01%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	382	9	0	4	3	7	4	13	17	3	1	2	2	2	4	2	8	5	6	5	4	5	4	14	6	7	5	8	8	5	1	12	2	20	4	10	9	3	9	9	2	0	5	5	21	2	8	6	7	8	16	8	8	2	1	10	4	4	3	2	5	13	0									
		0.64%	1.40%	0.00%	0.90%	0.30%	0.68%	1.15%	2.36%	2.07%	0.49%	0.15%	0.31%	0.28%	0.25%	0.48%	0.42%	0.70%	0.92%	0.93%	1.17%	1.50%	0.29%	0.69%	1.52%	0.37%	0.44%	0.63%	1.34%	0.85%	0.32%	0.17%	1.32%	0.12%	1.11%	0.40%	0.90%	0.83%	0.24%	0.53%	1.22%	0.14%	0.00%	0.92%	0.34%	1.91%	0.34%	1.40%	0.44%	0.34%	0.33%	1.63%	0.51%	0.65%	0.19%	0.18%	1.18%	0.36%	0.32%	0.53%	0.35%	0.89%	1.33%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	16132	118	123	89	323	331	58	125	138	194	191	138	228	250	63	149	368	146	92	64	63	547	186	127	518	507	86	96	224	490	114	235	544	579	169	193	313	386	538	137	405	408	106	467	352	186	71	435	662	772	222	489	364	237	175	169	378	394	102	182	96	212	8									
