Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																		
Дата голосования: 02.12.2007																																																																		
																																																																		
"Наименование Избирательной комиссии:    Саратов, Октябрьская"																																																																		
																																																																		
Сводная таблица результатов выборов																																																																		
																																																																		
		Сумма	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136					
1	"Число избирателей, внесенных в списки избирателей"	101004	1160	1331	841	1015	973	1574	1945	2160	2098	172	1907	1361	1281	1818	2553	2372	1101	1591	1521	2046	2296	1803	2265	1827	2462	2638	2402	2813	2358	1188	2237	2404	1839	1944	2385	2137	2183	2158	1559	2179	2040	2713	1903	2580	2692	2771	2551	2377	944	1602	1295	190	175	521	198	879	254	629	793					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	79945	900	1050	600	750	850	1500	1400	1500	1500	200	1950	1050	1000	1700	2050	1900	850	1200	1100	1650	1950	1250	2050	1350	2000	2150	1750	1950	1700	1650	1550	1700	1300	1350	1700	1700	1500	1550	1100	1550	1850	1950	1350	2250	1850	1950	1850	1700	650	1150	1200	190	295	630	310	1100	440	850	880					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	56489	715	711	467	474	564	1000	1269	1119	1099	172	1673	815	636	1198	1437	1452	716	1014	807	1253	1317	936	1572	1105	1198	1542	1209	1450	1154	1149	1012	1300	1078	1018	1187	1286	1085	1209	768	1155	1413	1500	920	1360	1459	1320	1225	963	370	463	460	190	173	335	100	475	223	512	707					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3436	32	36	16	27	31	32	24	74	85	0	122	24	35	46	44	54	14	34	35	50	75	83	43	45	47	42	48	37	15	39	58	43	53	99	54	19	54	53	56	29	25	34	39	47	28	48	53	44	104	63	270	0	0	175	98	397	28	117	59					
6	Число погашенных избирательных бюллетеней	20018	153	303	117	249	255	468	107	307	316	28	155	211	329	456	569	394	120	152	258	347	558	231	435	200	755	566	493	463	531	462	480	357	169	233	459	395	361	288	276	366	412	416	391	843	363	582	572	693	176	624	470	0	122	120	112	228	189	219	114					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3402	32	36	16	27	30	32	22	74	85	0	121	24	35	44	44	52	14	34	34	50	73	82	43	45	47	42	47	36	15	39	58	43	53	97	54	19	54	52	55	29	24	34	35	47	27	47	52	44	104	59	267	0	0	175	98	397	28	117	58					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	56141	713	711	466	474	561	996	1261	1117	1094	172	1673	808	626	1194	1424	1439	715	1006	806	1253	1301	934	1544	1103	1191	1528	1209	1446	1140	1145	1005	1295	1075	1016	1164	1285	1080	1206	765	1134	1405	1485	918	1347	1437	1313	1217	946	369	463	459	190	173	334	99	473	221	512	705					
9	Число недействительных избирательных бюллетеней	924	8	9	7	4	9	7	16	17	20	3	14	9	5	28	26	33	6	15	10	21	14	19	17	16	22	0	16	24	42	17	22	10	49	18	11	21	67	21	10	8	16	19	8	25	41	14	22	17	6	8	11	1	2	0	0	13	23	0	7					
10	Число действительных избирательных бюллетеней	58619	737	738	475	497	582	1021	1267	1174	1159	169	1780	823	656	1210	1442	1458	723	1025	830	1282	1360	997	1570	1132	1216	1570	1240	1458	1113	1167	1041	1328	1079	1095	1207	1283	1067	1237	810	1155	1413	1500	945	1369	1423	1346	1247	973	467	514	715	189	171	509	197	857	226	629	756					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	4580	50	65	40	50	50	85	80	100	95	0	95	70	60	80	125	90	65	60	70	80	90	85	95	85	120	125	120	130	115	110	105	90	80	85	110	85	100	100	80	100	130	125	90	135	120	130	120	130	45	75	60	0	0	0	0	0	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	3430	45	45	32	40	48	67	62	73	76	0	48	56	49	52	90	61	54	50	60	58	66	43	68	77	97	79	105	90	83	62	72	66	48	46	69	61	62	61	54	74	113	125	65	129	109	98	105	126	34	43	34	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	7453	89	38	33	36	100	65	479	41	61	172	5	65	16	68	22	83	57	312	53	411	357	21	258	12	26	19	25	51	15	31	48	53	48	28	26	341	24	27	35	18	147	23	16	36	8	44	46	26	41	13	58	190	167	401	198	872	251	629	618					
14	Число погашенных неиспользованных открепительных удостоверений	1150	5	20	8	10	2	18	18	27	19	0	47	14	11	28	35	29	11	10	10	22	24	42	27	8	23	46	15	40	32	48	33	24	32	39	41	24	38	39	26	26	17	0	25	6	11	32	15	4	11	32	26	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																		
18	1.Политическая партия «Аграрная партия России»	1352	20	19	17	16	15	21	27	39	19	4	24	24	24	37	43	37	16	27	13	22	32	15	35	34	32	48	31	40	17	22	25	34	40	24	26	24	31	29	20	31	32	33	18	38	42	32	23	20	11	14	8	0	0	1	0	8	6	4	8					
		2.27%	2.68%	2.54%	3.53%	3.19%	2.54%	2.04%	2.10%	3.27%	1.61%	2.33%	1.34%	2.88%	3.63%	2.99%	2.93%	2.48%	2.19%	2.60%	1.55%	1.69%	2.33%	1.48%	2.21%	2.96%	2.58%	3.06%	2.47%	2.70%	1.47%	1.86%	2.35%	2.54%	3.55%	2.16%	2.13%	1.84%	2.73%	2.31%	2.44%	2.67%	2.24%	2.17%	1.89%	2.73%	2.87%	2.35%	1.81%	2.02%	2.33%	2.68%	1.10%	0.00%	0.00%	0.20%	0.00%	0.92%	2.41%	0.64%	1.05%					
