Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва														
Дата голосования: 07.12.2003 0:00:00														
														
Наименование Избирательной комиссии:    Район Марфино														
														
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)														
														
		Сумма	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669					
1	"Число избирателей, внесенных в списки"	15785	2271	2441	2281	2261	2217	1709	2605					
2	"Число бюллетеней, полученных участковыми комиссиями"	14500	2100	2250	2050	2050	2050	1500	2500					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	9022	1300	1383	1377	1351	1279	894	1438					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	467	58	84	59	58	59	72	77					
6	Число погашенных бюллетеней	5010	742	783	614	641	711	534	985					
7	Число бюллетеней в переносных ящиках для голосования	467	58	84	59	58	59	72	77					
8	Число бюллетеней в стационарных ящиках для голосования	9003	1289	1383	1377	1349	1279	894	1432					
9	Число недействительных бюллетеней	120	26	24	23	10	13	7	17					
10	Число действительных бюллетеней	9350	1321	1443	1413	1397	1325	959	1492					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	280	45	50	45	30	30	30	50					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	194	36	29	31	27	26	14	31					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	268	22	36	77	47	21	24	41					
14	Число погашенных открепительных удостоверений	86	9	21	14	3	4	16	19					
15	Число открепительных удостоверений выданных ТИК	3	0	1	1	1	0	0	0					
16	Число утраченных бюллетеней	1	0	0	0	0	1	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0					
														
18	"1. ""ЕДИНЕНИЕ"""	70	7	12	9	14	12	5	11					
		0.73%	0.51%	0.81%	0.62%	0.99%	0.89%	0.51%	0.72%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	622	73	82	110	109	64	65	119					
		6.56%	5.41%	5.58%	7.66%	7.74%	4.78%	6.72%	7.88%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	182	28	27	18	28	32	18	31					
		1.92%	2.07%	1.84%	1.25%	1.99%	2.39%	1.86%	2.05%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	1161	139	144	194	191	204	138	151					
		12.25%	10.31%	9.81%	13.50%	13.57%	15.24%	14.28%	10.00%					
22	"5. ""За Русь Святую"""	46	6	5	11	5	8	5	6					
		0.48%	0.44%	0.34%	0.76%	0.35%	0.59%	0.51%	0.39%					
23	"6. ""Объединенная Российская партия ""Русь"""	25	1	5	4	5	7	2	1					
		0.26%	0.07%	0.34%	0.27%	0.35%	0.52%	0.20%	0.06%					
24	"7. ""Новый курс - Автомобильная Россия"""	145	27	25	28	20	19	10	16					
		1.53%	2.00%	1.70%	1.94%	1.42%	1.42%	1.03%	1.06%					
25	"8. ""Народно-республиканская партия России"""	4	1	1	0	0	0	0	2					
		0.04%	0.07%	0.06%	0.0%	0.0%	0.0%	0.0%	0.13%					
26	"9. ""Российская экологическая партия ""Зеленые"""	70	10	7	10	20	11	5	7					
		0.73%	0.74%	0.47%	0.69%	1.42%	0.82%	0.51%	0.46%					
27	"10. ""Аграрная партия России"""	182	32	25	29	30	20	13	33					
		1.92%	2.37%	1.70%	2.01%	2.13%	1.49%	1.34%	2.18%					
28	"11. ""Истинные патриоты России"""	7	3	1	2	0	1	0	0					
		0.07%	0.22%	0.06%	0.13%	0.0%	0.07%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	111	15	19	20	9	13	11	24					
		1.17%	1.11%	1.29%	1.39%	0.63%	0.97%	1.13%	1.59%					
30	"13. ""Демократическая партия России"""	14	0	3	1	7	1	1	1					
		0.14%	0.0%	0.20%	0.06%	0.49%	0.07%	0.10%	0.06%					
31	"14. ""Великая Россия - Евразийский Союз"""	14	4	4	1	0	2	3	0					
		0.14%	0.29%	0.27%	0.06%	0.0%	0.14%	0.31%	0.0%					
32	"15. ""Партия СЛОН"""	23	3	6	5	4	3	0	2					
		0.24%	0.22%	0.40%	0.34%	0.28%	0.22%	0.0%	0.13%					
33	"16. ""Родина"" (народно-патриотический союз)"""	1410	185	236	251	226	158	141	213					
		14.88%	13.73%	16.08%	17.47%	16.06%	11.80%	14.59%	14.11%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	5	1	0	0	1	1	1	1					
		0.05%	0.07%	0.0%	0.0%	0.07%	0.07%	0.10%	0.06%					
35	"18. ""ЛДПР"""	589	79	76	80	78	93	73	110					
		6.21%	5.86%	5.18%	5.57%	5.54%	6.95%	7.55%	7.28%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	75	13	12	10	8	10	9	13					
		0.79%	0.96%	0.81%	0.69%	0.56%	0.74%	0.93%	0.86%					
37	"20. ""Политическая партия ""Единая Россия"""	3338	488	549	448	475	506	334	538					
		35.24%	36.22%	37.42%	31.19%	33.75%	37.81%	34.57%	35.65%					
38	"21. ""Российская Конституционно-демократическая партия"""	12	1	2	2	0	1	2	4					
		0.12%	0.07%	0.13%	0.13%	0.0%	0.07%	0.20%	0.26%					
39	"22. ""Развитие предпринимательства"""	34	5	4	8	6	4	1	6					
		0.35%	0.37%	0.27%	0.55%	0.42%	0.29%	0.10%	0.39%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	677	122	109	108	87	87	63	101					
		7.14%	9.05%	7.43%	7.52%	6.18%	6.50%	6.52%	6.69%					
														
41	Против всех	534	78	89	64	74	68	59	102					
		5.63%	5.79%	6.06%	4.45%	5.25%	5.08%	6.10%	6.75%					
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
