Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																				
Дата голосования: 07.12.2003 0:00:00																																				
																																				
Наименование Избирательной комиссии:    Матвеевская																																				
																																				
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																				
																																				
		Сумма	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721					
1	"Число избирателей, внесенных в списки"	11545	353	247	233	122	723	181	112	379	1287	1390	636	374	416	308	127	325	259	543	484	936	435	168	196	203	147	207	317	310	127					
2	"Число бюллетеней, полученных участковыми комиссиями"	11457	352	244	237	121	725	178	112	376	1267	1372	626	370	414	305	127	319	261	525	478	923	424	176	192	192	147	212	312	310	160					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	6681	227	156	184	106	359	91	71	238	608	630	396	185	297	168	72	207	128	343	330	538	200	119	131	145	86	139	197	203	127					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	397	26	21	14	0	39	9	0	15	37	36	7	10	0	22	10	11	23	17	6	11	27	0	0	0	11	0	21	24	0					
6	Число погашенных бюллетеней	4379	99	67	39	15	327	78	41	123	622	706	223	175	117	115	45	101	110	165	142	374	197	57	61	47	50	73	94	83	33					
7	Число бюллетеней в переносных ящиках для голосования	397	26	21	14	0	39	9	0	15	37	36	7	10	0	22	10	11	23	17	6	11	27	0	0	0	11	0	21	24	0					
8	Число бюллетеней в стационарных ящиках для голосования	6680	227	156	184	106	359	91	71	238	608	630	396	185	297	168	72	207	128	342	330	538	200	119	131	145	86	139	197	203	127					
9	Число недействительных бюллетеней	135	3	9	0	1	2	2	2	5	6	8	5	6	8	2	2	3	5	13	8	12	9	0	3	3	2	2	4	7	3					
10	Число действительных бюллетеней	6942	250	168	198	105	396	98	69	248	639	658	398	189	289	188	80	215	146	346	328	537	218	119	128	142	95	137	214	220	124					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	98	3	1	3	3	3	3	3	3	7	13	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3					
