Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																									
Дата голосования: 18.09.2016																																																									
																																																									
"Наименование Избирательной комиссии:    Калуга, Московская"																																																									
																																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																																									
																																																									
		Сумма	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	91622	948	2118	2527	2521	2144	2240	2390	2310	2177	1307	2019	2434	2192	2022	2860	2257	1509	2311	1867	2748	2394	1027	2212	2505	2605	1359	1879	1350	1491	1884	1942	2099	1831	2406	1377	2305	2237	2394	2054	2386	2554	1480	2397	1425	551	577									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	80400	1000	2000	2500	2000	2000	2000	2000	2000	2000	1100	2000	2000	2000	2000	2500	2000	1100	2000	1500	2500	2000	1000	2000	2000	2500	1100	1500	1000	1200	1500	2000	2000	1500	2000	1100	2000	2000	2000	2000	2000	2500	1200	2000	1100	500	500									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	32457	356	947	821	903	748	801	824	830	803	515	637	702	752	665	1016	674	534	677	623	1044	1065	468	856	755	868	470	688	463	520	670	712	667	667	831	499	821	825	931	725	949	1019	472	932	360	205	147									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	655	12	7	6	5	11	5	13	4	6	6	7	9	22	10	17	19	10	11	11	7	9	2	10	72	11	8	8	15	6	18	13	14	6	21	23	9	34	7	7	23	16	40	20	36	9	20									
6	Число погашенных избирательных бюллетеней	47288	632	1046	1673	1092	1241	1194	1163	1166	1191	579	1356	1289	1226	1325	1467	1307	556	1312	866	1449	926	530	1134	1173	1621	622	804	522	674	812	1275	1319	827	1148	578	1170	1141	1062	1268	1028	1465	688	1048	704	286	333									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	655	12	7	6	5	11	5	13	4	6	6	7	9	22	10	17	19	10	11	11	7	9	2	10	72	11	8	8	15	6	18	13	14	6	21	23	9	34	7	7	23	16	40	20	36	9	20									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	32397	356	947	821	903	748	796	824	830	803	515	637	702	751	665	1016	674	534	677	620	1044	1063	468	856	754	867	470	688	463	520	647	712	665	652	831	499	820	824	929	723	949	1019	472	931	360	205	147									
9	Число недействительных избирательных бюллетеней	612	7	17	14	19	8	1	12	13	11	8	12	19	14	15	16	14	16	22	8	13	7	10	17	18	22	7	23	6	19	8	14	13	20	21	9	7	14	22	11	13	18	20	20	9	3	2									
10	Число действительных избирательных бюллетеней	32440	361	937	813	889	751	800	825	821	798	513	632	692	759	660	1017	679	528	666	623	1038	1065	460	849	808	856	471	673	472	507	657	711	666	638	831	513	822	844	914	719	959	1017	492	931	387	211	165									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1900	50	60	45	45	45	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	50	50	50	50	40	50	40	40	40	25	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	658	10	25	13	27	13	23	16	21	23	7	9	23	22	10	24	9	12	15	14	19	20	13	18	16	13	6	19	15	14	17	9	11	13	11	11	17	19	11	11	20	16	8	9	4	0	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	558	13	21	9	9	6	14	4	22	10	1	15	10	11	14	23	13	13	9	8	4	22	12	13	11	18	14	19	11	11	18	12	17	14	7	21	10	8	18	10	4	17	8	13	12	7	2									
14	Число погашенных неиспользованных открепительных удостоверений	1242	40	35	32	18	32	17	24	19	17	33	31	17	18	30	16	31	28	25	26	21	20	27	22	24	27	34	21	25	26	23	31	29	27	29	29	33	31	39	39	20	34	32	31	36	25	18									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	91	2	2	4	3	4	1	1	1	2	0	1	1	1	1	2	1	0	3	2	1	4	0	1	6	6	0	1	3	3	0	2	2	2	1	2	1	7	3	2	3	2	1	2	2	0	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																									
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	712	12	19	17	29	11	16	11	16	24	12	16	10	27	7	14	16	9	16	10	26	29	8	21	18	16	10	17	14	14	12	16	14	18	16	12	25	17	18	15	18	24	9	14	7	4	8									
		2.15%	3.26%	1.99%	2.06%	3.19%	1.45%	1.99%	1.31%	1.92%	2.97%	2.30%	2.48%	1.41%	3.49%	1.04%	1.36%	2.31%	1.65%	2.33%	1.58%	2.47%	2.71%	1.70%	2.42%	2.18%	1.82%	2.09%	2.44%	2.93%	2.66%	1.80%	2.21%	2.06%	2.74%	1.88%	2.30%	3.02%	1.98%	1.92%	2.05%	1.85%	2.32%	1.76%	1.47%	1.77%	1.87%	4.79%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	674	9	18	20	19	24	19	16	9	23	11	13	20	14	20	13	15	17	15	17	18	18	2	17	19	10	7	11	4	9	9	8	11	14	13	14	22	14	15	20	27	25	9	27	8	6	5									
		2.04%	2.45%	1.89%	2.42%	2.09%	3.16%	2.37%	1.91%	1.08%	2.84%	2.11%	2.02%	2.81%	1.81%	2.96%	1.26%	2.16%	3.13%	2.18%	2.69%	1.71%	1.68%	0.43%	1.96%	2.30%	1.14%	1.46%	1.58%	0.84%	1.71%	1.35%	1.10%	1.62%	2.13%	1.53%	2.68%	2.65%	1.63%	1.60%	2.74%	2.78%	2.42%	1.76%	2.84%	2.02%	2.80%	2.99%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	833	15	27	23	13	15	23	15	18	21	15	17	19	26	9	24	23	11	15	17	26	33	11	23	25	28	11	22	17	9	19	22	18	20	17	13	17	15	17	13	26	37	8	17	8	9	6									
		2.52%	4.08%	2.83%	2.78%	1.43%	1.98%	2.87%	1.79%	2.16%	2.60%	2.88%	2.64%	2.67%	3.36%	1.33%	2.32%	3.32%	2.02%	2.18%	2.69%	2.47%	3.08%	2.34%	2.66%	3.03%	3.19%	2.30%	3.16%	3.56%	1.71%	2.86%	3.03%	2.65%	3.04%	1.99%	2.49%	2.05%	1.75%	1.82%	1.78%	2.67%	3.57%	1.56%	1.79%	2.02%	4.21%	3.59%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	13542	143	403	291	372	330	404	358	314	277	213	275	299	305	268	452	292	256	270	276	422	395	175	351	325	375	202	282	182	200	286	304	300	233	342	210	327	337	372	308	391	364	219	497	185	101	59									
		40.97%	38.86%	42.24%	35.19%	40.97%	43.48%	50.44%	42.77%	37.65%	34.24%	40.88%	42.70%	42.05%	39.46%	39.70%	43.76%	42.14%	47.06%	39.24%	43.74%	40.15%	36.85%	37.23%	40.53%	39.35%	42.71%	42.26%	40.52%	38.08%	38.02%	43.01%	41.93%	44.18%	35.41%	40.14%	40.23%	39.45%	39.28%	39.74%	42.19%	40.23%	35.17%	42.77%	52.26%	46.72%	47.20%	35.33%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	396	5	9	6	16	4	5	8	5	6	7	6	2	8	12	10	5	7	5	8	16	19	4	5	14	16	5	14	4	6	11	9	10	10	13	3	19	15	17	12	13	7	3	13	2	0	2									
		1.20%	1.36%	0.94%	0.73%	1.76%	0.53%	0.62%	0.96%	0.60%	0.74%	1.34%	0.93%	0.28%	1.03%	1.78%	0.97%	0.72%	1.29%	0.73%	1.27%	1.52%	1.77%	0.85%	0.58%	1.69%	1.82%	1.05%	2.01%	0.84%	1.14%	1.65%	1.24%	1.47%	1.52%	1.53%	0.57%	2.29%	1.75%	1.82%	1.64%	1.34%	0.68%	0.59%	1.37%	0.51%	0.00%	1.20%									
24	"6. Политическая партия ""Гражданская Платформа"""	60	0	2	1	0	0	0	3	1	2	1	0	2	1	1	2	2	1	1	1	3	2	1	0	0	3	3	1	0	0	1	3	4	0	2	0	3	2	1	3	3	1	1	0	1	1	0									
		0.18%	0.00%	0.21%	0.12%	0.00%	0.00%	0.00%	0.36%	0.12%	0.25%	0.19%	0.00%	0.28%	0.13%	0.15%	0.19%	0.29%	0.18%	0.15%	0.16%	0.29%	0.19%	0.21%	0.00%	0.00%	0.34%	0.63%	0.14%	0.00%	0.00%	0.15%	0.41%	0.59%	0.00%	0.23%	0.00%	0.36%	0.23%	0.11%	0.41%	0.31%	0.10%	0.20%	0.00%	0.25%	0.47%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	5621	47	166	164	152	119	112	141	156	144	86	123	158	140	131	182	128	103	132	131	186	182	83	118	144	143	90	86	79	82	100	126	113	128	130	104	139	126	125	72	133	192	124	164	73	37	27									
		17.01%	12.77%	17.40%	19.83%	16.74%	15.68%	13.98%	16.85%	18.71%	17.80%	16.51%	19.10%	22.22%	18.11%	19.41%	17.62%	18.47%	18.93%	19.19%	20.76%	17.70%	16.98%	17.66%	13.63%	17.43%	16.29%	18.83%	12.36%	16.53%	15.59%	15.04%	17.38%	16.64%	19.45%	15.26%	19.92%	16.77%	14.69%	13.35%	9.86%	13.68%	18.55%	24.22%	17.25%	18.43%	17.29%	16.17%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	361	5	7	10	12	6	10	2	10	10	4	7	5	6	7	12	6	9	8	6	14	7	3	9	13	7	3	13	8	4	13	4	3	8	6	6	16	5	23	16	8	12	4	4	5	3	2									
		1.09%	1.36%	0.73%	1.21%	1.32%	0.79%	1.25%	0.24%	1.20%	1.24%	0.77%	1.09%	0.70%	0.78%	1.04%	1.16%	0.87%	1.65%	1.16%	0.95%	1.33%	0.65%	0.64%	1.04%	1.57%	0.80%	0.63%	1.87%	1.67%	0.76%	1.95%	0.55%	0.44%	1.22%	0.70%	1.15%	1.93%	0.58%	2.46%	2.19%	0.82%	1.16%	0.78%	0.42%	1.26%	1.40%	1.20%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	566	13	12	10	19	10	13	9	26	12	5	8	7	9	11	14	11	11	11	5	19	27	11	11	11	14	11	16	8	5	9	18	10	17	21	6	12	19	22	14	12	31	10	6	3	4	3									
