Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																								
Дата голосования: 18.09.2016																																								
																																								
"Наименование Избирательной комиссии:    Ярославль, Кировская"																																								
																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																								
																																								
		Сумма	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №893	УИК №894									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	43399	973	1534	1401	1599	1461	1609	1552	1504	1527	1454	1629	1678	1736	1862	1551	1591	1612	1514	1561	1748	1568	1604	1581	1517	2052	1982	1739	162	98									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	31600	700	1100	1000	1150	1050	1150	1100	1100	1100	1050	1150	1200	1250	1350	1100	1150	1150	1100	1100	1250	1150	1150	1150	1100	1500	1400	1250	300	300									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	17169	385	637	526	735	530	644	614	567	627	542	571	584	737	762	666	712	641	710	700	729	654	671	569	545	714	720	474	162	41									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	391	7	11	18	6	21	10	6	11	8	10	11	16	15	20	17	11	8	7	10	16	22	4	3	21	17	14	22	0	49									
6	Число погашенных избирательных бюллетеней	14040	308	452	456	409	499	496	480	522	465	498	568	600	498	568	417	427	501	383	390	505	474	475	578	534	769	666	754	138	210									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	391	7	11	18	6	21	10	6	11	8	10	11	16	15	20	17	11	8	7	10	16	22	4	3	21	17	14	22	0	49									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	17110	384	637	526	684	530	643	614	567	626	542	570	582	737	762	666	712	641	710	700	729	654	670	569	545	714	719	474	162	41									
9	Число недействительных избирательных бюллетеней	252	6	7	11	9	10	13	8	3	10	10	3	9	10	9	14	9	7	9	10	5	14	12	5	9	19	10	9	2	0									
10	Число действительных избирательных бюллетеней	17249	385	641	533	681	541	640	612	575	624	542	578	589	742	773	669	714	642	708	700	740	662	662	567	557	712	723	487	160	90									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	685	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	30	30	25	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	263	6	6	13	6	10	16	10	11	7	10	7	9	9	8	10	12	6	13	8	4	18	16	9	11	16	11	1	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	396	12	16	17	10	8	8	8	8	11	13	6	4	7	7	6	12	3	2	8	1	14	6	7	13	5	19	1	162	2									
14	Число погашенных неиспользованных открепительных удостоверений	422	19	19	12	19	15	9	15	14	18	15	18	16	16	17	15	13	19	12	17	21	7	9	16	14	14	19	24	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	18	0	2	0	2	0	2	1	1	0	1	2	1	2	0	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																								
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	509	13	14	13	26	27	19	17	16	16	16	12	18	16	20	14	24	19	23	19	23	13	23	26	18	19	26	17	1	1									
		2.91%	3.32%	2.16%	2.39%	3.77%	4.90%	2.91%	2.74%	2.77%	2.52%	2.90%	2.07%	3.01%	2.13%	2.56%	2.05%	3.32%	2.93%	3.21%	2.68%	3.09%	1.92%	3.41%	4.55%	3.18%	2.60%	3.55%	3.43%	0.62%	1.11%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	277	8	2	8	6	5	18	12	6	10	10	7	12	11	14	2	10	7	9	15	13	14	16	7	8	15	18	12	1	1									
		1.58%	2.05%	0.31%	1.47%	0.87%	0.91%	2.76%	1.94%	1.04%	1.58%	1.81%	1.20%	2.01%	1.46%	1.79%	0.29%	1.38%	1.08%	1.26%	2.11%	1.74%	2.07%	2.37%	1.22%	1.41%	2.05%	2.46%	2.42%	0.62%	1.11%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	439	7	13	13	15	14	15	15	4	16	15	16	17	21	21	15	18	15	21	21	18	15	15	23	16	27	22	10	1	0									
		2.51%	1.79%	2.01%	2.39%	2.17%	2.54%	2.30%	2.42%	0.69%	2.52%	2.72%	2.75%	2.84%	2.79%	2.69%	2.20%	2.49%	2.31%	2.93%	2.96%	2.42%	2.22%	2.23%	4.02%	2.83%	3.69%	3.00%	2.02%	0.62%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	5635	130	205	184	212	163	188	191	199	192	172	164	204	263	252	256	212	201	255	208	255	207	228	158	195	218	213	173	92	45									
		32.20%	33.25%	31.64%	33.82%	30.72%	29.58%	28.79%	30.81%	34.43%	30.28%	31.16%	28.23%	34.11%	34.97%	32.23%	37.48%	29.32%	30.97%	35.56%	29.30%	34.23%	30.62%	33.83%	27.62%	34.45%	29.82%	29.06%	34.88%	56.79%	50.00%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	403	8	14	16	17	20	15	18	20	15	10	21	17	15	18	12	17	12	16	16	19	12	11	20	9	13	17	4	0	1									
		2.30%	2.05%	2.16%	2.94%	2.46%	3.63%	2.30%	2.90%	3.46%	2.37%	1.81%	3.61%	2.84%	1.99%	2.30%	1.76%	2.35%	1.85%	2.23%	2.25%	2.55%	1.78%	1.63%	3.50%	1.59%	1.78%	2.32%	0.81%	0.00%	1.11%									
24	"6. Политическая партия ""Гражданская Платформа"""	80	3	2	0	1	1	1	8	3	2	2	2	4	3	7	4	4	2	1	2	1	1	1	7	7	6	4	1	0	0									
		0.46%	0.77%	0.31%	0.00%	0.14%	0.18%	0.15%	1.29%	0.52%	0.32%	0.36%	0.34%	0.67%	0.40%	0.90%	0.59%	0.55%	0.31%	0.14%	0.28%	0.13%	0.15%	0.15%	1.22%	1.24%	0.82%	0.55%	0.20%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2256	54	69	54	75	60	76	71	61	80	71	92	72	83	87	89	75	94	66	87	89	95	81	101	85	103	116	123	34	13									
