Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																			
Дата голосования: 04.12.2011																																																																			
																																																																			
Наименование Избирательной комиссии:    Тамбовская																																																																			
																																																																			
Сводная таблица результатов выборов																																																																			
																																																																			
		Сумма	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863					
1	"Число избирателей, внесенных в список избирателей"	78084	1285	430	513	2182	1703	336	1444	312	1303	1121	783	645	2001	1307	1412	2152	2351	1777	1653	604	1515	218	2950	277	719	535	384	2349	493	1382	1254	512	568	289	600	360	1344	3315	719	2971	1882	940	379	1415	691	201	1706	269	95	2408	1046	674	2200	2687	2645	2592	2547	2556	1488	1595					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	77420	1290	430	520	2150	1690	320	1450	310	1270	1100	780	630	2000	1300	1390	2100	2300	1750	1610	670	1480	200	2890	260	700	530	370	2310	490	1350	1400	650	570	280	590	350	1320	3030	700	3000	1870	940	380	1400	690	190	1670	260	80	2420	1050	670	2200	2680	2630	2590	2540	2550	1470	1610					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	42567	802	280	296	1141	845	163	533	190	634	445	275	384	1047	794	614	1008	1363	683	686	456	771	107	1948	119	228	351	204	1194	262	822	546	333	286	185	429	196	1018	2106	596	1264	822	454	181	846	331	123	820	160	64	1254	516	359	919	1320	1368	2132	2201	1500	672	921					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	4996	59	60	61	122	93	44	136	13	148	90	60	50	91	87	99	81	26	42	72	0	109	46	55	28	68	93	107	76	50	53	300	11	49	16	98	45	138	294	86	163	42	78	71	195	113	38	147	30	4	176	137	120	56	31	54	34	44	31	137	139					
6	Число погашенных избирательных бюллетеней	29857	429	90	163	887	752	113	781	107	488	565	445	196	862	419	677	1011	911	1025	852	214	600	47	887	113	404	86	59	1040	178	475	554	306	235	79	63	109	164	630	18	1573	1006	408	128	359	246	29	703	70	12	990	397	191	1225	1329	1208	424	295	1019	661	550					
7	Число избирательных бюллетеней в переносных ящиках для голосования	4996	59	60	61	122	93	44	136	13	148	90	60	50	91	87	99	81	26	42	72	0	109	46	55	28	68	93	107	76	50	53	300	11	49	16	98	45	138	294	86	163	42	78	71	195	113	38	147	30	4	176	137	120	56	31	54	34	44	31	137	139					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	42564	802	280	296	1141	845	163	533	190	634	445	275	384	1047	794	614	1008	1363	683	686	456	771	107	1948	119	228	351	204	1192	262	822	546	333	286	185	429	196	1018	2106	596	1264	821	454	181	846	331	123	820	160	64	1254	516	359	919	1320	1368	2132	2201	1500	672	921					
9	Число недействительных избирательных бюллетеней	437	17	9	0	0	2	0	0	3	1	17	4	12	29	13	5	11	11	5	10	5	4	0	5	2	2	2	24	0	7	3	9	13	16	7	2	1	6	9	2	9	6	3	9	3	34	4	8	3	0	13	5	0	14	16	7	3	13	8	6	5					
10	Число действительных избирательных бюллетеней	47123	844	331	357	1263	936	207	669	200	781	518	331	422	1109	868	708	1078	1378	720	748	451	876	153	1998	145	294	442	287	1268	305	872	837	331	319	194	525	240	1150	2391	680	1418	857	529	243	1038	410	157	959	187	68	1417	648	479	961	1335	1415	2163	2232	1523	803	1055					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	633	10	5	5	15	15	8	10	5	10	5	5	7	11	9	17	24	19	15	10	3	14	3	17	3	5	5	3	15	3	7	8	8	6	3	5	3	6	15	5	20	10	5	1	15	3	3	10	3	3	22	15	4	20	29	25	27	31	30	5	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	547	10	5	4	10	13	7	8	5	5	5	5	6	11	9	17	24	16	13	5	0	14	1	17	3	5	0	0	15	3	6	6	7	6	2	3	3	6	15	5	14	10	4	0	11	3	1	6	0	0	22	11	2	20	28	22	27	30	26	5	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	479	2	0	2	3	6	6	0	0	3	0	1	4	1	2	9	11	8	9	8	1	4	0	2	4	7	6	0	27	3	10	5	6	1	1	1	2	28	182	7	2	7	2	0	6	0	0	8	0	3	22	1	2	4	8	10	8	11	5	5	3					
14	Число погашенных неиспользованных открепительных удостоверений	86	0	0	1	5	2	1	2	0	5	0	0	1	0	0	0	0	3	2	5	3	0	2	0	0	0	5	3	0	0	1	2	1	0	1	2	0	0	0	0	6	0	1	1	4	0	2	4	3	3	0	4	2	0	1	3	0	1	4	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	53	0	0	0	2	1	0	0	0	0	0	0	1	1	0	2	1	0	1	0	0	0	0	2	0	0	1	0	1	0	0	5	1	0	0	0	1	2	8	0	0	0	0	0	1	0	0	0	0	0	2	0	0	4	4	2	2	7	1	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																			
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2065	58	22	18	9	29	10	30	18	13	47	20	42	83	56	81	74	80	24	91	3	63	10	24	11	19	24	10	55	24	62	84	33	13	11	4	13	35	69	2	31	9	26	12	38	17	4	100	24	8	49	3	13	55	22	51	34	49	43	63	40					
		4.34%	6.74%	6.47%	5.04%	0.71%	3.09%	4.83%	4.48%	8.87%	1.66%	8.79%	5.97%	9.68%	7.29%	6.36%	11.36%	6.80%	5.76%	3.31%	12.01%	0.66%	7.16%	6.54%	1.20%	7.48%	6.42%	5.41%	3.22%	4.34%	7.69%	7.09%	9.93%	9.59%	3.88%	5.47%	0.76%	5.39%	3.03%	2.88%	0.29%	2.17%	1.04%	4.89%	4.76%	3.65%	3.83%	2.48%	10.34%	12.63%	11.76%	3.43%	0.46%	2.71%	5.64%	1.63%	3.59%	1.57%	2.18%	2.81%	7.79%	3.77%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	2821	56	22	23	43	30	14	32	29	10	63	26	43	105	89	56	100	19	19	101	3	44	9	183	16	35	14	8	114	16	91	107	64	17	18	6	26	43	110	7	59	53	41	24	59	25	3	92	18	5	30	48	20	86	93	28	53	92	53	50	78					
		5.93%	6.50%	6.47%	6.44%	3.40%	3.20%	6.76%	4.78%	14.29%	1.28%	11.78%	7.76%	9.91%	9.23%	10.10%	7.85%	9.18%	1.37%	2.62%	13.32%	0.66%	5.00%	5.88%	9.14%	10.88%	11.82%	3.15%	2.57%	8.99%	5.13%	10.40%	12.65%	18.60%	5.07%	8.96%	1.14%	10.79%	3.72%	4.58%	1.03%	4.13%	6.14%	7.71%	9.52%	5.67%	5.63%	1.86%	9.51%	9.47%	7.35%	2.10%	7.35%	4.18%	8.82%	6.88%	1.97%	2.45%	4.10%	3.46%	6.18%	7.36%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	170	5	3	1	2	2	1	4	0	0	1	3	2	4	6	0	7	7	6	1	0	2	0	4	1	1	0	0	5	0	1	3	0	1	0	0	1	0	12	1	5	4	4	2	3	0	0	9	1	0	4	2	0	6	4	11	16	9	0	2	1					
		0.36%	0.58%	0.88%	0.28%	0.16%	0.21%	0.48%	0.60%	0.00%	0.00%	0.19%	0.90%	0.46%	0.35%	0.68%	0.00%	0.64%	0.50%	0.83%	0.13%	0.00%	0.23%	0.00%	0.20%	0.68%	0.34%	0.00%	0.00%	0.39%	0.00%	0.11%	0.35%	0.00%	0.30%	0.00%	0.00%	0.41%	0.00%	0.50%	0.15%	0.35%	0.46%	0.75%	0.79%	0.29%	0.00%	0.00%	0.93%	0.53%	0.00%	0.28%	0.31%	0.00%	0.62%	0.30%	0.77%	0.74%	0.40%	0.00%	0.25%	0.09%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	6498	80	60	45	131	206	13	118	46	126	49	60	77	229	135	53	110	293	146	143	5	150	30	329	24	42	45	19	153	39	141	182	66	40	19	47	42	89	209	73	297	157	35	29	152	25	15	205	41	7	273	108	72	261	121	132	171	151	141	67	174					
		13.66%	9.29%	17.65%	12.61%	10.37%	21.96%	6.28%	17.64%	22.66%	16.11%	9.16%	17.91%	17.74%	20.12%	15.32%	7.43%	10.10%	21.09%	20.14%	18.87%	1.10%	17.05%	19.61%	16.43%	16.33%	14.19%	10.14%	6.11%	12.07%	12.50%	16.11%	21.51%	19.19%	11.94%	9.45%	8.92%	17.43%	7.70%	8.71%	10.70%	20.81%	18.19%	6.58%	11.51%	14.60%	5.63%	9.32%	21.20%	21.58%	10.29%	19.09%	16.54%	15.03%	26.77%	8.96%	9.28%	7.89%	6.73%	9.21%	8.28%	16.42%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	462	7	1	2	2	5	4	5	0	3	7	4	1	17	8	1	23	3	7	19	0	10	0	12	1	6	0	2	4	4	9	27	3	1	0	0	0	10	11	1	12	5	3	2	3	2	0	26	8	0	30	2	0	20	16	42	32	19	3	5	12					
		0.97%	0.81%	0.29%	0.56%	0.16%	0.53%	1.93%	0.75%	0.00%	0.38%	1.31%	1.19%	0.23%	1.49%	0.91%	0.14%	2.11%	0.22%	0.97%	2.51%	0.00%	1.14%	0.00%	0.60%	0.68%	2.03%	0.00%	0.64%	0.32%	1.28%	1.03%	3.19%	0.87%	0.30%	0.00%	0.00%	0.00%	0.87%	0.46%	0.15%	0.84%	0.58%	0.56%	0.79%	0.29%	0.45%	0.00%	2.69%	4.21%	0.00%	2.10%	0.31%	0.00%	2.05%	1.18%	2.95%	1.48%	0.85%	0.20%	0.62%	1.13%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	35004	637	222	268	1075	663	164	479	107	628	351	217	255	670	573	517	761	967	515	390	440	605	104	1443	92	191	359	248	937	222	567	430	165	247	145	467	158	971	1971	595	1007	624	420	174	780	340	134	524	94	47	1026	484	373	528	1076	1145	1854	1912	1283	615	748					
		73.60%	73.98%	65.29%	75.07%	85.11%	70.68%	79.23%	71.60%	52.71%	80.31%	65.61%	64.78%	58.76%	58.88%	65.04%	72.51%	69.88%	69.62%	71.03%	51.45%	96.49%	68.75%	67.97%	72.04%	62.59%	64.53%	80.86%	79.74%	73.90%	71.15%	64.80%	50.83%	47.97%	73.73%	72.14%	88.61%	65.56%	83.99%	82.13%	87.24%	70.57%	72.31%	78.95%	69.05%	74.93%	76.58%	83.23%	54.19%	49.47%	69.12%	71.75%	74.12%	77.87%	54.15%	79.64%	80.52%	85.60%	85.17%	83.80%	76.02%	70.57%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	103	1	1	0	1	1	1	1	0	1	0	1	2	1	1	0	3	9	3	3	0	2	0	3	0	0	0	0	0	0	1	4	0	0	1	1	0	2	9	1	7	5	0	0	3	1	1	3	1	1	5	1	1	5	3	6	3	0	0	1	2					
		0.22%	0.12%	0.29%	0.00%	0.08%	0.11%	0.48%	0.15%	0.00%	0.13%	0.00%	0.30%	0.46%	0.09%	0.11%	0.00%	0.28%	0.65%	0.41%	0.40%	0.00%	0.23%	0.00%	0.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.11%	0.47%	0.00%	0.00%	0.50%	0.19%	0.00%	0.17%	0.38%	0.15%	0.49%	0.58%	0.00%	0.00%	0.29%	0.23%	0.62%	0.31%	0.53%	1.47%	0.35%	0.15%	0.21%	0.51%	0.22%	0.42%	0.14%	0.00%	0.00%	0.12%	0.19%					
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
