Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																							
Дата голосования: 02.12.2007																																																																							
																																																																							
Наименование Избирательной комиссии:    Тамбовская																																																																							
																																																																							
Сводная таблица результатов выборов																																																																							
																																																																							
		Сумма	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937					
1	"Число избирателей, внесенных в списки избирателей"	73214	2380	480	1394	1368	675	1296	2055	1518	329	997	509	339	879	345	1078	820	422	670	1023	1134	119	425	556	1510	474	1527	244	3020	306	308	720	561	484	611	424	250	210	1695	785	1374	2984	1702	292	98	1530	1502	372	279	103	2930	2977	2880	2755	2808	1346	2146	2268	1709	830	3011	505	1251	980	642					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	74000	2140	475	1190	1196	697	1290	1960	1500	318	970	500	328	895	345	1040	780	395	710	1910	1165	115	420	570	1470	400	1480	245	2960	295	295	730	550	460	600	400	245	195	1690	878	1330	2860	1740	295	90	1590	1470	458	325	90	2920	2930	2910	2540	2680	1350	2020	2250	1690	1260	2860	690	2250	970	630					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	40878	1326	263	813	562	412	673	930	726	176	467	254	207	391	136	445	290	198	436	900	447	67	249	253	711	291	713	110	2537	204	225	263	400	352	326	231	147	100	947	428	1048	1270	918	175	47	923	721	284	240	73	1267	1555	1656	1685	1887	697	998	1270	898	672	1686	420	1042	555	285					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	5844	127	33	79	391	34	107	143	120	51	112	54	14	112	65	114	77	80	82	123	128	12	86	53	103	8	162	53	153	35	33	112	150	108	72	67	63	73	80	33	137	71	102	22	8	208	148	88	39	17	51	28	23	53	52	156	143	38	60	158	166	85	209	146	134					
6	Число погашенных избирательных бюллетеней	27278	687	179	298	243	251	510	887	654	91	391	192	107	392	144	481	413	117	192	887	590	36	85	264	656	101	605	82	270	56	37	355	0	0	202	102	35	22	663	417	145	1519	720	98	35	459	601	86	46	0	1602	1347	1231	802	741	497	879	942	732	430	1008	185	999	269	211					
7	Число избирательных бюллетеней в переносных ящиках для голосования	5844	127	33	79	391	34	107	143	120	51	112	54	14	112	65	114	77	80	82	123	128	12	86	53	103	8	162	53	153	35	33	112	150	108	72	67	63	73	80	33	137	71	102	22	8	208	148	88	39	17	51	28	23	53	52	156	143	38	60	158	166	85	209	146	134					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	40872	1325	263	813	560	412	673	930	726	176	467	254	207	391	136	445	290	198	436	900	447	67	249	253	711	291	713	110	2537	204	225	263	400	352	326	231	147	100	947	428	1048	1270	918	175	47	923	721	284	240	73	1267	1555	1656	1685	1887	697	998	1270	898	669	1686	420	1042	555	285					
9	Число недействительных избирательных бюллетеней	533	18	3	5	13	8	8	8	1	0	4	3	7	6	0	8	5	4	33	10	15	0	2	2	15	8	6	1	16	2	0	7	1	0	5	5	2	2	17	2	121	8	9	2	0	9	8	3	4	1	6	7	7	3	4	3	20	20	4	5	15	9	4	4	5					
10	Число действительных избирательных бюллетеней	46183	1434	293	887	938	438	772	1065	845	227	575	305	214	497	201	551	362	274	485	1013	560	79	333	304	799	291	869	162	2674	237	258	368	549	460	393	293	208	171	1010	459	1064	1333	1011	195	55	1122	861	369	275	89	1312	1576	1672	1735	1935	850	1121	1288	954	822	1837	496	1247	697	414					
