Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																							
Дата голосования: 02.12.2007																							
																							
"Наименование Избирательной комиссии:    г. Грозный, Ленинская"																							
																							
Сводная таблица результатов выборов																							
																							
		Сумма	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396					
1	"Число избирателей, внесенных в списки избирателей"	22252	1124	1911	1204	1153	2145	1116	1059	1160	2448	1896	1501	1075	1060	1855	1295	250					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	22252	1124	1911	1204	1153	2145	1116	1059	1160	2448	1896	1501	1075	1060	1855	1295	250					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	22031	1113	1897	1179	1145	2129	1099	1032	1151	2431	1887	1492	1067	1048	1828	1283	250					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	75	5	5	8	3	7	6	12	2	3	2	3	1	4	11	3	0					
6	Число погашенных избирательных бюллетеней	146	6	9	17	5	9	11	15	7	14	7	6	7	8	16	9	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	75	5	5	8	3	7	6	12	2	3	2	3	1	4	11	3	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	22003	1109	1892	1171	1145	2129	1099	1031	1150	2431	1887	1490	1063	1047	1828	1281	250					
9	Число недействительных избирательных бюллетеней	33	0	1	1	4	6	5	0	1	5	3	0	4	0	3	0	0					
10	Число действительных избирательных бюллетеней	22045	1114	1896	1178	1144	2130	1100	1043	1151	2429	1886	1493	1060	1051	1836	1284	250					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	500	35	45	35	35	30	35	35	35	30	30	40	35	35	15	15	15					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	5	1	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	495	34	45	35	34	30	35	35	35	29	29	40	35	34	15	15	15					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																							
18	1.Политическая партия «Аграрная партия России»	9	2	0	2	0	0	0	1	0	0	0	3	1	0	0	0	0					
		0.04%	0.18%	0.00%	0.17%	0.00%	0.00%	0.00%	0.10%	0.00%	0.00%	0.00%	0.20%	0.09%	0.00%	0.00%	0.00%	0.00%					
19	2.Всероссийская политическая партия «Гражданская Сила»	11	1	0	2	0	2	0	0	5	1	0	0	0	0	0	0	0					
		0.05%	0.09%	0.00%	0.17%	0.00%	0.09%	0.00%	0.00%	0.43%	0.04%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
20	3.Политическая партия «Демократическая партия России»	13	0	2	0	0	0	0	3	0	1	3	0	0	0	2	2	0					
		0.06%	0.00%	0.11%	0.00%	0.00%	0.00%	0.00%	0.29%	0.00%	0.04%	0.16%	0.00%	0.00%	0.00%	0.11%	0.16%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	35	3	2	7	2	1	2	1	3	4	2	3	1	0	3	1	0					
		0.16%	0.27%	0.11%	0.59%	0.17%	0.05%	0.18%	0.10%	0.26%	0.16%	0.11%	0.20%	0.09%	0.00%	0.16%	0.08%	0.00%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	37	2	1	9	3	1	4	2	1	6	3	1	0	1	2	1	0					
		0.17%	0.18%	0.05%	0.76%	0.26%	0.05%	0.36%	0.19%	0.09%	0.25%	0.16%	0.07%	0.00%	0.10%	0.11%	0.08%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	7	0	0	2	0	0	0	0	0	3	0	1	1	0	0	0	0					
		0.03%	0.00%	0.00%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.12%	0.00%	0.07%	0.09%	0.00%	0.00%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	23	0	0	7	3	0	2	3	1	0	2	3	0	0	2	0	0					
		0.10%	0.00%	0.00%	0.59%	0.26%	0.00%	0.18%	0.29%	0.09%	0.00%	0.11%	0.20%	0.00%	0.00%	0.11%	0.00%	0.00%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	11	2	0	2	0	0	3	0	0	0	0	1	0	0	2	1	0					
		0.05%	0.18%	0.00%	0.17%	0.00%	0.00%	0.27%	0.00%	0.00%	0.00%	0.00%	0.07%	0.00%	0.00%	0.11%	0.08%	0.00%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	11	0	3	0	1	3	0	0	2	0	2	0	0	0	0	0	0					
		0.05%	0.00%	0.16%	0.00%	0.09%	0.14%	0.00%	0.00%	0.17%	0.00%	0.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
