Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																			
Дата голосования: 18.09.2016																																			
																																			
Наименование Избирательной комиссии:    Кировская																																			
																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																			
																																			
		Сумма	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	47595	2863	2344	2250	2654	1781	1774	1316	2085	2212	1657	1596	2211	1676	2079	2415	2030	2032	2306	1562	2215	2248	740	2626	923									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	35000	2300	1700	1550	1800	1300	1300	950	1600	1600	1200	1200	1550	1200	1500	1750	1400	1400	1800	1200	1600	1600	700	1900	900									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	17413	1204	756	646	864	498	868	564	703	597	662	454	861	609	1045	887	900	667	720	675	574	932	396	945	386									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	3358	234	99	204	175	88	114	73	171	449	138	204	67	248	175	136	210	88	105	28	40	47	0	231	34									
6	Число погашенных избирательных бюллетеней	14229	862	845	700	761	714	318	313	726	554	400	542	622	343	280	727	290	645	975	497	986	621	304	724	480									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	3344	234	99	204	175	88	114	73	171	449	138	204	67	248	175	136	196	88	105	28	40	47	0	231	34									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	17193	1204	756	646	864	498	868	562	703	597	662	454	861	609	1045	882	688	666	720	675	574	932	396	945	386									
9	Число недействительных избирательных бюллетеней	470	31	20	0	132	14	30	17	31	21	8	5	15	21	2	38	6	25	6	7	3	5	0	15	18									
10	Число действительных избирательных бюллетеней	20067	1407	835	850	907	572	952	618	843	1025	792	653	913	836	1218	980	878	729	819	696	611	974	396	1161	402									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	225	10	10	10	10	10	10	10	10	10	5	5	10	5	10	10	10	10	15	5	15	15	5	10	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	106	9	2	7	3	0	2	0	10	3	1	1	6	0	0	10	6	2	10	1	15	14	0	2	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	96	3	5	6	5	3	2	1	2	0	0	1	0	2	4	7	19	1	25	0	4	0	0	2	4									
14	Число погашенных неиспользованных открепительных удостоверений	119	1	8	3	7	10	8	10	0	7	4	4	4	5	10	0	4	8	5	4	0	1	5	8	3									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	25	2	1	2	4	0	2	3	1	0	2	0	0	0	0	0	0	0	0	0	1	2	0	3	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																			
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	299	14	16	12	18	7	8	11	15	9	1	2	11	6	13	55	11	14	14	3	9	25	0	18	7									
		1.46%	0.97%	1.87%	1.41%	1.73%	1.19%	0.81%	1.73%	1.72%	0.86%	0.13%	0.30%	1.19%	0.70%	1.07%	5.40%	1.24%	1.86%	1.70%	0.43%	1.47%	2.55%	0.00%	1.53%	1.67%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	530	22	23	16	28	18	22	9	31	26	4	11	17	29	26	35	20	37	43	16	16	13	11	34	23									
		2.58%	1.53%	2.69%	1.88%	2.69%	3.07%	2.24%	1.42%	3.55%	2.49%	0.50%	1.67%	1.83%	3.38%	2.13%	3.44%	2.26%	4.91%	5.21%	2.28%	2.61%	1.33%	2.78%	2.89%	5.48%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	316	17	19	11	20	11	8	19	14	19	3	2	3	10	14	28	21	19	15	16	14	14	4	11	4									
		1.54%	1.18%	2.22%	1.29%	1.92%	1.88%	0.81%	2.99%	1.60%	1.82%	0.38%	0.30%	0.32%	1.17%	1.15%	2.75%	2.38%	2.52%	1.82%	2.28%	2.28%	1.43%	1.01%	0.94%	0.95%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	12282	991	449	474	515	266	666	341	482	681	579	452	563	510	847	457	542	367	409	434	310	588	345	812	202									
