Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																														
Дата голосования: 07.12.2003 0:00:00																														
																														
"Наименование Избирательной комиссии:    Архангельск, Исакогорская"																														
																														
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																														
																														
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23					
1	"Число избирателей, внесенных в списки"	30301	739	1240	2004	2178	1592	2234	2747	2356	853	996	1535	1782	1995	37	21	28	23	1289	616	2317	2274	1422	23					
2	"Число бюллетеней, полученных участковыми комиссиями"	30213	743	1250	1875	2175	1592	2262	2787	2342	863	959	1546	1794	1945	50	30	30	30	1290	612	2339	2263	1402	34					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	13483	300	443	830	1078	658	768	1422	893	416	479	689	764	949	35	21	28	23	626	306	1083	1089	560	23					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	394	8	2	21	25	10	24	26	55	16	12	8	15	29	1	0	0	0	28	8	29	49	28	0					
6	Число погашенных бюллетеней	16336	435	805	1024	1072	924	1470	1339	1394	431	468	849	1015	967	14	9	2	7	636	298	1227	1125	814	11					
7	Число бюллетеней в переносных ящиках для голосования	394	8	2	21	25	10	24	26	55	16	12	8	15	29	1	0	0	0	28	8	29	49	28	0					
8	Число бюллетеней в стационарных ящиках для голосования	13436	300	443	830	1075	658	768	1396	893	416	467	687	764	949	35	21	28	23	625	306	1082	1087	560	23					
9	Число недействительных бюллетеней	205	4	6	4	25	8	18	16	25	5	6	4	12	9	0	0	0	0	13	6	16	18	10	0					
10	Число действительных бюллетеней	13625	304	439	847	1075	660	774	1406	923	427	473	691	767	969	36	21	28	23	640	308	1095	1118	578	23					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	278	8	12	12	17	14	21	26	22	8	10	14	16	21	0	0	0	0	18	6	23	22	8	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	194	7	9	10	15	14	16	13	13	4	9	10	13	16	0	0	0	0	12	2	20	10	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	194	1	3	9	7	9	9	9	6	8	6	7	6	11	25	5	20	3	3	5	8	12	21	1					
14	Число погашенных открепительных удостоверений	84	1	3	2	2	0	5	13	9	4	1	4	3	5	0	0	0	0	6	4	3	12	7	0					
15	Число открепительных удостоверений выданных ТИК	25	0	1	3	1	4	2	2	1	0	0	2	2	2	0	2	0	0	0	0	2	1	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																														
18	"1. ""ЕДИНЕНИЕ"""	158	3	6	4	9	9	20	13	16	4	2	5	9	12	0	1	0	0	7	1	14	17	6	0					
