Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																				
Дата голосования: 02.12.2007																				
																				
Наименование Избирательной комиссии:    Славгородская городская																				
																				
Сводная таблица результатов выборов																				
																				
		Сумма	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №1884					
1	"Число избирателей, внесенных в списки избирателей"	25367	2322	2477	2531	2442	1217	2395	2688	1248	2615	2252	112	550	2518					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	24358	2266	2362	2459	2409	1208	2192	2453	1226	2551	2120	106	544	2462					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	13779	1470	1191	1261	1409	553	1377	1322	691	1437	1392	79	391	1206					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	856	66	53	82	107	51	65	205	30	50	51	8	44	44					
6	Число погашенных избирательных бюллетеней	9723	730	1118	1116	893	604	750	926	505	1064	677	19	109	1212					
7	Число избирательных бюллетеней в переносных ящиках для голосования	856	66	53	82	107	51	65	205	30	50	51	8	44	44					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	13773	1470	1189	1261	1407	552	1377	1321	691	1437	1392	79	391	1206					
9	Число недействительных избирательных бюллетеней	159	16	8	15	24	4	21	18	15	14	7	4	6	7					
10	Число действительных избирательных бюллетеней	14470	1520	1234	1328	1490	599	1421	1508	706	1473	1436	83	429	1243					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	194	20	16	7	20	5	30	16	15	11	16	11	11	16					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	153	20	9	5	20	5	22	13	4	9	11	11	10	14					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	86	5	7	6	3	4	11	13	3	13	8	6	4	3					
14	Число погашенных неиспользованных открепительных удостоверений	41	0	7	2	0	0	8	3	11	2	5	0	1	2					
