Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																												
Дата голосования: 18.09.2016																												
																												
Наименование Избирательной комиссии:    Ремонтненская																												
																												
Сводная таблица итогов голосования по федеральному избирательному округу																												
																												
		Сумма	УИК №1640	УИК №1641	УИК №1642	УИК №1643	УИК №1644	УИК №1645	УИК №1646	УИК №1647	УИК №1648	УИК №1649	УИК №1650	УИК №1651	УИК №1652	УИК №1653	УИК №1654	УИК №1655	УИК №1656									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	13469	2286	1044	2230	592	111	531	523	1285	683	332	820	659	159	607	518	694	395									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	12260	2080	930	2020	540	100	480	470	1180	650	310	750	600	150	550	480	620	350									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	5864	952	433	935	246	58	245	337	448	279	121	417	330	85	324	270	252	132									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	780	63	58	53	21	6	23	71	65	66	4	28	38	13	25	20	202	24									
6	Число погашенных избирательных бюллетеней	5616	1065	439	1032	273	36	212	62	667	305	185	305	232	52	201	190	166	194									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	780	63	58	53	21	6	23	71	65	66	4	28	38	13	25	20	202	24									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	5864	952	433	935	246	58	245	337	448	279	121	417	330	85	324	270	252	132									
9	Число недействительных избирательных бюллетеней	146	23	21	25	2	1	5	6	12	10	10	3	6	0	7	11	0	4									
10	Число действительных избирательных бюллетеней	6498	992	470	963	265	63	263	402	501	335	115	442	362	98	342	279	454	152									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	255	25	25	25	15	5	10	10	25	15	10	15	15	5	15	15	15	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	104	18	2	13	2	0	1	2	17	15	10	4	1	0	2	15	2	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	40	7	3	6	2	1	4	2	3	2	0	2	2	2	2	2	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	151	7	23	12	13	5	9	8	8	0	0	11	14	5	13	0	13	10									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	17	6	1	3	0	0	1	0	2	1	0	1	0	0	0	0	2	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																												
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	98	12	4	17	3	1	5	8	9	4	2	7	2	4	3	2	11	4									
		1.48%	1.18%	0.81%	1.72%	1.12%	1.56%	1.87%	1.96%	1.75%	1.16%	1.60%	1.57%	0.54%	4.08%	0.86%	0.69%	2.42%	2.56%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	276	53	34	44	12	4	7	9	20	15	8	13	8	1	12	9	18	9									
		4.15%	5.22%	6.92%	4.45%	4.49%	6.25%	2.61%	2.21%	3.90%	4.35%	6.40%	2.92%	2.17%	1.02%	3.44%	3.10%	3.96%	5.77%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	135	26	9	23	7	0	5	4	19	9	1	5	6	2	4	5	8	2									
		2.03%	2.56%	1.83%	2.33%	2.62%	0.00%	1.87%	0.98%	3.70%	2.61%	0.80%	1.12%	1.63%	2.04%	1.15%	1.72%	1.76%	1.28%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3472	489	185	364	164	40	142	265	237	181	81	267	260	55	233	149	270	90									
