Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва															
Дата голосования: 18.09.2016															
															
Наименование Избирательной комиссии:    Арманская															
															
Сводная таблица итогов голосования по федеральному избирательному округу															
															
		Сумма	УИК №47	УИК №48	УИК №49	УИК №50									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	1746	895	361	222	268									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	2090	1020	460	270	340									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	858	456	166	110	126									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	126	48	47	17	14									
6	Число погашенных избирательных бюллетеней	1106	516	247	143	200									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	126	48	47	17	14									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	858	456	166	110	126									
9	Число недействительных избирательных бюллетеней	40	34	1	3	2									
10	Число действительных избирательных бюллетеней	944	470	212	124	138									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	80	20	20	19	21									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	80	20	20	19	21									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	4	2	0	2	0									
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	40	40	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0									
															
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	21	14	0	1	6									
		2.13%	2.78%	0.00%	0.79%	4.29%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	24	10	5	3	6									
		2.44%	1.98%	2.35%	2.36%	4.29%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	24	11	2	5	6									
		2.44%	2.18%	0.94%	3.94%	4.29%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	518	248	117	84	69									
		52.64%	49.21%	54.93%	66.14%	49.29%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	7	4	1	1	1									
		0.71%	0.79%	0.47%	0.79%	0.71%									
24	"6. Политическая партия ""Гражданская Платформа"""	1	0	0	0	1									
		0.10%	0.00%	0.00%	0.00%	0.71%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	165	80	51	18	16									
		16.77%	15.87%	23.94%	14.17%	11.43%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	3	2	0	0	1									
		0.30%	0.40%	0.00%	0.00%	0.71%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	3	0	2	0	1									
		0.30%	0.00%	0.94%	0.00%	0.71%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	0	0	0	0	0									
		0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	6	2	2	0	2									
		0.61%	0.40%	0.94%	0.00%	1.43%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	129	76	25	8	20									
		13.11%	15.08%	11.74%	6.30%	14.29%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	3	1	1	1	0									
		0.30%	0.20%	0.47%	0.79%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	40	22	6	3	9									
		4.07%	4.37%	2.82%	2.36%	6.43%									
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
