Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																									
Дата голосования: 07.12.2003 0:00:00																																																									
																																																									
Наименование Избирательной комиссии:    Павлово-Посадская																																																									
																																																									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																									
																																																									
		Сумма	УИК №2028	УИК №2029	УИК №2030	УИК №2031	УИК №2032	УИК №2033	УИК №2034	УИК №2035	УИК №2036	УИК №2037	УИК №2038	УИК №2039	УИК №2040	УИК №2041	УИК №2042	УИК №2043	УИК №2044	УИК №2045	УИК №2046	УИК №2047	УИК №2048	УИК №2049	УИК №2050	УИК №2051	УИК №2052	УИК №2053	УИК №2054	УИК №2055	УИК №2056	УИК №2057	УИК №2058	УИК №2059	УИК №2060	УИК №2061	УИК №2062	УИК №2063	УИК №2064	УИК №2065	УИК №2066	УИК №2067	УИК №2068	УИК №2069	УИК №2070	УИК №2071	УИК №2072	УИК №2073	УИК №2074	УИК №2075	УИК №2076	УИК №2077					
1	"Число избирателей, внесенных в списки"	66634	1221	2424	1860	568	922	1216	1788	1495	2288	1616	1858	1309	1200	1601	1344	1751	1531	2500	1853	1681	2253	2514	2008	1922	1690	1658	1457	1598	1734	1112	1020	853	2316	1661	783	128	142	333	943	336	1548	280	2658	564	793	281	874	391	311	447					
2	"Число бюллетеней, полученных участковыми комиссиями"	64210	1000	2300	1750	540	870	1160	1710	1450	2180	1530	1780	1270	1130	1510	1270	1670	1480	2380	1770	1620	2150	2310	1910	1820	1610	1580	1410	1510	1650	1050	1020	800	2240	1580	740	110	130	310	900	320	1460	260	2540	550	760	270	1760	370	290	430					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	31312	489	1223	861	277	477	531	913	674	1176	804	930	575	493	743	630	850	640	1169	960	708	1091	1138	981	935	599	796	783	627	755	480	370	375	1206	726	319	38	61	125	315	115	680	82	1493	248	315	172	836	155	155	218					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2033	188	34	65	9	21	11	20	18	38	34	14	25	16	26	45	24	25	26	22	14	17	35	26	12	38	17	23	32	25	41	25	66	38	59	43	35	22	63	67	93	62	38	98	85	85	27	38	72	32	44					
6	Число погашенных бюллетеней	30857	323	1035	824	254	372	618	777	758	966	692	836	670	621	741	595	796	815	1185	788	898	1042	1137	903	873	973	767	604	851	870	529	625	359	996	795	378	37	47	122	518	112	718	140	949	217	360	71	886	143	103	168					
7	Число бюллетеней в переносных ящиках для голосования	2031	187	34	65	9	21	11	20	18	38	34	14	25	16	26	45	24	25	26	22	14	17	35	26	12	38	17	23	32	25	41	25	66	38	59	43	35	22	63	67	93	62	37	98	85	85	27	38	72	32	44					
8	Число бюллетеней в стационарных ящиках для голосования	31215	489	1215	861	277	477	529	910	672	1171	801	930	575	493	743	630	849	640	1167	957	707	1084	1138	977	932	599	796	781	627	754	480	370	375	1206	726	319	38	61	122	314	115	680	82	1490	248	310	172	798	155	155	218					
9	Число недействительных бюллетеней	747	4	15	14	6	9	11	12	22	17	14	24	10	9	26	15	10	16	27	26	18	21	19	30	16	0	28	7	18	13	4	15	6	30	32	15	5	5	4	11	2	16	5	49	12	12	9	30	5	12	11					
10	Число действительных бюллетеней	32499	672	1234	912	280	489	529	918	668	1192	821	920	590	500	743	660	863	649	1166	953	703	1080	1154	973	928	637	785	797	641	766	517	380	435	1214	753	347	68	78	181	370	206	726	114	1539	321	383	190	806	222	175	251					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	1110	25	50	25	10	15	15	40	20	40	25	30	20	20	20	20	30	40	40	25	25	40	40	30	30	25	20	25	25	25	15	15	15	40	25	10	5	5	5	10	5	20	5	75	5	10	5	30	5	5	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	538	8	15	13	6	4	15	22	14	22	17	18	16	12	12	5	16	17	23	14	7	23	16	18	17	11	10	13	7	14	3	3	4	17	7	7	0	0	3	0	0	1	2	51	4	3	3	21	1	1	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	413	13	4	14	6	11	11	7	5	13	13	10	10	5	13	9	6	7	12	5	8	11	4	9	3	9	8	13	13	6	7	5	8	9	8	4	5	3	3	4	3	15	8	16	17	6	9	0	8	10	7					
14	Число погашенных открепительных удостоверений	572	17	35	12	4	11	0	18	6	18	8	12	4	8	8	15	14	23	17	11	18	17	24	12	13	14	10	12	18	11	12	12	11	23	18	3	5	5	2	10	5	19	3	24	1	7	2	9	4	4	3					
15	Число открепительных удостоверений выданных ТИК	5	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	8	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																									
18	"1. ""ЕДИНЕНИЕ"""	363	11	15	1	5	4	3	5	8	9	8	14	1	11	12	8	5	2	7	7	3	13	10	4	10	8	13	8	3	9	4	9	5	8	11	8	2	0	2	5	12	11	1	24	8	6	6	12	3	5	4					
		1.09%	1.62%	1.20%	0.10%	1.74%	0.80%	0.55%	0.53%	1.15%	0.74%	0.95%	1.48%	0.16%	2.16%	1.56%	1.18%	0.57%	0.30%	0.58%	0.71%	0.41%	1.18%	0.85%	0.39%	1.05%	1.25%	1.59%	0.99%	0.45%	1.15%	0.76%	2.27%	1.13%	0.64%	1.40%	2.20%	2.73%	0.0%	1.08%	1.31%	5.76%	1.48%	0.84%	1.51%	2.40%	1.51%	3.01%	1.43%	1.32%	2.67%	1.52%					
