Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																					
Дата голосования: 07.12.2003 0:00:00																																																					
																																																					
Наименование Избирательной комиссии:    Балахтинская																																																					
																																																					
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																					
																																																					
		Сумма	УИК  839	УИК  840	УИК  841	УИК  842	УИК  843	УИК  844	УИК  845	УИК  846	УИК  847	УИК  848	УИК  849	УИК  850	УИК  851	УИК  852	УИК  853	УИК  854	УИК  855	УИК  856	УИК  857	УИК  858	УИК  859	УИК  860	УИК  861	УИК  862	УИК  863	УИК  864	УИК  865	УИК  866	УИК  867	УИК  868	УИК  869	УИК  870	УИК  871	УИК  872	УИК  873	УИК  874	УИК  875	УИК  876	УИК  877	УИК  878	УИК  879	УИК  880	УИК  881	УИК  882	УИК  883	УИК  884					
1	"Число избирателей, внесенных в списки"	17829	1111	780	1220	666	622	1058	368	135	125	409	179	783	181	166	1128	532	109	94	233	191	553	121	241	334	103	816	154	119	212	466	160	111	1379	187	165	146	588	182	112	168	567	66	617	65	33	74					
2	"Число бюллетеней, полученных участковыми комиссиями"	17494	1074	734	1176	629	604	1014	329	132	122	402	185	777	182	161	1105	525	110	92	231	193	552	123	234	341	106	824	156	117	204	470	159	113	1353	191	159	139	578	188	113	168	567	68	619	67	35	73					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	333	51	27	50					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	10297	652	439	615	378	402	492	187	85	110	233	125	455	103	109	624	362	86	61	156	128	310	79	188	198	50	516	127	102	141	339	115	86	741	123	136	131	342	135	89	126	368	53	0	0	0	0					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	558	16	28	28	36	21	44	60	12	0	6	8	39	7	0	36	20	2	0	0	0	16	8	3	10	0	18	0	0	2	27	11	4	60	7	0	0	19	0	0	2	8	0	0	0	0	0					
6	Число погашенных бюллетеней	6178	406	267	533	215	181	478	82	35	12	163	52	283	72	52	445	143	22	31	75	65	226	36	43	133	56	290	29	15	61	104	33	23	552	61	23	8	217	53	24	40	191	15	286	16	8	23					
7	Число бюллетеней в переносных ящиках для голосования	589	16	28	28	36	21	44	60	12	0	6	8	39	7	0	36	20	2	0	0	0	16	8	3	10	0	18	0	0	2	27	11	4	60	7	0	0	19	0	0	2	8	0	31	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	10727	652	439	615	378	402	492	187	85	110	233	125	455	103	109	624	362	86	61	156	128	310	79	188	198	50	516	127	102	141	339	115	86	741	123	136	131	342	135	89	126	368	53	302	51	27	50					
9	Число недействительных бюллетеней	253	7	11	8	11	5	10	6	1	0	9	5	18	1	1	5	6	1	3	5	0	7	5	4	4	4	10	4	3	3	13	3	3	20	10	6	0	7	8	2	4	7	4	4	0	0	5					
10	Число действительных бюллетеней	11063	661	456	635	403	418	526	241	96	110	230	128	476	109	108	655	376	87	58	151	128	319	82	187	204	46	524	123	99	140	353	123	87	781	120	130	131	354	127	87	124	369	49	329	51	27	45					
