Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																							
Дата голосования: 02.12.2007																																							
																																							
Наименование Избирательной комиссии:    Канашская городская																																							
																																							
Сводная таблица результатов выборов																																							
																																							
		Сумма	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331					
1	"Число избирателей, внесенных в списки избирателей"	35441	1303	1408	936	602	468	1194	1220	1465	1484	1186	803	699	1968	1062	909	1386	1168	1403	769	1109	933	1249	1272	1084	263	795	1186	1803	1668	874	1567	205					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	30285	1000	1200	850	450	450	1000	1000	1300	1300	1000	650	600	1600	900	800	1200	1000	1200	700	900	800	1100	1100	900	280	600	1000	1600	1500	700	1400	205					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	24711	876	953	739	413	401	794	872	1010	1042	846	607	508	1483	725	588	998	790	1003	523	709	578	866	848	753	213	570	823	1219	1133	580	1076	172					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	843	18	15	39	21	1	48	19	12	13	21	14	25	48	51	31	30	40	21	26	79	18	21	30	21	8	9	24	23	26	42	23	26					
6	Число погашенных избирательных бюллетеней	4731	106	232	72	16	48	158	109	278	245	133	29	67	69	124	181	172	170	176	151	112	204	213	222	126	59	21	153	358	341	78	301	7					
7	Число избирательных бюллетеней в переносных ящиках для голосования	843	18	15	39	21	1	48	19	12	13	21	14	25	48	51	31	30	40	21	26	79	18	21	30	21	8	9	24	23	26	42	23	26					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	24710	876	953	739	413	401	794	872	1010	1042	846	607	508	1483	725	588	998	790	1003	523	709	578	865	848	753	213	570	823	1219	1133	580	1076	172					
9	Число недействительных избирательных бюллетеней	326	8	10	6	9	6	10	18	8	8	2	6	18	17	13	9	15	9	10	6	12	8	20	18	13	2	10	8	12	10	8	14	3					
10	Число действительных избирательных бюллетеней	25227	886	958	772	425	396	832	873	1014	1047	865	615	515	1514	763	610	1013	821	1014	543	776	588	866	860	761	219	569	839	1230	1149	614	1085	195					
