Выборы Президента Российской Федерации																																																																												
																																																																												
Наименование Избирательной комиссии:    Валуйская																																																																												
																																																																												
Итоги голосования 																																																																												
																																																																												
		Сумма	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365					
1	"Число избирателей, внесенных в список"	54516	2307	1154	2048	2666	200	1615	1828	962	1252	1437	1261	1988	2787	2913	2305	275	235	555	294	274	650	1361	362	822	127	166	63	192	212	374	277	293	393	182	710	912	1460	62	181	435	198	858	74	332	475	1253	420	391	98	122	657	422	207	280	366	1785	580	450	323	189	320	210	358	1420	1063	1464	1289	357	965					
2	Число полученных избирательных бюллетеней	55445	2310	1190	2160	2660	200	1610	1850	960	1250	1470	1250	2070	2830	2820	2320	270	250	550	300	290	720	1430	360	820	130	180	70	190	220	400	300	300	400	180	710	910	1490	70	200	450	200	870	75	330	500	1310	440	390	105	120	660	435	210	310	370	1810	600	490	360	210	330	210	400	1410	1060	1480	1290	380	950					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	35737	1361	655	1300	1482	199	964	920	658	666	1171	890	1170	1619	1552	1276	194	187	410	215	196	481	812	224	584	101	125	48	142	185	248	195	177	276	143	633	670	1093	48	148	304	145	460	67	222	321	836	254	327	89	105	493	373	160	186	257	1326	414	310	226	143	205	156	277	1043	749	1031	913	258	669					
5	"Число избирательных бюллетеней, выданных вне помещения"	3641	61	46	128	65	0	128	92	65	93	50	49	142	96	214	150	40	32	52	40	38	76	80	44	62	18	32	9	31	9	38	29	69	67	23	12	43	16	5	8	90	36	182	1	24	78	121	48	21	8	15	48	11	29	69	62	15	76	79	39	11	45	12	11	41	35	70	55	13	44					
6	Число погашенных избирательных бюллетеней	16067	888	489	732	1113	1	518	838	237	491	249	311	758	1115	1054	894	36	31	88	45	56	163	538	92	174	11	23	13	17	26	114	76	54	57	14	65	197	381	17	44	56	19	228	7	84	101	353	138	42	8	0	119	51	21	55	51	469	110	101	95	56	80	42	112	326	276	379	322	109	237					
7	Число избирательных бюллетеней в переносных ящиках	3641	61	46	128	65	0	128	92	65	93	50	49	142	96	214	150	40	32	52	40	38	76	80	44	62	18	32	9	31	9	38	29	69	67	23	12	43	16	5	8	90	36	182	1	24	78	121	48	21	8	15	48	11	29	69	62	15	76	79	39	11	45	12	11	41	35	70	55	13	44					
8	Число бюллетеней в стационарных ящиках для голосования	35737	1361	655	1300	1482	199	964	920	658	666	1171	890	1170	1619	1552	1276	194	187	410	215	196	481	812	224	584	101	125	48	142	185	248	195	177	276	143	633	670	1093	48	148	304	145	460	67	222	321	836	254	327	89	105	493	373	160	186	257	1326	414	310	226	143	205	156	277	1043	749	1031	913	258	669					
9	Число недействительных избирательных бюллетеней	375	13	7	19	13	0	5	4	4	5	11	9	6	20	15	6	5	1	5	3	1	7	15	5	6	3	2	0	1	0	0	0	2	1	5	10	10	6	0	2	3	1	11	1	5	4	11	1	1	0	2	4	12	0	5	0	10	6	6	2	3	3	2	5	22	4	11	10	2	1					
10	Число действительных избирательных бюллетеней	39003	1409	694	1409	1534	199	1087	1008	719	754	1210	930	1306	1695	1751	1420	229	218	457	252	233	550	877	263	640	116	155	57	172	194	286	224	244	342	161	635	703	1103	53	154	391	180	631	67	241	395	946	301	347	97	118	537	372	189	250	319	1331	484	383	263	151	247	166	283	1062	780	1090	958	269	712					
11	Число полученных открепительных  удостоверений	495	20	15	20	15	0	15	15	15	15	15	15	15	20	15	15	3	3	5	3	3	10	10	3	10	3	3	3	3	3	5	3	5	3	3	10	8	10	2	2	2	3	10	2	3	5	10	3	3	2	2	6	4	2	10	4	10	2	5	2	2	2	2	3	12	12	12	12	2	5					
